"a-profile href","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-mini href","a-size-base 3","a-size-base 4","a-button-text href","a-size-base 5","a-size-base href 2","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AEYWPD23OYZXPOY3AZO24S47FDOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Hana Lee","https://www.amazon.com/gp/customer-reviews/R1UALXYCGD407I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","5.0 out of 5 stars","My cat is addicted to these","Reviewed in the United States on August 17, 2020","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I have two cats. One of them played with these sticks for a little while but didn't seem to figure out they were chewable, even when I stuck them in his mouth. Oh well, he's a little dumb anyway.The other cat LOVES them. She needs her stick fix every day. She gets one at 6pm and the other around midnight, and she knows it - when the time comes she'll go to the kitchen counter and start meowing and begging for them. Sometimes she plays fetch with the stick, but most of the time we throw it for her, she runs after it, grabs it and starts chowing down. She even figured out how to stick one end into the high pile carpet so that she can keep it stable while she gnaws on the other end. They seem to be doing a good job of keeping my girl cat's teeth clean; we have to give dental treats and water additives for the other cat. We've been subscribed to these sticks for over a year now and she goes through about three packs a month.So your mileage may vary with these sticks. From my sample size of 2, there's a 50% chance of stick addiction and 50% chance that they'll totally flop. Even so, I have to give them 5 stars because of how much my girl loves them. If they ever discontinue these, I'm going to have a very unhappy cat on my hands.Oh, and the first few times you give these to your cat, keep a close eye on them. My cat has never choked in her 1 year plus of eating these every day, but she has taken bites that were too large and immediately vomited them up after - I guess the large chunks didn't sit well in her stomach. If you have a very small kitten, they may choke.","23 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOVL2m6vbNYCwP8bBxmv7wc7BxUDPn80%252FQ%252B5yd6ve5hFAAAAAGXT4YkAAAAB%26reviewId%3DR1UALXYCGD407I&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOVL2m6vbNYCwP8bBxmv7wc7BxUDPn80%2FQ%2B5yd6ve5hFAAAAAGXT4YkAAAAB&reviewId=R1UALXYCGD407I","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AGM5MUUYIQ2VAA47RFTF3DQAT45Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","carebear","https://www.amazon.com/gp/customer-reviews/R4GHJ2JI2KNEQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","1.0 out of 5 stars","Horrible","Reviewed in the United States on December 7, 2023","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","These chews are just awful. Within 5 hours of eating a small piece I cut off (it’s so hard I used kitchen scissors) we were at the emergency vet. My cat was throwing up, wouldn’t drink water and had diarrhea for days. I do not suggest here for any animals much less cats. Do not buy!","13 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKr9XK0o1tCPGN%252Bfbmc9vS23Usvx3ahDOLMUsRoYers2AAAAAGXT4YkAAAAB%26reviewId%3DR4GHJ2JI2KNEQ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKr9XK0o1tCPGN%2Bfbmc9vS23Usvx3ahDOLMUsRoYers2AAAAAGXT4YkAAAAB&reviewId=R4GHJ2JI2KNEQ","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHTNSKRPDWUXNHLHGAXT6PKGINTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/6e4eef74-ebc4-4b30-bbd7-6a5f337806e6._CR95,0,309,309_SX48_.jpg""/>","Critter","https://www.amazon.com/gp/customer-reviews/R33DKUG13NQGHP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","3.0 out of 5 stars","I have a cat who loves to chew but..","Reviewed in the United States on September 26, 2023","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","So my cat loves to chew on pens or anything in the shape, sp I thought these would be more appropriate for him. He chew through 2 sticks but the 3rd time I tried to give him one he turned away from it. I gave one to the dog to show him they're the same thing but time after time he still turned away from it.I do know cats don't normally find ""chew"" toys necessary since cats don't typically chew in the same way dogs do. So perhaps this bone broth stick is just too hard for cats in general. But i think tbr taste is fine bc other animals in the house see it as a treat. in the end I turned to just finding some some what mildly freezed dried meat treats for his chewy-like behavior.Dogs however love the bone broth stick. I gave the rest of the bag to a toy poodle owner and her 2 dogs loved them. So 3 stars for decent dog treats that has the word cat on the bag. I don't think it's a bad treat, just not for cats.","4 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHt91yHKOZLz8VoRYYKvOXWOfzsB26rOoK1eLTyePAGcAAAAAGXT4YkAAAAB%26reviewId%3DR33DKUG13NQGHP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHt91yHKOZLz8VoRYYKvOXWOfzsB26rOoK1eLTyePAGcAAAAAGXT4YkAAAAB&reviewId=R33DKUG13NQGHP","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AENE363AN3RQ4MULRDJCYMY2SF2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","iPad customer","https://www.amazon.com/gp/customer-reviews/R1XJAH7GLGG0GD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","2.0 out of 5 stars","They are very hard","Reviewed in the United States on January 3, 2024","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Too hard for our year old cat to eat","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIu8AZj%252BfxrVwiTjevzymlVriteddhPeY8Z650PB1daJAAAAAGXT4YkAAAAB%26reviewId%3DR1XJAH7GLGG0GD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIu8AZj%2BfxrVwiTjevzymlVriteddhPeY8Z650PB1daJAAAAAGXT4YkAAAAB&reviewId=R1XJAH7GLGG0GD","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEHYCSKT7PZWRWUMYU5QNMTDMSEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jennifer W.","https://www.amazon.com/gp/customer-reviews/R2X3V8HR4BV9X3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","4.0 out of 5 stars","Life saver","Reviewed in the United States on April 20, 2022","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","When I first bought these my cat really wasn’t that interested, but she warmed up to these. This has been a lifesaver for me because my cat has a G.I. issue and I have realize that when she starts trying to chew everything in my home office while I’m working, that it’s because her tummy is aggravating her. I now leave the sticks in my desk and when she starts chewing on my artificial plants and papers and pens, I offer her a stick and she now comes running. The downside is that she can’t hold it on her own without me holding it. However, it absolutely does the trick  and stops her from Destroying my house and eating something that she is not supposed to eat. She’s also fine with just less than one stick per day.It’s surprisingly sit well on her stomach as well and that makes me happy, because there’s not a lot of treats out there that she can have with a diet that she’s on. I don’t think of these like a cat treat, but more of a chew therapy for a cat that needs to chew on some thing. Hope this helps people in similar situations. Best advice, offer it to your cat when you see them chewing because they are more likely to try it and once they try it they may like it more. Again I would not offer this as just an occasional every day treat, as there are probably better ones out there if your cat does not have stomach issues.","20 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhO8Qa5%252Fn4beYgXpTf2tHKR7MLTUaapouHvxbxSGQvJ96AAAAAGXT4YkAAAAB%26reviewId%3DR2X3V8HR4BV9X3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hO8Qa5%2Fn4beYgXpTf2tHKR7MLTUaapouHvxbxSGQvJ96AAAAAGXT4YkAAAAB&reviewId=R2X3V8HR4BV9X3","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGYZSK36ELI4JCNBIJBDEURMBUGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kelley","https://www.amazon.com/gp/customer-reviews/R5OLWY3NQOQT6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","5.0 out of 5 stars","Great for chewers!!","Reviewed in the United States on August 17, 2023","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My cat ollie puts everything and anything into his mouth and LOVES chewing. These are very tough and hard to chew through and it takes him a good minute or two to do so. Would definitely not recommend for any cats with bad teeth, they won't be able to eat them. None of my other four cats like them, they won't even lick them. But for Ollie it seems to sate his chewing urge for a while really well. I don't think he likes the taste I think he just likes being able to really gnaw at something. 10/10 for cats who need to chew","5 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKWLaS6x30PxgfA53ZUnHFnaRJ3btxFxmv4VjLxTri1VAAAAAGXT4YkAAAAB%26reviewId%3DR5OLWY3NQOQT6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKWLaS6x30PxgfA53ZUnHFnaRJ3btxFxmv4VjLxTri1VAAAAAGXT4YkAAAAB&reviewId=R5OLWY3NQOQT6","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFJNBEHOTWG7PAWZEYFZIWL5XV5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","creviewer","https://www.amazon.com/gp/customer-reviews/RKFTJ3U8KEGVA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","1.0 out of 5 stars","Cat didn’t like them","Reviewed in the United States on January 26, 2024","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My cat will chew on anything, except these sticks. I only gave them one star because zero wasn’t an option. Also couldn’t get a refund, so a complete waste of money.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJjWSstkJwRcE4O0HqR1lQIUIweyZbEDRZ6M8pWLcxHeAAAAAGXT4YkAAAAB%26reviewId%3DRKFTJ3U8KEGVA&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJjWSstkJwRcE4O0HqR1lQIUIweyZbEDRZ6M8pWLcxHeAAAAAGXT4YkAAAAB&reviewId=RKFTJ3U8KEGVA","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFLD4VN7CFRRYAW366P6YOGWDD5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R34LP7J2LQZE03/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","3.0 out of 5 stars","Not all Cats will Chew","Reviewed in the United States on February 12, 2024","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I bought these treats in hopes that it would help the kitten with teething, etc...Unfortunately, these treats were not a hit with my kitten. He didn't chew them like I hoped he would. His dog brothers chewed and ate them instead.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOehg0cqzUnPQgcdVnOumJiXc0PN1bm73hF%252FvSM%252BIj75AAAAAGXT4YkAAAAB%26reviewId%3DR34LP7J2LQZE03&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOehg0cqzUnPQgcdVnOumJiXc0PN1bm73hF%2FvSM%2BIj75AAAAAGXT4YkAAAAB&reviewId=R34LP7J2LQZE03","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEKZBH7TES7QYOUVRFHBNFDEEURQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Cheryl C","https://www.amazon.com/gp/customer-reviews/R2LQ059YHBMY8G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","3.0 out of 5 stars","Cat sticks","Reviewed in the United States on February 12, 2024","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My outside cat just did not take to these.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHE3narNYADctiREKE%252Bp3%252B%252BSNfIBcMIU%252F%252F4UU7rICXkUAAAAAGXT4YkAAAAB%26reviewId%3DR2LQ059YHBMY8G&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHE3narNYADctiREKE%2Bp3%2B%2BSNfIBcMIU%2F%2F4UU7rICXkUAAAAAGXT4YkAAAAB&reviewId=R2LQ059YHBMY8G","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEO3CZ4KPIA3I47EADFS43KVFX2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","C. Jackson","https://www.amazon.com/gp/customer-reviews/R2URE0HJY137AK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061MULK","4.0 out of 5 stars","Loved it","Reviewed in the United States on August 9, 2023","Size: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-111198-Cat-Chew-Treats/product-reviews/B00061MULK/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My cat is a unrepentant chewer. He chews on everything he can get his mouth around. We haven't found much that will discourage it. These have been a welcome addition to the house. We've been sticking them near things that he likes to chew on, and evidently they're a bit more enticing because he's been leaving the other stuff around the house alone. He seems to really enjoy biting bits off so there are little pea-sized nodules peppered around the area but he's no longer putting himself at risk by chewing on electrical cords so I consider this an absolute success. Plus it seems that it's fun to play with because even the ones he's knocked loose from the places we've wedged them he'll roll around on and kick. Definitely recommend for chewers.","5 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111198-Cat-Chew-Treats%2Fproduct-reviews%2FB00061MULK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPwIpQB3Ngljx9FIUjgq4MDvMmzr48RLIpeJFsjFgOYtAAAAAGXT4YkAAAAB%26reviewId%3DR2URE0HJY137AK&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPwIpQB3Ngljx9FIUjgq4MDvMmzr48RLIpeJFsjFgOYtAAAAAGXT4YkAAAAB&reviewId=R2URE0HJY137AK","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
