"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-size-base 4","a-button-text href","a-size-base 5","a-size-base href 2","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AHRDLSH5IW6W4AN4AVR2NE5BMHVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Edith M Talley","https://www.amazon.com/gp/customer-reviews/R5MLJMP7YYRI0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","5.0 out of 5 stars","Good for young puppies; not challenge for older pups","Reviewed in the United States on February 7, 2024","When my puppy was young, less than 12 weeks, these were a good choice for teething.  He found them challenging to chew and tasty.  Now that he’s older, he loves the taste but they don’t last long.  He eats them in a couple of bites.  I recommend them for little puppies, but older ones will make quick work of them.","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhELrj9LxubpA3gUDRkr1%252FND%252BMYM1W5kveZRkAIOYfwknAAAAAGXT43cAAAAB%26reviewId%3DR5MLJMP7YYRI0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hELrj9LxubpA3gUDRkr1%2FND%2BMYM1W5kveZRkAIOYfwknAAAAAGXT43cAAAAB&reviewId=R5MLJMP7YYRI0","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AF2AWBUYGSHWTRNVXVULXGII77HQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Monique","https://www.amazon.com/gp/customer-reviews/RLBL6IEBTW8MV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","5.0 out of 5 stars","My puppy loves them ❤️❤️❤️","Reviewed in the United States on January 13, 2024","My puppy is teething really bad.he has chewed up everything you can think of.. these teething sticks definitely helps.. I Will buy more.. thank you 😊","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJs0uwmig0%252Bn11ZFgnWAB%252FK4cu3zJXjakV%252Fe4x6JV6ONAAAAAGXT43cAAAAB%26reviewId%3DRLBL6IEBTW8MV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJs0uwmig0%2Bn11ZFgnWAB%2FK4cu3zJXjakV%2Fe4x6JV6ONAAAAAGXT43cAAAAB&reviewId=RLBL6IEBTW8MV","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AHA7MJQGA4YFGJSK2RRZHSM3QV5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/8a4c41cd-c6cb-446b-bb7e-9e2b3c09ca49._CR0,83.0,686,686_SX48_.jpg""/>","Brianna levario","https://www.amazon.com/gp/customer-reviews/RZ1HEL8V1ZB2N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","4.0 out of 5 stars","Will buy again","Reviewed in the United States on January 3, 2024","But this for my German Shepherd puppy and lasted him quite a few hours, and the bag lasted quite a few. I would say about a week, but that’s how often you give your animal teething treats.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHEr%252BvGQH33jARD%252FOn6aWrOir7rZoGe70fivKbxDvIZdAAAAAGXT43cAAAAB%26reviewId%3DRZ1HEL8V1ZB2N&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHEr%2BvGQH33jARD%2FOn6aWrOir7rZoGe70fivKbxDvIZdAAAAAGXT43cAAAAB&reviewId=RZ1HEL8V1ZB2N","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF2A4YWHJHPPNLTZJU2CI2HHFH6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/fd8e70a8-7d54-4b83-a510-378681673da4._CR62,0,375,375_SX48_.jpg""/>","Sea","https://www.amazon.com/gp/customer-reviews/R1S3ZZUFBM0T2Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","5.0 out of 5 stars","Small but great","Reviewed in the United States on December 13, 2023","While they are not meant to last a long time, they are a favorite of our new puppy. He gets so excited to get one! I'd say if you want a small treat, they are great but if you want something for them to chew on for a while this is not the product for you.","4 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIZBVBtDuArd4v8sFtqQS2dyWWFiVRRfYQtt687wKQO1AAAAAGXT43cAAAAB%26reviewId%3DR1S3ZZUFBM0T2Y&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIZBVBtDuArd4v8sFtqQS2dyWWFiVRRfYQtt687wKQO1AAAAAGXT43cAAAAB&reviewId=R1S3ZZUFBM0T2Y","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEMCSYUVAQJPYNKCPQMV2QTTXI6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/b342f0d7-d1e6-4280-8dc0-49f54b438aa7._CR0,0,500,500_SX48_.jpg""/>","Christabella Gotti and Andrew R. Moore","https://www.amazon.com/gp/customer-reviews/R1C533673O2D20/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","5.0 out of 5 stars","He Loved Them At First","Reviewed in the United States on May 30, 2023","My new Shih Tzu puppy loved them when i first started giving him these. He would mow them down like a wood chipper! Lol They are a bit small or skinny so good size for even teacup size dogs like even below 3lbs( had a Yorkie that was 2 1/2lbs, Hadley, before i got Viserys, my Shih Tzu)but I would suggest that you watch or moderately supervise your dog while he/she eats them. I have heard reports that some dogs have choked or got them stuck in their mouths and throats. So to be safe, make sure your dog is in eyes view of you while he treats himself to these. They are apparently tasty to them. I started giving him the peanut butter ones for a bit of variety and now he won’t eat any more of both flavors. Lol I may have just gave them to him a bit too much and he got tired of them too quickly but everything seemed fine before the peanut butter ones. Came to find out he had been hiding them away in the folds of his bed. I go to clean his bed out and i find all these sticks! He was eating them at first seemed to love them. Idk what the heck happened. Dogs are finicky.","10 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLy6Qlug0kv%252Fqod8QIwjyqPrn21jxIV4hM9EmxY4evipAAAAAGXT43cAAAAB%26reviewId%3DR1C533673O2D20&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLy6Qlug0kv%2Fqod8QIwjyqPrn21jxIV4hM9EmxY4evipAAAAAGXT43cAAAAB&reviewId=R1C533673O2D20","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHTZDYG6VFOFPNQ25LVTYVQR7P4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","hershop","https://www.amazon.com/gp/customer-reviews/R2MFWKRO4W3ZFQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","3.0 out of 5 stars","gone in one minute","Reviewed in the United States on December 2, 2023","puppy loves this but eats it in less than a minute. I don’t see how this can help with teething since it is gone so fast. the stick is bendable so it’s not hard. I won’t buy them again because I am looking for something that takes longer for puppy to eat.","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEBp3SqxDu8lwyTLIpDm3zxlqSkrEzKBN0CiK1lgpnA9AAAAAGXT43cAAAAB%26reviewId%3DR2MFWKRO4W3ZFQ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEBp3SqxDu8lwyTLIpDm3zxlqSkrEzKBN0CiK1lgpnA9AAAAAGXT43cAAAAB&reviewId=R2MFWKRO4W3ZFQ","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AG6HWC2J276TRT3XD25AKHEFNZCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jon leicht","https://www.amazon.com/gp/customer-reviews/R1K7SJYYNR3AR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","5.0 out of 5 stars","Excellent chew stick for new puppy!","Reviewed in the United States on November 14, 2023","These chew sticks are great for our new puppy. He’s about 7lbs, 11 weeks old. These sticks are great because they keep him entertained and they deter him from chewing on things he shouldn’t. I also like them because they are pliable and a bit softer than other chew sticks we’ve found, so there’s less chance of him hurting his little teeth. These were a great find!","5 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCp0NkHL%252F9f%252BqUnNFzQVuwV39%252BRvioSdvXl7TbB5xiruAAAAAGXT43cAAAAB%26reviewId%3DR1K7SJYYNR3AR&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCp0NkHL%2F9f%2BqUnNFzQVuwV39%2BRvioSdvXl7TbB5xiruAAAAAGXT43cAAAAB&reviewId=R1K7SJYYNR3AR","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHNIAXOUL4IGR2TZLNUPFMSHDRQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Darla Rice","https://www.amazon.com/gp/customer-reviews/RC3Q3Z7TBJJXJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","5.0 out of 5 stars","My pup loves them","Reviewed in the United States on February 9, 2024","Just the right size for a pup or sm dog","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOKn6qsCc0a7jSRyrSTyWMsIPdKLonjOLq2EKScwZkqAAAAAAGXT43cAAAAB%26reviewId%3DRC3Q3Z7TBJJXJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOKn6qsCc0a7jSRyrSTyWMsIPdKLonjOLq2EKScwZkqAAAAAAGXT43cAAAAB&reviewId=RC3Q3Z7TBJJXJ","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AG7NBNN62QGTDKYTZ6TO4WOGXH2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Mr.L33","https://www.amazon.com/gp/customer-reviews/R17O9HT3PQQQFU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","4.0 out of 5 stars","My pup loves them but...","Reviewed in the United States on November 14, 2023","Edit:Been a few weeks and although my pup really likes them, it makes her poop way too soft. Ive noticed it but I visited family for a few days over Thanksgiving w/o these and her poop was fairly solid again. Been back a few days with 2/day and her poops back to soft. I'll hold off on giving her these for now.My 5 month old American Bully loves them. She's teething so I toss them in the freezer so when I give them to her, they're cold. The first few times it took her around 10 mins to get through one but now, she goes through them FAST however, they're only given to her moreso as a treat/teething than anything.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhND1f9JA5xky2hU6jVUSp6T1uAUOXFOv8Mdt30%252BuRLY6AAAAAGXT43cAAAAB%26reviewId%3DR17O9HT3PQQQFU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hND1f9JA5xky2hU6jVUSp6T1uAUOXFOv8Mdt30%2BuRLY6AAAAAGXT43cAAAAB&reviewId=R17O9HT3PQQQFU","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHKOGVFCP3I7C2Q3U6PIZDD7A55A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","lsteinke","https://www.amazon.com/gp/customer-reviews/R2V9KGBUTLVLZS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00061URQA","4.0 out of 5 stars","My landshark loves these!","Reviewed in the United States on December 30, 2023","My teething puppy loves the flavor of these teething sticks.  He is a land shark so they only last about ten minutes.  However, he is a little more relaxed after getting some of his need to chew out.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-111150-Puppy-Teething-Treats%2Fproduct-reviews%2FB00061URQA%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhN7MgblWP3F4%252BD5BzeYRp6I4mZwoIPP3OFmzp95F2eVpAAAAAGXT43cAAAAB%26reviewId%3DR2V9KGBUTLVLZS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hN7MgblWP3F4%2BD5BzeYRp6I4mZwoIPP3OFmzp95F2eVpAAAAAGXT43cAAAAB&reviewId=R2V9KGBUTLVLZS","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
