"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-mini href","a-size-base 3","a-size-base 4","a-button-text href","a-size-base 5","a-size-base href 2","a-size-base 6","a-lazy-loaded src","a-size-base 7"
"https://www.amazon.com/gp/profile/amzn1.account.AFOG3ZG4BSMC2YAJZNUZZOGBF63Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/6742d91b-5ca9-4fea-b4e3-d6ccf90d66f0._CR62,0,375,375_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/6742d91b-5ca9-4fea-b4e3-d6ccf90d66f0._CR62,0,375,375_SX48_.jpg""/>","ZulaMaeRules","https://www.amazon.com/gp/customer-reviews/R16RNVC2ZEADI5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","5.0 out of 5 stars","Cinnamon Chewy Goodness for Canine Teeth","Reviewed in the United States on March 24, 2014","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Living with a four dog pack as I do, daily brushing can become routine and cumbersome (I do it in the pm with Virbac Vanilla Mint enzymatic toothpaste which they love and which actually contributes to teeth health whether you brush or just swipe it through on a swab - enzymatic, so if you are introducing the idea or have a non cooperative dog it might be a good thing to check out as well for those reasons) so I look for fun ways to add to the process of canine teeth cleaning. I read an article somewhere about this product that made me look into it further. Note here, I am all about natural raw feeding, integrative vet care, wholesome ingredients and positive training and keeping up with new ideas like Reiki for animals. (It really works!).I bought the small chews for my standard size dogs (50 - 70 pounds) because I don't give large treats but prefer to parcel them out. Perfect size. After their breakfast they each get a chew stick and they love them. I feed them in their crates and the floor gets a bit slimy because they break off bits and shove them around but with crate feeding (the rare times the dogs use the crates anymore) the floors get cleaned up anyway. You can smell the cinnamon which I know is good for breath and other ailments in humans as well. One of my concerns with these dental type chews in the past has been the possibility of blockages and these appear to not pose that risk to my dogs, being narrow and chewy and not overly hard with ridges, kind of like a star shaped stick. I only give one a day per dog in the morning because I don't want to upset tummies and I want to keep these a special treat even though these treats have a job. I broke one into fourths and gave them to a friend with a Shi Tzu and suggested one piece per day for him since he is tiny. He loved them. So a little goes a long way. Between the Naked Chew in the morning and the Virbac Enzymatic toothpaste in the evening my dogs teeth are really improving and they are all seniors who had some residue I was looking to improve upon. Teeth are looking shiny white like me after a trip to my favorite dental hygienist. I recommend the combination. The raw diet does contribute of course. These are a safer, healthier dental chew than anything else I've seen with ingredients I am comfortable with offering my dogs in reasonable portions. I recommend supervising your dog at first and considering the size of your dog and the size of the treat and perhaps breaking the treat into smaller portions if you have a smaller dog and offering that either two a day or depending on the sensitivity of your dog's digestion. I order in quantity to reduce cost. I think this is a great product.","7 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHvJHuns%252BdtTshmG2dZ7sMW0sHhhBPYRAPCl2lxWdK6PAAAAAGXT8SsAAAAB%26reviewId%3DR16RNVC2ZEADI5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHvJHuns%2BdtTshmG2dZ7sMW0sHhhBPYRAPCl2lxWdK6PAAAAAGXT8SsAAAAB&reviewId=R16RNVC2ZEADI5","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AHO2ZKVTDPL6G35FLZW7UGXCYSEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/9195fb8d-2bbb-44ce-9a22-b877d453781c._CR0,0,172,172_SX48_.jpg""/>","🔹 Catrinka 🔹","https://www.amazon.com/gp/customer-reviews/R3G1K2GKKW7O0S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","4.0 out of 5 stars","Both of my dogs love these Get Naked chew sticks...with an added bonus of healthy digestion","Reviewed in the United States on November 4, 2013","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I buy these Get Naked Chew Sticks in both the","and the","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGeOp3qnyGdk7vGK7Zn%252BP3yLOktjz1efvJ3hkkeKluj3AAAAAGXT8SsAAAAB%26reviewId%3DR3G1K2GKKW7O0S&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","versions for both of my dogs for two reasons.  One, they love them.  Two, the chew sticks offer healthy benefits in addition to tasting good.  Because one of my pooches is 110 lbs and the other is only 18 lbs, I have to buy them in both the large and small size.Besides making my pups happy, what are the benefits?  For starters, the chewing action is supposed to help whiten their teeth by removing plaque and tartar.  Also, these Gut Health Treats contain beneficial bacteria, or probiotics, that help maintain a healthy digestive system by protecting the gut against harmful bacteria and pathogens. Soluble and insoluble dietary fiber slows down the metabolism of carbohydrates and helps keep their bowel movements firm and regular.  And every dog owner who picks up after their pets knows that the state of the poo is important.Part of the reason that my dogs love these is because they're longer lasting than a typical dog cookie.  It generally takes my dogs at least a few minutes to finish one of these.  The large chew sticks contain 98 calories each and the small chew sticks contain 18 calories each.Ingredients:  Organic brown rice powder, rice powder, vegetable glycerin, gelatin, water, tapioca starch, oat fiber, chicken, natural chicken flavor, organic flaxseed, calcium carbonate, fructooligosaccharides (FOS), parsley, chia seed, cinnamon, ginger, peppermint, bacillus coagulans.Guaranteed Analysis:  Crude Protein (min.) 18.0%, Crude Fat (min.) 2.0%, Crude Fat (max.) 3.5%, Crude Fiber (max.) 6.0%, Moisture (max.) 15.0%, Ash (max.) 3.0%, Sodium (max.) 15 mg, total bacillus coagulans 6.3 million CFU.","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGeOp3qnyGdk7vGK7Zn%2BP3yLOktjz1efvJ3hkkeKluj3AAAAAGXT8SsAAAAB&reviewId=R3G1K2GKKW7O0S","3 people found this helpful","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Report"
"https://www.amazon.com/gp/profile/amzn1.account.AHYEJJTOJ26YKPWEDEOJQTBGN6JA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","helen almodovar","https://www.amazon.com/gp/customer-reviews/R1SIBEW88W9Y4W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","5.0 out of 5 stars","Dog snack,","Reviewed in the United States on February 16, 2014","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Oh my oh my I am so so happy that I purchase this snack, for my poodle, I brush her teeth everyday after her wet food breakfast, then she gets her dry food I leave it out till 7 pm, but right after breakfast she's allow three snacks and this is one of them, and since she is tiny I save money by breaking them in half, and since giving her this my dogs teeth look better, and her breath does Not Smell At all, I took her to her vet for her 6month physical and her Dr Vet was so impress with her breath, & teeth, which by the way help with plaque, and I am crazy in love with the fact that this PRODUCT IS ALL NATURAL, NO FILLER, NO BY-PRODUCTS, NO ARTIFICIAL COLORINGS, NO WHEAT, THANK YOU JESUS,","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNBAM3sDvRqlfT21p1Nj9Uc%252FRd45NcHz4Nbk7Ls5XljgAAAAAGXT8SsAAAAB%26reviewId%3DR1SIBEW88W9Y4W&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNBAM3sDvRqlfT21p1Nj9Uc%2FRd45NcHz4Nbk7Ls5XljgAAAAAGXT8SsAAAAB&reviewId=R1SIBEW88W9Y4W","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AGOXGJ2GJGQQLKQPN34MM2MDUICA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5cc3dc99-ba62-4349-9f43-69ac57f61322._CR0,33.0,360,360_SX48_.jpg""/>","Soulflower","https://www.amazon.com/gp/customer-reviews/R1F4INO2S1QWXH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","5.0 out of 5 stars","My very picky Silky Terrier does not like typical treats and I have had a hard time ...","Reviewed in the United States on May 14, 2016","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My very picky Silky Terrier does not like typical treats and I have had a hard time finding a few she likes. I saw the ""Super Antioxidant"" flavor as an add on item and decided to give it a try. I am so glad I did. She loved that flavor and I have been buying that flavor for her for a few months now.The ingredients in this treat are very healthy and I noticed her bowel movement are regular. So I decided to give flavor ""Digestive Health"" a try and she liked this one as well. I will continue to purchase these for as long as she likes them! :) These also cleans teeth, which is always a plus!","My very picky Silky Terrier does not like typical treats and I have had a hard time ...","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCPSXaAVkSeCq8vCVRZdlGSswPK4qwrdgLCdLo%252Bo%252BLheAAAAAGXT8SsAAAAB%26reviewId%3DR1F4INO2S1QWXH&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","My very picky Silky Terrier does not like typical treats and I have had a hard time finding a few she likes. I saw the ""Super Antioxidant"" flavor as an add on item and decided to give it a try. I am so glad I did. She loved that flavor and I have been buying that flavor for her for a few months now.The ingredients in this treat are very healthy and I noticed her bowel movement are regular. So I decided to give flavor ""Digestive Health"" a try and she liked this one as well. I will continue to purchase these for as long as she likes them! :) These also cleans teeth, which is always a plus!","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCPSXaAVkSeCq8vCVRZdlGSswPK4qwrdgLCdLo%2Bo%2BLheAAAAAGXT8SsAAAAB&reviewId=R1F4INO2S1QWXH","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AHJ3YXPSWX4WSQDB2DAUFUDC3KHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/d6a3855a-590e-4269-8a32-049354519448._CR0,0,500,500_SX48_.jpg""/>","Zack J.","https://www.amazon.com/gp/customer-reviews/R32A8LDNT6OEVD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","4.0 out of 5 stars","Good for dogs with a sensitive stomach","Reviewed in the United States on January 3, 2013","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I have two small terriers that both enjoy these chew sticks. I've had trouble finding a chew stick that doesn't make one of my dogs vomit. Both dogs seem to enjoy these and I have not noticed any signs of an upset stomach. The chews are a good size for my 15ish pound dogs. Both are strong chewers, so the sticks are gone in less than a minute. They have a pleasant, spicy scent like nutmeg or cinnamon. One of my dogs has always had stinky breath, and these seem to freshen his breath, but I have not used these for long enough to say if they improve his dental health.The subscribe and save option is nice, as I have only seen these in one local pet ""boutique"" with a much higher price.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhD%252BO%252BXOQ6tyuR6qLzjhfju9FoZtTkyIiRwYKKizCC1MuAAAAAGXT8SsAAAAB%26reviewId%3DR32A8LDNT6OEVD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hD%2BO%2BXOQ6tyuR6qLzjhfju9FoZtTkyIiRwYKKizCC1MuAAAAAGXT8SsAAAAB&reviewId=R32A8LDNT6OEVD","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AEIQCQSUI2FF2WTRI4C6BE2D5DSQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","KK","https://www.amazon.com/gp/customer-reviews/RPPYF5HM1R1P7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","3.0 out of 5 stars","Minty fresh treats","Reviewed in the United States on October 18, 2015","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I use these treats for my small, 10 lb shih-poo. He is a pretty aggressive chewer and can finish this in about 2 minutes. They smell minty and are a solid, but softer-type chew. I have not noticed a difference in his digestion, but he seems to like the taste. I like that the ingredients seem simple and healthy, but next time, I might look for something that will last longer than 2 minutes.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCUSw%252FvDNKxLPIn%252F7Al2ATzrS9MU4F6nLmvbHDuYjsWVAAAAAGXT8SsAAAAB%26reviewId%3DRPPYF5HM1R1P7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCUSw%2FvDNKxLPIn%2F7Al2ATzrS9MU4F6nLmvbHDuYjsWVAAAAAGXT8SsAAAAB&reviewId=RPPYF5HM1R1P7","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AFSUE4L5L6GYRGNE332CXMASQAFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kaila","https://www.amazon.com/gp/customer-reviews/R1LDZPYISJBSX5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","5.0 out of 5 stars","Great for sensitive stomach!!","Reviewed in the United States on September 25, 2016","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I tried these for my rescue pup that has a very sensitive stomach and digestive issues and I'm so glad I did! He's very picky so I was a little nervous to try them, but I decided to anyway. He LOVES them! He gets so excited and runs around like it's a new bone to chew on. He is about 55 pounds and does go through one rather quickly. But he hasn't had an issue at all with them affecting his stomach (which is AMAZING!) I was skeptical at first since a lot of dog products now say things about helping with digestion. I'm not sure if these actually help with digestion, but seeine as they don't make my pup with a sensitive stomach throw up, they're an A+ in my book! I do wish they made these in bigger sizes. It would last longer for my pup. They do smell a bit odd (they have a slight minty scent) and I was worried about my picky dog not liking that, but he's not affected by it at all.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhMH8PmrsrJMPOOxMbW4o50IWV6Bm2COKfnZn7O2pDo62AAAAAGXT8SsAAAAB%26reviewId%3DR1LDZPYISJBSX5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMH8PmrsrJMPOOxMbW4o50IWV6Bm2COKfnZn7O2pDo62AAAAAGXT8SsAAAAB&reviewId=R1LDZPYISJBSX5","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AFA4PGUEVWHVI233W4GP3HQWSB4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","CS","https://www.amazon.com/gp/customer-reviews/R26ZYMIJOLM2BI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","1.0 out of 5 stars","Contains carrageen","Reviewed in the United States on August 17, 2014","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","* Updated October 2014 *. I used to love these treats for my dog until I realized they contain carrageen. With all the sever health issues reported from carrageenan ingestion in humans, you'd think that pet companies like this would remove it from their ingredients and replace it with another safer choice.  Until the company removes this ingredient, I cannot recommend.  It's a shame because these are great dental chews that are not hard on the teeth and my dog loves them.","4 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhN820bryTfRe5O9hqBu1HcrFojETR6d0vuacQM%252F1Ye8qAAAAAGXT8SsAAAAB%26reviewId%3DR26ZYMIJOLM2BI&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hN820bryTfRe5O9hqBu1HcrFojETR6d0vuacQM%2F1Ye8qAAAAAGXT8SsAAAAB&reviewId=R26ZYMIJOLM2BI","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHDSA7FBJOM5WZG77WVM3DOLMORQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/RRCQAHBL2CGXT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","4.0 out of 5 stars","Dog Approved but Do Not Stay Fresh that Long","Reviewed in the United States on February 29, 2016","Size: Small/6.2-Ounce, 18 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003AYCVVY/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My dog seems to enjoy these treats. The are a good length and my dog runs around the house with them in his mouth. The only thing I will mention is that we've had these now a relatively short time and my bag seems to have gone stale a bit. I sometimes half them and have noticed they are considerably more difficult to do so with my hands after only a couple of weeks. I alternate these with many different variety of dog treats so it would be nice if they stayed fresher longer. I never noticed any difference in my dog's bowel movements since incorporating them into his treat rotation so this is a plus.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJKyTBaxFPtm8pWMeVkgUVoHCRErBSAIIhvlNTdmjxo9AAAAAGXT8SsAAAAB%26reviewId%3DRRCQAHBL2CGXT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJKyTBaxFPtm8pWMeVkgUVoHCRErBSAIIhvlNTdmjxo9AAAAAGXT8SsAAAAB&reviewId=RRCQAHBL2CGXT","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHNK75XX6PSQNGGHKRNLGRGTYFYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/fa13a8a1-6049-4d1f-a652-9310c4ad05aa._CR0,0,375,375_SX48_.jpg""/>","Iveta Babiakova","https://www.amazon.com/gp/customer-reviews/R1YC46S9VR58QY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B003AYCVVY","4.0 out of 5 stars","100% increase in price???","Reviewed in the United States on March 1, 2016","Size: Large/6.6-Ounce, 6 sticks/Pack","https://www.amazon.com/Digestive-Health-Dental-Sticks-6-2-Ounce/product-reviews/B003BK0DX0/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","What happened??? I have been buying these for over a year and they were selling between 3.99 - 5.81 as add on item. Most of the time the cost was under 5 USD. All of  a sudden the cost increased over 100 percent in just a few weeks! My dog loves them and will sit and beg at 3 pm until he gets one every day but now we won't be able to afford them for this new price. It will be heartbreaking to look at his sad face waiting for his favorite treat and not getting any. Really hope this is just temporary. Taking star off because of this.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FDigestive-Health-Dental-Sticks-6-2-Ounce%2Fproduct-reviews%2FB003AYCVVY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhC6MGmfPvfY04bK8oNco4CR9V8BsA%252FwpTAybAiOOyye%252BAAAAAGXT8SsAAAAB%26reviewId%3DR1YC46S9VR58QY&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hC6MGmfPvfY04bK8oNco4CR9V8BsA%2FwpTAybAiOOyye%2BAAAAAGXT8SsAAAAB&reviewId=R1YC46S9VR58QY","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
