"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AEYUR7HLTGWRK4ZUUEYSZP52TW5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jolie","https://www.amazon.com/gp/customer-reviews/R2DBEHAVVXW76O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","5.0 out of 5 stars","Puppy liked them.","Reviewed in the United States on January 16, 2020","Puppy loved them. I only wish they took him a bit longer to chew up.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJH9ksyFIPJekK8Vn3vMxSQGYR7om4Dm5neYa4GH2ALuAAAAAGXT5AAAAAAB%26reviewId%3DR2DBEHAVVXW76O&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJH9ksyFIPJekK8Vn3vMxSQGYR7om4Dm5neYa4GH2ALuAAAAAGXT5AAAAAAB&reviewId=R2DBEHAVVXW76O","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AFFN6T3LPWJJVKZZENHQZEJCQXCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","j.jackson","https://www.amazon.com/gp/customer-reviews/R1TVN3N9527O0D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","5.0 out of 5 stars","Puppy chrw","Reviewed in the United States on February 4, 2020","My puppy loves them and helps with biting on me","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIhbelQdfTfpUExtNCY%252Bbh47CjUQETBc72fds7VVEjcZAAAAAGXT5AAAAAAB%26reviewId%3DR1TVN3N9527O0D&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIhbelQdfTfpUExtNCY%2Bbh47CjUQETBc72fds7VVEjcZAAAAAGXT5AAAAAAB&reviewId=R1TVN3N9527O0D","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AEL4NAQJ32Z3RFQHYXNR246EVUZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5db3fbe0-87c2-4beb-b768-ba12a595444c._CR0,0,500,500_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5db3fbe0-87c2-4beb-b768-ba12a595444c._CR0,0,500,500_SX48_.jpg""/>","Tricia Goss","https://www.amazon.com/gp/customer-reviews/R1JJ9J895T94JP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","4.0 out of 5 stars","Puppy Liked Them at First","Reviewed in the United States on September 17, 2018","My teething puppy liked these at first, but seemed to tire of them. Not sure if it's the shape or the flavor he doesn't love. Now he'll only chew them if he doesn't have anything else and after it sits around the house for a day or so.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGkB%252BjzMMjQncrQbM5zmwhC8VpkL56sZ11HkBz5G427UAAAAAGXT5AAAAAAB%26reviewId%3DR1JJ9J895T94JP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGkB%2BjzMMjQncrQbM5zmwhC8VpkL56sZ11HkBz5G427UAAAAAGXT5AAAAAAB&reviewId=R1JJ9J895T94JP","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AHZW6CJLCVYSGAL752LMQCQX22PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","kg","https://www.amazon.com/gp/customer-reviews/RPGOU0WO96DBV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","1.0 out of 5 stars","Costs three times as much as a 3-pack of same item.","Reviewed in the United States on March 31, 2020","I should have paid more attention to the description, but the price for this SINGLE PACK is about the same of the THREE PACKS, so with my quick glance, I thought it was a multi-pack. It was not. I paid the same price of a 3-pack for a single, little teething ring that was eaten in 10 minutes.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKlLEAnJ4guJmxbdKzSZ2Nn0sELaPh87rT2Wzwr%252F3Q3hAAAAAGXT5AAAAAAB%26reviewId%3DRPGOU0WO96DBV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKlLEAnJ4guJmxbdKzSZ2Nn0sELaPh87rT2Wzwr%2F3Q3hAAAAAGXT5AAAAAAB&reviewId=RPGOU0WO96DBV","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AGLVQKAUUU6XA5WAYAPTA6UAIADA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","L. More","https://www.amazon.com/gp/customer-reviews/R19HULCXYTBBCD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","3.0 out of 5 stars","Three Stars","Reviewed in the United States on December 29, 2017","consummed in a short moment.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBrounjn5JA8%252FmDliFxeWEFsY8fdPNlWWadXAtuTYzNCAAAAAGXT5AAAAAAB%26reviewId%3DR19HULCXYTBBCD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBrounjn5JA8%2FmDliFxeWEFsY8fdPNlWWadXAtuTYzNCAAAAAGXT5AAAAAAB&reviewId=R19HULCXYTBBCD","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AGL5H4N5UF6CC5US72I5K33ZHZHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/c5163501-67bb-47f3-8284-6fc083be263f._CR0,0,400,400_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/c5163501-67bb-47f3-8284-6fc083be263f._CR0,0,400,400_SX48_.jpg""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R2VP5VASMV0FIL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","5.0 out of 5 stars","It’s A Winner","Reviewed in the United States on January 8, 2020","He absolutely loves it.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEC9WSCKzVtEpkngVFVS0Y25Xd%252BDRYPIOqbQbJHJNJTWAAAAAGXT5AAAAAAB%26reviewId%3DR2VP5VASMV0FIL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEC9WSCKzVtEpkngVFVS0Y25Xd%2BDRYPIOqbQbJHJNJTWAAAAAGXT5AAAAAAB&reviewId=R2VP5VASMV0FIL","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AF262H73W72SEGOYJAHM5MTVQS4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Marci Sage","https://www.amazon.com/gp/customer-reviews/R3MYTLW5GU0SZ6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","5.0 out of 5 stars","Best chew bone out there","Reviewed in the United States on June 19, 2019","My dog Mookie loves this product","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOjynATBOA8VCF50WANyNzk4%252BBHD26rwz4mP%252BNBvj4BbAAAAAGXT5AAAAAAB%26reviewId%3DR3MYTLW5GU0SZ6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOjynATBOA8VCF50WANyNzk4%2BBHD26rwz4mP%2BNBvj4BbAAAAAGXT5AAAAAAB&reviewId=R3MYTLW5GU0SZ6","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGTG6TJSIJU5GPRSBEAIL5VJXKXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/56268707-010e-421e-93da-c24c571324f2._CR0,0,374,374_SX48_.jpg""/>","Judy","https://www.amazon.com/gp/customer-reviews/R3LQPKFEMT6REL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","4.0 out of 5 stars","The shape of it makes it easy for him to grab on to to carry around ...","Reviewed in the United States on September 7, 2016","My puppy likes it and it keeps him busy. The shape of it makes it easy for him to grab on to to carry around or for him to hold on to chew.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhE0SwGZPeBy0%252B6ya8rAoC0DbmBTsq0EqJK9Br02AGY0kAAAAAGXT5AAAAAAB%26reviewId%3DR3LQPKFEMT6REL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hE0SwGZPeBy0%2B6ya8rAoC0DbmBTsq0EqJK9Br02AGY0kAAAAAGXT5AAAAAAB&reviewId=R3LQPKFEMT6REL","Report","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFRXCWWZGBLTSFRF6UIAJOKDAXPQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars/default._CR0,0,1024,1024_SX48_.png""/>","Susan S.","https://www.amazon.com/gp/customer-reviews/R2SS8OCP99YFNO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B00X1A2ESC","5.0 out of 5 stars","Five Stars","Reviewed in the United States on June 14, 2017","Great product!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Single-Chicken-Flavor%2Fproduct-reviews%2FB00X1A2ESC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEZiijHWCHE8jZf7sZI9SbNl3C6uxRkYOObXWTz21jDFAAAAAGXT5AAAAAAB%26reviewId%3DR2SS8OCP99YFNO&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEZiijHWCHE8jZf7sZI9SbNl3C6uxRkYOObXWTz21jDFAAAAAGXT5AAAAAAB&reviewId=R2SS8OCP99YFNO","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Hava","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOMUsSgBL7fE9dlDnNkh4cnPwLnWADSPgsCVkObAqsvrAAAAAGXT5AAAAAAB&reviewId=RHS4DPUHMKDLX","5.0 out of 5 stars","Great deal","Reviewed in Canada on December 30, 2018","My 4 month old pup loves these. They’re a little big for him and after I let him go at it for awhile, I’ll take away and give to him another time. I’m sure he’d finish it if I let him.I like the fact that they don’t leave his fur all sticky and gross feeling like some other teething rings I’ve purchased before. Also, the price is great on amazon.","","","Report","","","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
