"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-mini href","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-lazy-loaded src","a-size-base 6"
"https://www.amazon.com/gp/profile/amzn1.account.AHPCDJ2NNRY2M2E3JUKNA4XPCZCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/cc075269-e23f-4d69-ab71-ced2030d5286._CR26,0,448,448_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/cc075269-e23f-4d69-ab71-ced2030d5286._CR26,0,448,448_SX48_.jpg""/>","Jillian","https://www.amazon.com/gp/customer-reviews/R1L1S83AJEQB95/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","5.0 out of 5 stars","Love it","Reviewed in the United States on January 12, 2024","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My ferrets love these treats. Also they make a great distraction for me to clean out my ferrets cages. My ferrets can't wait to get the treats out of my hand they absolutely love these treats","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJZBzKeWUaSMn4vB1PyAQJL617jFWHEY2l3yX%252BeaCiw6AAAAAGXT5K4AAAAB%26reviewId%3DR1L1S83AJEQB95&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJZBzKeWUaSMn4vB1PyAQJL617jFWHEY2l3yX%2BeaCiw6AAAAAGXT5K4AAAAB&reviewId=R1L1S83AJEQB95","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AHXQYXO46S3LW2UPEWHXRX77RDJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Constance sharp","https://www.amazon.com/gp/customer-reviews/R2J3BQA9E0PAUO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","5.0 out of 5 stars","Garret snacks","Reviewed in the United States on January 21, 2024","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","A++++","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGBftAJueEDrpil7OR1X0gkVnBH3m2ztHydebAM6CDc1AAAAAGXT5K4AAAAB%26reviewId%3DR2J3BQA9E0PAUO&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGBftAJueEDrpil7OR1X0gkVnBH3m2ztHydebAM6CDc1AAAAAGXT5K4AAAAB&reviewId=R2J3BQA9E0PAUO","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AG4GNQ6JT7KQRDKYLWGDUURZMFTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/9f78b6ec-b1f9-495c-a7d1-8a95e9a69503._CR0,51.0,231,231_SX48_.jpg""/>","Angie carter","https://www.amazon.com/gp/customer-reviews/R30BUJKWE223H7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","5.0 out of 5 stars","Ferret love","Reviewed in the United States on December 11, 2023","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My babies love this treat","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNy%252Fu%252Faofn%252FJzM2sKM76sjTvFNMAwROQWKuPacAoFbIoAAAAAGXT5K4AAAAB%26reviewId%3DR30BUJKWE223H7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNy%2Fu%2Faofn%2FJzM2sKM76sjTvFNMAwROQWKuPacAoFbIoAAAAAGXT5K4AAAAB&reviewId=R30BUJKWE223H7","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AERRZN73J5UTZID65QE2YA6FEADA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jennifer Huntley","https://www.amazon.com/gp/customer-reviews/R3VXAPW9UGBDME/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","4.0 out of 5 stars","The Product Quality","Reviewed in the United States on October 29, 2023","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","To Whom It May concern,We been getting these treats for some time now, since we've had our ferrets for 2+ yrs.The last shipment we have received did not look visually appeasing.They came mostly in crumbs, there are some whole pieces, but not a lot.They aren't expired. They don't smell bad.Please quality check these before shipping these. My ferrets love these so I don't want to switch to another seller or different manufacturer.Thank you","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFGqKeVF74fyT10BDBTLH0U4rYmgUWpw8CgoODRNHBxMAAAAAGXT5K4AAAAB%26reviewId%3DR3VXAPW9UGBDME&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","The Product Quality","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFGqKeVF74fyT10BDBTLH0U4rYmgUWpw8CgoODRNHBxMAAAAAGXT5K4AAAAB&reviewId=R3VXAPW9UGBDME","To Whom It May concern,We been getting these treats for some time now, since we've had our ferrets for 2+ yrs.The last shipment we have received did not look visually appeasing.They came mostly in crumbs, there are some whole pieces, but not a lot.They aren't expired. They don't smell bad.Please quality check these before shipping these. My ferrets love these so I don't want to switch to another seller or different manufacturer.Thank you","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","One person found this helpful"
"https://www.amazon.com/gp/profile/amzn1.account.AHM4XF732GYOBMPZ5KD4LO3HCYXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/fc85f582-fea9-40a3-ac86-f5bdb4bc2fcf._CR0,9.0,315,315_SX48_.jpg""/>","Aura","https://www.amazon.com/gp/customer-reviews/R670VIMBZ7DDD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","5.0 out of 5 stars","Rats love them!","Reviewed in the United States on September 7, 2023","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My rat Cloudy goes absolutely mad for these, they smell strong, but not overwhelming or unpleasant. Definitely only feed max 3 per day, or during bonding exercises. Cloudy is now spoiled and demands them every time I pass her cage, yanking them with her tiny paws through the bars if I give in. Feed with caution.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBW%252B411lXj1gbXYnr45c5pV3chFeUzjM7xH438PHYkrXAAAAAGXT5K4AAAAB%26reviewId%3DR670VIMBZ7DDD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBW%2B411lXj1gbXYnr45c5pV3chFeUzjM7xH438PHYkrXAAAAAGXT5K4AAAAB&reviewId=R670VIMBZ7DDD","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AENZ22QRERGSAZZZFRSDISO7EE6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","kelly king","https://www.amazon.com/gp/customer-reviews/R1AEK6NKG9KMI1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","3.0 out of 5 stars","Crumbles!!","Reviewed in the United States on November 2, 2023","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My favorite absolutely loves these treats and I have been buying them from Amazon for a while. The price is also a reason that I continue to buy this brand. But for the past two or three months every time that I receive my order the treats are completely smashed. It's like dust in the bottom of the bag. Very few are still full size. It's very disappointing. I will continue to buy them but I Hope that they can rectify this issue to where the quality is better.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGasyURHawdBRWeZqjPgiFUCO76VGuR2Z4N1C2gQdqRUAAAAAGXT5K4AAAAB%26reviewId%3DR1AEK6NKG9KMI1&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGasyURHawdBRWeZqjPgiFUCO76VGuR2Z4N1C2gQdqRUAAAAAGXT5K4AAAAB&reviewId=R1AEK6NKG9KMI1","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AG76EEZP6PUWP7SDU5Z5TAWQ2DYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Rylie","https://www.amazon.com/gp/customer-reviews/R3KBBFKTWPTMAC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","5.0 out of 5 stars","Personal Treat of Choice","Reviewed in the United States on June 20, 2023","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My ferrets prefer these soft treats over anything else. They are indeed soft treats, but your ferret will still need some time to chew it up. Considering how many are in the bag, I would say you are getting your money's worth. I have 4 ferrets, and do not need to buy these very often due to the quantity.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCbP6J7VkGx%252BIghdpAbIcIoTKHCB3U9vbJF%252BhJmioL47AAAAAGXT5K4AAAAB%26reviewId%3DR3KBBFKTWPTMAC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCbP6J7VkGx%2BIghdpAbIcIoTKHCB3U9vbJF%2BhJmioL47AAAAAGXT5K4AAAAB&reviewId=R3KBBFKTWPTMAC","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AEZC3H6QYGZRPQZSOR6OYEODJBCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Thomas R. Estes","https://www.amazon.com/gp/customer-reviews/RTH5KU6N3YD0K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","5.0 out of 5 stars","Good alternative to Marshall's treats.","Reviewed in the United States on October 3, 2022","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Glad to have this option available to use as an add on to my order when reaching for free shipping minimums. The chicken flavor isn't nearly as smelly as the bacon.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDyV5N0166ZYhXsvOgAoNZtxVJaflhRUA%252BpVEHA7ArQCAAAAAGXT5K4AAAAB%26reviewId%3DRTH5KU6N3YD0K&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDyV5N0166ZYhXsvOgAoNZtxVJaflhRUA%2BpVEHA7ArQCAAAAAGXT5K4AAAAB&reviewId=RTH5KU6N3YD0K","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AE2NGBOYKBBUKDKXOHNGRMV6G6MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/f41e21f8-e5d6-42b0-93ea-067fd4cdec1f._CR29,0,442,442_SX48_.jpg""/>","Digital Magic Prints","https://www.amazon.com/gp/customer-reviews/R141IFNF2TED8N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","4.0 out of 5 stars","Very good","Reviewed in the United States on November 13, 2023","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Perfect size and appealing appearance for the fur babies. Very soft. Our babies loved them.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAT7ad50yOqbKtNLOv5i3CVkq8YmKcgawIUP0xDADsnwAAAAAGXT5K4AAAAB%26reviewId%3DR141IFNF2TED8N&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAT7ad50yOqbKtNLOv5i3CVkq8YmKcgawIUP0xDADsnwAAAAAGXT5K4AAAAB&reviewId=R141IFNF2TED8N","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AGOTC56A25VORO5COM45XEH5CAOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Angela","https://www.amazon.com/gp/customer-reviews/R3KXXQV2BTLW3S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B014KLSBDW","4.0 out of 5 stars","Ferret wouldn't eat it but the cat did","Reviewed in the United States on August 17, 2023","https://www.amazon.com/N-Bone-Ferret-Treats-Chicken-Flavor/product-reviews/B014KLSBDW/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I've tried many treats and so far, not a single one has captured my ferrets attention. I can say, the cat thought this treat was great though, so not a total loss!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Ferret-Treats-Chicken-Flavor%2Fproduct-reviews%2FB014KLSBDW%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIAOO0OYIl%252BmR7Tcnkp7Sa9WiuJFGilseL%252FtHfq76qqbAAAAAGXT5K4AAAAB%26reviewId%3DR3KXXQV2BTLW3S&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIAOO0OYIl%2BmR7Tcnkp7Sa9WiuJFGilseL%2FtHfq76qqbAAAAAGXT5K4AAAAB&reviewId=R3KXXQV2BTLW3S","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
