"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-mini href","a-link-normal href","a-size-mini 2","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-lazy-loaded src","a-size-base 6"
"https://www.amazon.com/gp/profile/amzn1.account.AH4Z4YX3EHKGBMLOVKAODBVZOVWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Destinie","https://www.amazon.com/gp/customer-reviews/R1RS8SV6PPPF0R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","5.0 out of 5 stars","My puppy loves these","Reviewed in the United States on January 22, 2022","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppy loves these and they were the perfect size for training her. She’s only three months old and they were super easy for her to chew.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNGOzEODpDVglO9cr3aFYUk5yqmrrwwNSB0zuIk%252FCL%252FwAAAAAGXT5IcAAAAB%26reviewId%3DR1RS8SV6PPPF0R&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNGOzEODpDVglO9cr3aFYUk5yqmrrwwNSB0zuIk%2FCL%2FwAAAAAGXT5IcAAAAB&reviewId=R1RS8SV6PPPF0R","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AFKPW7XKIHRN2PKDS4VUQDIVS3PA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Packer Backer","https://www.amazon.com/gp/customer-reviews/RUX6T0XAFB7LJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","5.0 out of 5 stars","Lovesit","Reviewed in the United States on September 15, 2021","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My poochon puppy loves these. Great for training bites. He works hard for one.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLCTPzc6XX%252BOGyPpLjTXptnSXehPuwLIcUPoF9J%252FMcVJAAAAAGXT5IcAAAAB%26reviewId%3DRUX6T0XAFB7LJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLCTPzc6XX%2BOGyPpLjTXptnSXehPuwLIcUPoF9J%2FMcVJAAAAAGXT5IcAAAAB&reviewId=RUX6T0XAFB7LJ","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AE3ZAD22GWOPYTGIRXVUPZWEDC3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/39fea35b-a2a3-487b-a4b6-a5da51b06d51._CR62,0,375,375_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/39fea35b-a2a3-487b-a4b6-a5da51b06d51._CR62,0,375,375_SX48_.jpg""/>","Andrea Berman Liebowitz","https://www.amazon.com/gp/customer-reviews/R2HJ3WH6SW44UV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","5.0 out of 5 stars","Fantastic puppy treats","Reviewed in the United States on May 12, 2021","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Very healthy for my puppy. She loves it and they come in heart shapes","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhG2%252BkDMgwBCFQqiKJz6yp7dYWBuFbeiJc950C55c9RW%252BAAAAAGXT5IcAAAAB%26reviewId%3DR2HJ3WH6SW44UV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hG2%2BkDMgwBCFQqiKJz6yp7dYWBuFbeiJc950C55c9RW%2BAAAAAGXT5IcAAAAB&reviewId=R2HJ3WH6SW44UV","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AHSX6WP72NH52XRX5QP63OSVBEUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Angela","https://www.amazon.com/gp/customer-reviews/R1W4QGROWPCXXR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","5.0 out of 5 stars","Great treat","Reviewed in the United States on July 19, 2019","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppy likes them. As long as he approved of them I do to.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHR4X4SoXDXEoaMQfauM70aiKtk6Bnk86gzTuCTTZeneAAAAAGXT5IcAAAAB%26reviewId%3DR1W4QGROWPCXXR&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHR4X4SoXDXEoaMQfauM70aiKtk6Bnk86gzTuCTTZeneAAAAAGXT5IcAAAAB&reviewId=R1W4QGROWPCXXR","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AGK4R53YHECZHEJMIP56L7HT4K2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sal","https://www.amazon.com/gp/customer-reviews/R2B522ATBMLO1O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","3.0 out of 5 stars","Not the best ingredients. Avoid and use safer alternatives","Reviewed in the United States on August 24, 2023","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","The product has additives and meat is not the main ingredient. My puppy was also not very interested. It liked Blue Buffalo product better, it smelled better as my puppy said it tasted better too. I have educated myself and moved to Orijen brand. I am very happy with it, you pay more but it worth the money and your puppy will thank you.Cons:1. crumbly and poop consistency2. Get messy overhand/ fingers3. Not the ideal ingredients.My advice, move to better brands that offer freeze-dried single ingredients. I am also trying Amazon brand WAG and excited to try the beef liver product.  I tossed it away after use it briefly, as it is best for my dog.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBCSAg3ngk2EjZTC5k2ZUN0jnSQ31%252FxD02aBfbwvOhhFAAAAAGXT5IcAAAAB%26reviewId%3DR2B522ATBMLO1O&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBCSAg3ngk2EjZTC5k2ZUN0jnSQ31%2FxD02aBfbwvOhhFAAAAAGXT5IcAAAAB&reviewId=R2B522ATBMLO1O","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AEFK2FUDZ2VCFBA3CO2NKR5OBA3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Peter Schuelke","https://www.amazon.com/gp/customer-reviews/R3PM3RPKFZ7GEL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","5.0 out of 5 stars","Great value","Reviewed in the United States on July 12, 2020","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our Teacup chihuahua loves them","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGcO8gDs7oehS32WX0jPzQoWg%252FqOJ9nXPxOn7CTtdwYYAAAAAGXT5IcAAAAB%26reviewId%3DR3PM3RPKFZ7GEL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGcO8gDs7oehS32WX0jPzQoWg%2FqOJ9nXPxOn7CTtdwYYAAAAAGXT5IcAAAAB&reviewId=R3PM3RPKFZ7GEL","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AE6QF7JAUSX5DEFSGYAGP2MKDXNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/461ccd81-027d-4527-8889-553cf1c7a940._CR189,0,1122,1122_SX48_.jpg""/>","Amazon Queen","https://www.amazon.com/gp/customer-reviews/R17E1P239B3S4C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","5.0 out of 5 stars","Delicious!","Reviewed in the United States on February 4, 2019","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppy goes NUTS over these treats!!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCKOe4CpQWdqdwKthuxIHPXRBL05vyTKtv4p8rWD%252Bu3CAAAAAGXT5IcAAAAB%26reviewId%3DR17E1P239B3S4C&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCKOe4CpQWdqdwKthuxIHPXRBL05vyTKtv4p8rWD%2Bu3CAAAAAGXT5IcAAAAB&reviewId=R17E1P239B3S4C","Report","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AG2KU5WEVASLOC7KK5OWISHQCV7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","MiChi","https://www.amazon.com/gp/customer-reviews/R2EW9PY66G6KIF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","3.0 out of 5 stars","Three Stars","Reviewed in the United States on May 3, 2017","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Not like the stick treats from Get Naked. Dog doesn't like them too much.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFsLqSozr3Cry%252FN%252BE2flmUObv8N1E97PRAWNajda4nmJAAAAAGXT5IcAAAAB%26reviewId%3DR2EW9PY66G6KIF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFsLqSozr3Cry%2FN%2BE2flmUObv8N1E97PRAWNajda4nmJAAAAAGXT5IcAAAAB&reviewId=R2EW9PY66G6KIF","Report","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AEHNQ4Y5YENNV2EVPMUVUBUJRWRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","ShopR","https://www.amazon.com/gp/customer-reviews/R13AGB4X37FKOL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","5.0 out of 5 stars","Worth it","Reviewed in the United States on December 18, 2018","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Great product","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhADag37J0yX5S%252FZfwqF7u1mQJUwj8LzFKvHjycEM0wz2AAAAAGXT5IcAAAAB%26reviewId%3DR13AGB4X37FKOL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hADag37J0yX5S%2FZfwqF7u1mQJUwj8LzFKvHjycEM0wz2AAAAAGXT5IcAAAAB&reviewId=R13AGB4X37FKOL","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AE25SWSFDLEIOQEG7KDNPKHOTTTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","kaja","https://www.amazon.com/gp/customer-reviews/R2IRN407EKQ6OP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B017YAHTJ8","5.0 out of 5 stars","Great product","Reviewed in the United States on September 20, 2018","Flavor Name: ChickenSize: 5 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Pouch-Health-Treats/product-reviews/B017YAHTJ8/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Great for training","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB017YAHTJ8%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLAFDXf05rHsMsb6nHoZVGjNCnAYwem0o9xnhDaeVyc6AAAAAGXT5IcAAAAB%26reviewId%3DR2IRN407EKQ6OP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLAFDXf05rHsMsb6nHoZVGjNCnAYwem0o9xnhDaeVyc6AAAAAGXT5IcAAAAB&reviewId=R2IRN407EKQ6OP","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
