"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AELN2LQ6J7FKAM43U3A3CLDYDYWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/d095dbed-9250-4f10-8aef-dd9b09b9f742._CR0,100.0,1080,1080_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/d095dbed-9250-4f10-8aef-dd9b09b9f742._CR0,100.0,1080,1080_SX48_.jpg""/>","ReviewAddict","https://www.amazon.com/gp/customer-reviews/R2CJ0CED9WJ3GN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","5.0 out of 5 stars","My fur baby loves them.","Reviewed in the United States on February 9, 2024","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","They are very soft and easy for my little guy to eat and he loves the taste of them.  I’m hoping it helps his arthritis so far it seems to be.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEjjUPOCb2E9VnPHwQpwQ1X6gvVXlimLFzjFNYMYR%252BklAAAAAGXT46oAAAAB%26reviewId%3DR2CJ0CED9WJ3GN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEjjUPOCb2E9VnPHwQpwQ1X6gvVXlimLFzjFNYMYR%2BklAAAAAGXT46oAAAAB&reviewId=R2CJ0CED9WJ3GN","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AGOGNFBQC6BISEO4W2BRWKRNYASA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","bought the thing","https://www.amazon.com/gp/customer-reviews/R3V7G0JVHJGVTK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","5.0 out of 5 stars","Dogs like it","Reviewed in the United States on January 29, 2024","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","As my aging dogs live out their best life, this product has given them a little extra joy to life.  They are frisky and look forward to these.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHjQtI6LEfRMzHCMEg6rur2MPnGGiyWSbmHRbCKgG0AwAAAAAGXT46oAAAAB%26reviewId%3DR3V7G0JVHJGVTK&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHjQtI6LEfRMzHCMEg6rur2MPnGGiyWSbmHRbCKgG0AwAAAAAGXT46oAAAAB&reviewId=R3V7G0JVHJGVTK","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AHA2PDOLPVXZ7OGDCOPC6GYTZHYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","BW","https://www.amazon.com/gp/customer-reviews/R6JCVCKAF0P1G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","5.0 out of 5 stars","Easy to use","Reviewed in the United States on December 15, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Dogs seem to like these and joint ingredients help for my older dog.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNtOeh1U9DhlQMHtXw8d9nj6zikgFB8Vy%252BZfzOKBMzvOAAAAAGXT46oAAAAB%26reviewId%3DR6JCVCKAF0P1G&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNtOeh1U9DhlQMHtXw8d9nj6zikgFB8Vy%2BZfzOKBMzvOAAAAAGXT46oAAAAB&reviewId=R6JCVCKAF0P1G","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AEFYQPL3URSBT5TRG22R64E7J53Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","dee","https://www.amazon.com/gp/customer-reviews/R5TWH5DTJCOFP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","4.0 out of 5 stars","Yummy","Reviewed in the United States on December 20, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Fur babies like it","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhO76xpQopvdHPyLUGmguiXYKRIv6BbXIYF5HsofLjZ7WAAAAAGXT46oAAAAB%26reviewId%3DR5TWH5DTJCOFP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hO76xpQopvdHPyLUGmguiXYKRIv6BbXIYF5HsofLjZ7WAAAAAGXT46oAAAAB&reviewId=R5TWH5DTJCOFP","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AH4YF2HPOEZR2XWMHTL7IBAEYYMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lori A.","https://www.amazon.com/gp/customer-reviews/R9DY17JLCOUBB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","5.0 out of 5 stars","Perfect treats for my senior dog!","Reviewed in the United States on January 16, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog loves these treats! They are perfect. Exactly what was advertised. Definitely buying thesefrom now on!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBnC0GPxMKG7WrV0R%252B3AvJuY9CAkc43hmpIUVmjqosmkAAAAAGXT46oAAAAB%26reviewId%3DR9DY17JLCOUBB&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBnC0GPxMKG7WrV0R%2B3AvJuY9CAkc43hmpIUVmjqosmkAAAAAGXT46oAAAAB&reviewId=R9DY17JLCOUBB","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AFRKMEGQ2RUT4VAEVDVQLQHMD5RA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","MaryJo Eaton","https://www.amazon.com/gp/customer-reviews/R1XPFTP0U7S112/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","3.0 out of 5 stars","My dog really likes on","Reviewed in the United States on September 17, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","They're soft and easy for him eatThey smell good and he likes them. An original movie in Priced","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDyvDCtJMYZmi8cf2PsfiqRRlZTXYdFCAoZg04YQHwK4AAAAAGXT46oAAAAB%26reviewId%3DR1XPFTP0U7S112&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDyvDCtJMYZmi8cf2PsfiqRRlZTXYdFCAoZg04YQHwK4AAAAAGXT46oAAAAB&reviewId=R1XPFTP0U7S112","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHDS6DRECJOUSJJZDOMMVPKQIEOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Brittany","https://www.amazon.com/gp/customer-reviews/RQ4ZAO0N7EFJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","5.0 out of 5 stars","My dog loves them","Reviewed in the United States on August 21, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have a very picky dog who turns his nose up to alot of treats but he absolutely loves these. They are great to use in dog puzzles.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKlyw9ziJlEZlARHHRG74O4N3kmfZW3N%252BuQLdRqoDF%252BbAAAAAGXT46oAAAAB%26reviewId%3DRQ4ZAO0N7EFJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKlyw9ziJlEZlARHHRG74O4N3kmfZW3N%2BuQLdRqoDF%2BbAAAAAGXT46oAAAAB&reviewId=RQ4ZAO0N7EFJ","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEOJPAJSPXBLGUZJHXBKG4VD64VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","thomas hughes","https://www.amazon.com/gp/customer-reviews/R34VZQ41F0VTNK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","5.0 out of 5 stars","My dogs love them.","Reviewed in the United States on October 11, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Perfect treats for the canines","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFbu6RzLtQSXd289V%252Bgfayw2MUKfLXdduulhwMZvT5leAAAAAGXT46oAAAAB%26reviewId%3DR34VZQ41F0VTNK&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFbu6RzLtQSXd289V%2Bgfayw2MUKfLXdduulhwMZvT5leAAAAAGXT46oAAAAB&reviewId=R34VZQ41F0VTNK","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEFL2LPYGA34TQU4T6CZQ4LXAGIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","WB","https://www.amazon.com/gp/customer-reviews/R1GS7T7MGQAQY6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","5.0 out of 5 stars","Good treats","Reviewed in the United States on September 10, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog really liked these treats.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKE%252FPl%252Bnb%252BJq7jvWP0q0DvRZ1fAVTCZy%252FbmYPx55%252FuU0AAAAAGXT46oAAAAB%26reviewId%3DR1GS7T7MGQAQY6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKE%2FPl%2Bnb%2BJq7jvWP0q0DvRZ1fAVTCZy%2FbmYPx55%2FuU0AAAAAGXT46oAAAAB&reviewId=R1GS7T7MGQAQY6","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AG64VIK47ATCQA22BX6J5JYH7ZWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kindle Customer","https://www.amazon.com/gp/customer-reviews/RR25L3M6OU5E2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B018BWLEPS","5.0 out of 5 stars","Supplements that aren't as appealing and tasty aren't easy to get into a dog","Reviewed in the United States on May 25, 2018","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Supplements that aren't as appealing and tasty aren't easy to get into a dog. My dog loves having them as a treat and I love giving them to her knowing that she needs the supplement after having 2 TPLO sugeries on her knees. Wonderful product.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Pouch-Health-Treats%2Fproduct-reviews%2FB018BWLEPS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhMzvwhptC9r7iKPLSGjpXbjN7zapbqpFWPRX7zTGk1puAAAAAGXT46oAAAAB%26reviewId%3DRR25L3M6OU5E2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMzvwhptC9r7iKPLSGjpXbjN7zapbqpFWPRX7zTGk1puAAAAAGXT46oAAAAB&reviewId=RR25L3M6OU5E2","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
