"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AGEI3RSH3N5EBLWORNP4NDMKJUDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Alex","https://www.amazon.com/gp/customer-reviews/RDH0NH0XFPN72/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","5.0 out of 5 stars","Great treats!","Reviewed in the United States on February 1, 2024","At the beginning took time to used smell, now it’s better than other treats. Thanks!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAOfmzMpo3bU9C1Ik0S01eFzZr1RjsJEnmHOMUyE1iS0AAAAAGXT5YwAAAAB%26reviewId%3DRDH0NH0XFPN72&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAOfmzMpo3bU9C1Ik0S01eFzZr1RjsJEnmHOMUyE1iS0AAAAAGXT5YwAAAAB&reviewId=RDH0NH0XFPN72","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AHI7V4KYPHRLMY2YLZPC4EM54ZXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/b16a5c5b-1cf5-4796-8bf1-79f4aa9a0d7e._CR0,0,375,375_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/b16a5c5b-1cf5-4796-8bf1-79f4aa9a0d7e._CR0,0,375,375_SX48_.jpg""/>","Katie","https://www.amazon.com/gp/customer-reviews/R1UV5AP9NHBZ2R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","5.0 out of 5 stars","Ready for a long story?","Reviewed in the United States on February 15, 2020","Well you’re here reading so I guess you are. Six years ago I decided to adopt cat. I didn’t know which one yet just that I wanted a cat in my life. I went to a local shelter and found one that I liked a lot. When I talked to the clerk there she told me that the little guy I liked was really sick, and that their vet couldn’t figure out what was wrong with him. I got nervous about the costs associated with an undiagnosed illness, and when I made my thoughts known the clerk said “he’s not the cat for you.” I gave her this look of “excuse me?” And she continued saying, “when it’s your cat, you’ll know. And you won’t care what’s wrong or how much the medical bills might be, you’ll just know.” She suggested I go check out a couple other places and that if my heart was truly set on this little guy I could come back for him. Turns out she was right. He wasn’t the little guy for me, although I’m sure he found a very happy home. I went to another shelter that day and when I walked in, I turned to the cat room (it was very small and had no door) and started to go in. I remember the shelter was really loud. It was small so there wasn’t much of a barrier between the dogs and cats. But over all the chaotic noise I just heard this heartbreaking meow. I looked at the back of the room and there was this little grey floof meowing at the top of his lungs, standing up on his hind legs just staring at me. I immediately went over and got him out of the cage, and didn’t put him down again until we got home. I didn’t even ask if he’d had health issues, because that clerk was right. I didn’t care. Little did I know I chose a floof (named Jasper) that would end up with some serious health issues, costing around $6000 for the hospital stay and surgery, and expensive prescription food thereafter. Jasper had crystals in his bladder that he was unable to pass through his urethra. He almost died when it was at its worst, and even though it was suggested to me to put him down, I told the vet to try anything he could to save him. The surgery has a 50% success rate which is not great, but it was a success for Jasper. However, he now needs some special care to ensure he stays healthy. Although the prescription food helped immensely, I noticed he was still having digestive issues, and has had a couple of flare ups with his bladder. I tried so many different things but nothing really worked until I found these random cranberry treats on amazon. I figured, what the heck. Might as well. And they were a godsend. Not only is Jasper OBSESSED with these treats, but they help him so much! As long as I consistently give him these treats he doesn’t get bladder flare ups, and he throws up a lot less (now it’s just the occasional hairball for which I started using Loxatene). In general they just keep him much healthier and happier, and they’re ten times better than the royal canine prescription treats. A few months back they stopped selling these, and immediately Jasper started having some issues again. I’m so glad they’re back in stock, and I hope they stay that way. If your cat has urinary tract issues, I am begging you, try these! It is absolutely and by far the best product for kitty UT issues on the market. Quality ingredients, and proven to work. And for the record, I am not being paid or sponsored for this review. I just truly truly believe in this company and these treats after everything Jasper and I have been through. Anyway, if you’ve gotten this far, thanks for reading, and try the treats.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHMb7qXnvczVnjlt9xrZ82ufWLn2V9gM0R8xuCRE%252BwZDAAAAAGXT5YwAAAAB%26reviewId%3DR1UV5AP9NHBZ2R&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Ready for a long story?","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHMb7qXnvczVnjlt9xrZ82ufWLn2V9gM0R8xuCRE%2BwZDAAAAAGXT5YwAAAAB&reviewId=R1UV5AP9NHBZ2R","Well you’re here reading so I guess you are. Six years ago I decided to adopt cat. I didn’t know which one yet just that I wanted a cat in my life. I went to a local shelter and found one that I liked a lot. When I talked to the clerk there she told me that the little guy I liked was really sick, and that their vet couldn’t figure out what was wrong with him. I got nervous about the costs associated with an undiagnosed illness, and when I made my thoughts known the clerk said “he’s not the cat for you.” I gave her this look of “excuse me?” And she continued saying, “when it’s your cat, you’ll know. And you won’t care what’s wrong or how much the medical bills might be, you’ll just know.” She suggested I go check out a couple other places and that if my heart was truly set on this little guy I could come back for him. Turns out she was right. He wasn’t the little guy for me, although I’m sure he found a very happy home. I went to another shelter that day and when I walked in, I turned to the cat room (it was very small and had no door) and started to go in. I remember the shelter was really loud. It was small so there wasn’t much of a barrier between the dogs and cats. But over all the chaotic noise I just heard this heartbreaking meow. I looked at the back of the room and there was this little grey floof meowing at the top of his lungs, standing up on his hind legs just staring at me. I immediately went over and got him out of the cage, and didn’t put him down again until we got home. I didn’t even ask if he’d had health issues, because that clerk was right. I didn’t care. Little did I know I chose a floof (named Jasper) that would end up with some serious health issues, costing around $6000 for the hospital stay and surgery, and expensive prescription food thereafter. Jasper had crystals in his bladder that he was unable to pass through his urethra. He almost died when it was at its worst, and even though it was suggested to me to put him down, I told the vet to try anything he could to save him. The surgery has a 50% success rate which is not great, but it was a success for Jasper. However, he now needs some special care to ensure he stays healthy. Although the prescription food helped immensely, I noticed he was still having digestive issues, and has had a couple of flare ups with his bladder. I tried so many different things but nothing really worked until I found these random cranberry treats on amazon. I figured, what the heck. Might as well. And they were a godsend. Not only is Jasper OBSESSED with these treats, but they help him so much! As long as I consistently give him these treats he doesn’t get bladder flare ups, and he throws up a lot less (now it’s just the occasional hairball for which I started using Loxatene). In general they just keep him much healthier and happier, and they’re ten times better than the royal canine prescription treats. A few months back they stopped selling these, and immediately Jasper started having some issues again. I’m so glad they’re back in stock, and I hope they stay that way. If your cat has urinary tract issues, I am begging you, try these! It is absolutely and by far the best product for kitty UT issues on the market. Quality ingredients, and proven to work. And for the record, I am not being paid or sponsored for this review. I just truly truly believe in this company and these treats after everything Jasper and I have been through. Anyway, if you’ve gotten this far, thanks for reading, and try the treats.","598 people found this helpful",""
"https://www.amazon.com/gp/profile/amzn1.account.AF633E6GHYNDPSJLBJ2EO2XCDTUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lisa","https://www.amazon.com/gp/customer-reviews/R261WH610PN783/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","4.0 out of 5 stars","Picky cats","Reviewed in the United States on February 15, 2024","I don't want to give this a poor review because my cats are very picky eaters, that just may be why they didn't eat them. I looked & smelled them & they looked fine to me. Their loss!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhH%252BI0Mi3FsNdeYp3KlbJ6UjKOifXHGQ666t%252B%252FuIXb5SLAAAAAGXT5YwAAAAB%26reviewId%3DR261WH610PN783&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hH%2BI0Mi3FsNdeYp3KlbJ6UjKOifXHGQ666t%2B%2FuIXb5SLAAAAAGXT5YwAAAAB&reviewId=R261WH610PN783","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFWIOMALVI3Q7UZ5O6BR5H6QYEWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R34N6N71XMG0QY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","5.0 out of 5 stars","My cat loves these!","Reviewed in the United States on February 4, 2024","My cat has never been one for treats but when she started having kidney problems I got them. Now she runs to the counter and waits for me to give her these treats, she wants them all the time. I only give her a few in the morning and at night.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFNcNhwf5PnTkQZwSmTIViGwqO5Kf1JsxWF2MEK1fcLqAAAAAGXT5YwAAAAB%26reviewId%3DR34N6N71XMG0QY&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFNcNhwf5PnTkQZwSmTIViGwqO5Kf1JsxWF2MEK1fcLqAAAAAGXT5YwAAAAB&reviewId=R34N6N71XMG0QY","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHY6RNODXVXSIRNPZEQMMRX3RBLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/6aa3e9fb-2685-42a7-a9b2-6f5dc4f44ca4._CR0,0,375,375_SX48_.jpg""/>","Angelina Blaschka","https://www.amazon.com/gp/customer-reviews/R2Z0KCZ7AN8M9T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","3.0 out of 5 stars","hit or miss","Reviewed in the United States on February 2, 2024","one of my cats liked them","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEtw5UeAbrOzng2pp3e%252BpsNawOCEmCOHDAMiw%252B7d%252BP2TAAAAAGXT5YwAAAAB%26reviewId%3DR2Z0KCZ7AN8M9T&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEtw5UeAbrOzng2pp3e%2BpsNawOCEmCOHDAMiw%2B7d%2BP2TAAAAAGXT5YwAAAAB&reviewId=R2Z0KCZ7AN8M9T","Showing  comments","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AG7UUWNMBSD7OFEBN7SQ6T4DCPEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","J. Nicholson","https://www.amazon.com/gp/customer-reviews/R1OTH5J2Z8FDBU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","5.0 out of 5 stars","My cat loves them","Reviewed in the United States on January 8, 2024","My kitty has urinary tract problems. We use treats to encourage and reward using the scratching post, but this kitty can’t have regular treats any more. I tried another brand of cranberry treats and he wouldn’t even look at them.  I was thrilled that he gobbled these right up. The price is reasonable, too.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhO1lQHIL98DEda9NrUK%252B49bbQwmvehGnIFWP7omHR2XsAAAAAGXT5YwAAAAB%26reviewId%3DR1OTH5J2Z8FDBU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","5 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hO1lQHIL98DEda9NrUK%2B49bbQwmvehGnIFWP7omHR2XsAAAAAGXT5YwAAAAB&reviewId=R1OTH5J2Z8FDBU","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AH3LCFIIU2RWHPA57MMYG35DII5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Terri","https://www.amazon.com/gp/customer-reviews/RM258BIQHXG8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","5.0 out of 5 stars","He loves it!","Reviewed in the United States on February 14, 2024","He gobbles these down. Definitely recommend.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCB6LmWoQUekv9BYi%252BWWA%252BY3XgQqStQX29g6DB6dTABVAAAAAGXT5YwAAAAB%26reviewId%3DRM258BIQHXG8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCB6LmWoQUekv9BYi%2BWWA%2BY3XgQqStQX29g6DB6dTABVAAAAAGXT5YwAAAAB&reviewId=RM258BIQHXG8","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGI5SHAEUMIAWMGCPKVK6QK4HEUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Anonymous Gardener","https://www.amazon.com/gp/customer-reviews/R1265AZ9IE3SGT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","4.0 out of 5 stars","Cats love the taste","Reviewed in the United States on January 13, 2024","Healthy treats. Cats love the taste","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIIbVsVTbpuF1tdNNcclJFOeiyainzMCxHs0mIOjb4dnAAAAAGXT5YwAAAAB%26reviewId%3DR1265AZ9IE3SGT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIIbVsVTbpuF1tdNNcclJFOeiyainzMCxHs0mIOjb4dnAAAAAGXT5YwAAAAB&reviewId=R1265AZ9IE3SGT","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGTZYSOTD3AXN3VSGLCWHIA6US5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/941773c0-4353-4fea-9e38-8b735120b290._CR72,0,300,300_SX48_.jpg""/>","K. Morris","https://www.amazon.com/gp/customer-reviews/R1O7FB284ME7PZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","5.0 out of 5 stars","Get Naked Urinary Health Crunchy Treats For Cats - Because Even Cats Deserve Good Plumbing!","Reviewed in the United States on August 28, 2023","Move over, Mario, because Get Naked Urinary Health Crunchy Treats for Cats are here to save the day! These treats are all about keeping your feline friend's plumbing in tip-top shape. Who knew that cranberries could be the secret weapon in the battle against urinary issues? It's like a plumber in a pouch!Picture this: your kitty cat strutting around like a boss, knowing that their urinary health is on point. With these treats, your cat will be the envy of all the other feline friends in the neighborhood. They'll be flaunting their healthy urinary tract like it's the latest fashion trend. Move aside, catnip; cranberries are the new cool kids on the block!But let's talk about the taste, because even though we're all about the plumbing, we can't forget about the flavor. These treats are like little bursts of cranberry goodness, packed with flavor that will make your cat purr with delight. It's like a party in their mouth, with every crunch bringing them closer to urinary heaven. Who knew plumbing could taste so good?In conclusion, Get Naked Urinary Health Crunchy Treats for Cats are the plumber your cat has been waiting for. With their cranberry powers and delicious taste, your feline friend will be strutting around like the king or queen of the litter box. So go ahead, treat your cat to some good plumbing, and watch as they enjoy every crunchy bite. It's time to give your cat the urinary health they deserve. Plumbing problems? Not on our watch!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDub1TXBIv7iRJ0dTxLA1olgQ70264IQoakBXnjDoBnMAAAAAGXT5YwAAAAB%26reviewId%3DR1O7FB284ME7PZ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","9 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDub1TXBIv7iRJ0dTxLA1olgQ70264IQoakBXnjDoBnMAAAAAGXT5YwAAAAB&reviewId=R1O7FB284ME7PZ","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGYBMXWB5QFHO3CU5MXRCX6HKJ7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","AB","https://www.amazon.com/gp/customer-reviews/R3217R4EVGGTJW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HGMDO2U","5.0 out of 5 stars","Cat loves eating these like candy!","Reviewed in the United States on February 19, 2023","So I cannot attest to the flavor quality as I have not eaten these myself but my chonky boy cat really enjoys gobbling them down like gummy bears. As he's getting on his years and UTIs are an issue for male cats I try to give these to him daily. At 16 lbs he gets about 12 of these per day, I throw them across the room and he screams joyfully as he flies upwards, getting several feet of air. Sometimes one gets under a bookcase and then he goes mad trying to pry his precious out from under the thieving piece of furniture. I don't dare go near the bag when it's not Treat Time as he will get all riled up and becomes utterly unbearable.The weird thing is initially when I first got these he did not care for them. I didn't give him any for a few weeks and suddenly he developed a taste for them, I'm not sure what kitty crack they put in these things.My other cat does not care for these. One sniff and she turns to me with this annoyed face like I'm wasting her valuable cat-time.So your cat's reactions to this will vary (every kitty is an individual and she/he has different preferences). If they don't like it, try again later or give it to another fellow cat owner to enjoy.Edit: I have updated my review from 4 stars to 5 stars.It's 10 months since my previous review and my cat still loves them! And they help keep his weight down as we have made a game where I shake the bag (and he gets all crazy because he has the exact sound of the bag memorized) before throwing the treat for him to catch/find. I throw him a couple throughout the day so he gets his 9-12 minimum and they keep him active and healthy. The treats are also a nice small size so he doesn't have to struggle at all (senior kitties sometimes have teeth issues so he tries and gives up on the bigger treats that require chewing). I hope the company never changes the formula!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Urinary-Crunchy-Cranberries%2Fproduct-reviews%2FB01HGMDO2U%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhP5wiBEsfeVmdcAPGKzTAV0Sm94THKNc3NYYG91q8pOWAAAAAGXT5YwAAAAB%26reviewId%3DR3217R4EVGGTJW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","23 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hP5wiBEsfeVmdcAPGKzTAV0Sm94THKNc3NYYG91q8pOWAAAAAGXT5YwAAAAB&reviewId=R3217R4EVGGTJW","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
