"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-size-base 4","a-button-text href","a-size-base 5","a-size-base href 2","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AFJRWMCDMQU3QGGT2O2DKYJK355Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Aurora","https://www.amazon.com/gp/customer-reviews/R508R69MOWTVS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","5.0 out of 5 stars","These are amazing!","Reviewed in the United States on December 22, 2023","Took a chance on these (have used countless brands of treats, Petromalt, etc for hairballs)…my Persian freaks out for these! They are excellent on their own or meal toppers. They are very soft so easy on his super senior teeth (or lack thereof lol), sometimes we crumble them on top of his wet or dry food to get him more excited to eat. They also have seemed to help keep his #2 movements nice and even as he had been having some gastric issues and inconsistencies. One thing to note is bc of their hairball remedy ingredients you are only supposed to give them a few a day (for his 9 lbs weight it’s 3x day). I wish I could give him more to stack his calories!!","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhH1pxttApLrLTmJeKZa6urF4wfv8BIEHNotQ3%252BBwWoKOAAAAAGXT8tgAAAAB%26reviewId%3DR508R69MOWTVS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hH1pxttApLrLTmJeKZa6urF4wfv8BIEHNotQ3%2BBwWoKOAAAAAGXT8tgAAAAB&reviewId=R508R69MOWTVS","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AGF2BEZEE2RLE3FXCKOKY5DE4U2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Vicky Mone","https://www.amazon.com/gp/customer-reviews/R3UF8NGST99H73/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","5.0 out of 5 stars","Cats favorite Valentines treat ever!","Reviewed in the United States on February 14, 2024","My cats (4) even the finicky one love these !  Best reaction to treats ever and kept wanting more!  These are great for them and clearly meets their expectations for happy valentine's day!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFyDWd2Hc%252FzYpqW2H1qUBMsq9pyoYE7GdxBA8%252BV91w8hAAAAAGXT8tgAAAAB%26reviewId%3DR3UF8NGST99H73&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFyDWd2Hc%2FzYpqW2H1qUBMsq9pyoYE7GdxBA8%2BV91w8hAAAAAGXT8tgAAAAB&reviewId=R3UF8NGST99H73","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF6WZZJBXVB4AEY6LHZAHWO2KC4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Melissa L.","https://www.amazon.com/gp/customer-reviews/R1N1J8DO1ZNZ9A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","4.0 out of 5 stars","Pretty good","Reviewed in the United States on November 22, 2023","My cat thinks they are ok. Doesn’t love them. But they have helped her digestion","3 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhB518oO1NAhLPyVBGxPkeiOcylqrofvZOf0HEtkEgM8hAAAAAGXT8tgAAAAB%26reviewId%3DR1N1J8DO1ZNZ9A&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hB518oO1NAhLPyVBGxPkeiOcylqrofvZOf0HEtkEgM8hAAAAAGXT8tgAAAAB&reviewId=R1N1J8DO1ZNZ9A","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEOAEY4MYSN3EKL2X3XK322DDIBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/11ec5380-9cf3-4cc0-ae88-1bf8e3015655._CR0,0,375,375_SX48_.jpg""/>","Jay W","https://www.amazon.com/gp/customer-reviews/R2WE0KS0J4ZR85/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","3.0 out of 5 stars","My Cat Spit it Out, My Daughters Cats Too","Reviewed in the United States on November 24, 2023","They look and smell good, look to have good ingredients. Unfortunately my cat wouldn't eat it. I tried twice and both times she spit it out. I gave them to my daughter who has two cats and she said they would not eat them as well. Very odd because my cat isn't very picky and her cats are not picky either.","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPwygzBnkdhvlAvuB0rdZ5DhlSckj0DxJ3d%252BU5eRh5bNAAAAAGXT8tkAAAAB%26reviewId%3DR2WE0KS0J4ZR85&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPwygzBnkdhvlAvuB0rdZ5DhlSckj0DxJ3d%2BU5eRh5bNAAAAAGXT8tkAAAAB&reviewId=R2WE0KS0J4ZR85","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGWWLZQYVB5JHOQKGHCWCA3TCVNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/e46f6d88-11ef-47ba-9565-0fa1462a0c64._CR0,0,500,500_SX48_.jpg""/>","Peachy","https://www.amazon.com/gp/customer-reviews/R1VLWU6BGCQR2T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","5.0 out of 5 stars","Cat LOVES them, and less hairballs!","Reviewed in the United States on September 25, 2023","My 16.5 year old cat absolutely LOVES these treats! He first got them from Santa in his stocking for Xmas, and he loved them so much I've continued to buy them. We've tried MANY cat treats over our 16 years together (well, I've bought them and he tried them), and he's never loved any like he loves these! He is a longhaired cat and, as a bonus, they have really reduced the amount of hairballs he gets quite substantially, so it's a win/win. Now he will actually meow and ""ask"" for a treat whenever a family member goes to where we keep them, and my daughter has even taught him the ""trick"" of standing on his hind legs and reaching up to ""tap the bag"" with his paw as she holds it in order to ""earn"" a treat. lol","5 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPEDghraEiqhzvojPZJLaoSJrOlVrATDOoz%252FSpAr8zADAAAAAGXT8tgAAAAB%26reviewId%3DR1VLWU6BGCQR2T&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPEDghraEiqhzvojPZJLaoSJrOlVrATDOoz%2FSpAr8zADAAAAAGXT8tgAAAAB&reviewId=R1VLWU6BGCQR2T","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHWKEZGLC53ENLTPUFQQZQH7P7XA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Tiffany Dulaney","https://www.amazon.com/gp/customer-reviews/R3SG7DRLTNAAQW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","1.0 out of 5 stars","Disappointed","Reviewed in the United States on January 19, 2024","My cat has been eating these treats for over a year now. I got these treats because she has a hard time going to the bathroom & these are for digestive health...they HAVE not helped at all & like I said its been over a year. But yes I continued to buy these treats,not because they helped but because she loves them so much,or did...lately I've noticed the treats are different. They have always been a little moist. Lately they are more moist then they have ever been.i was scared to feed them to her because they looked darker in color & very vey moist!!! I reached out to Amazon, they just gave me a credit gift card. So I tried again thinking maybe I just got a bad bag. Nope same thing. I didn't reach out to Amazon. Waited a week or two. My cat loves these and I was upset! So I figured I'll try one more time to buy these treats. We'll same thing! And my cat is not crazy about these so I know something isn't right!!! I called Amazon told them the issue, they can see from my account how many times I've purchased these treats! It was ALOT!! I told him something needs to be done about this. He gave me my money back on my card and said he was going to bring it up to the  company that makes these..I don't know if it going to change anything but I can say they lost me as a costumer buying these!!! I won't waste my $ on these to go in the trash! They don't even help my cat go to the bathroom!!!!","Disappointed","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFXo5tDAsT5%252BQSenu%252BrzCAdIkxpQ%252BnVzSiyO9TxTyC5RAAAAAGXT8tgAAAAB%26reviewId%3DR3SG7DRLTNAAQW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","My cat has been eating these treats for over a year now. I got these treats because she has a hard time going to the bathroom & these are for digestive health...they HAVE not helped at all & like I said its been over a year. But yes I continued to buy these treats,not because they helped but because she loves them so much,or did...lately I've noticed the treats are different. They have always been a little moist. Lately they are more moist then they have ever been.i was scared to feed them to her because they looked darker in color & very vey moist!!! I reached out to Amazon, they just gave me a credit gift card. So I tried again thinking maybe I just got a bad bag. Nope same thing. I didn't reach out to Amazon. Waited a week or two. My cat loves these and I was upset! So I figured I'll try one more time to buy these treats. We'll same thing! And my cat is not crazy about these so I know something isn't right!!! I called Amazon told them the issue, they can see from my account how many times I've purchased these treats! It was ALOT!! I told him something needs to be done about this. He gave me my money back on my card and said he was going to bring it up to the  company that makes these..I don't know if it going to change anything but I can say they lost me as a costumer buying these!!! I won't waste my $ on these to go in the trash! They don't even help my cat go to the bathroom!!!!","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFXo5tDAsT5%2BQSenu%2BrzCAdIkxpQ%2BnVzSiyO9TxTyC5RAAAAAGXT8tgAAAAB&reviewId=R3SG7DRLTNAAQW","3 people found this helpful","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGFPCAPUNA3PIZE5RYMEMOZAD4UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jan","https://www.amazon.com/gp/customer-reviews/R2MD1DHO55S20M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","5.0 out of 5 stars","Get Naked Furball Soft Treats for Cats","Reviewed in the United States on January 15, 2024","They love them and always want them. However a little too expensive to give as a treat. I use only as a treatment.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBnrEw5C7CFlm8g5o8lPHV9%252BnjOzqVgxGrFzqZV8EIwJAAAAAGXT8tgAAAAB%26reviewId%3DR2MD1DHO55S20M&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBnrEw5C7CFlm8g5o8lPHV9%2BnjOzqVgxGrFzqZV8EIwJAAAAAGXT8tgAAAAB&reviewId=R2MD1DHO55S20M","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFBI2TLOBCQLLOGMJPD2EFJ37HBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","ElaineC","https://www.amazon.com/gp/customer-reviews/R8NM2H79PK0S7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","5.0 out of 5 stars","Cat loves it","Reviewed in the United States on January 25, 2024","my picky cat Miao just loves it!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGI2M3J103tqrLtpLIBPh%252B4nyWQc%252BAgqF1bXxOs1Cu4rAAAAAGXT8tkAAAAB%26reviewId%3DR8NM2H79PK0S7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGI2M3J103tqrLtpLIBPh%2B4nyWQc%2BAgqF1bXxOs1Cu4rAAAAAGXT8tkAAAAB&reviewId=R8NM2H79PK0S7","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AE5TQP6P4AV2Z7IKDIS52XDZ7J3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/9a40ddc1-64cc-40df-8ff7-e151c1403dae._CR0,0,369,369_SX48_.jpg""/>","Noney Martin","https://www.amazon.com/gp/customer-reviews/R1VIADX9ZJ0OXG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","5.0 out of 5 stars","Cats love","Reviewed in the United States on January 15, 2024","Cats love them","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHa3MbWOuXNX24Xee%252BNTeaweDi2JT5WBnegs4RKJtugqAAAAAGXT8tgAAAAB%26reviewId%3DR1VIADX9ZJ0OXG&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHa3MbWOuXNX24Xee%2BNTeaweDi2JT5WBnegs4RKJtugqAAAAAGXT8tgAAAAB&reviewId=R1VIADX9ZJ0OXG","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFN2246NXJZD4QLSMYM7IHNSWGGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Nicole Mincey","https://www.amazon.com/gp/customer-reviews/R2KH1M995431Y8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01HUX3NNU","4.0 out of 5 stars","Stormy likes it","Reviewed in the United States on September 10, 2023","Stormy is veryyyy picky, so I was happy when she decided to eat the treat since it supposed to help reduce fur balls which she had been bringing up.  I take it that the flavor is good since she eats it :).","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Furball-Relief-Treats%2Fproduct-reviews%2FB01HUX3NNU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhG4b4MXxPfSZCl328uJef5FOnvF6gEu1fJBBFDoJaVmWAAAAAGXT8tgAAAAB%26reviewId%3DR2KH1M995431Y8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hG4b4MXxPfSZCl328uJef5FOnvF6gEu1fJBBFDoJaVmWAAAAAGXT8tgAAAAB&reviewId=R2KH1M995431Y8","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
