"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-mini href","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AGEGA6BX3VE4YQXFUX3CRYV45L3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","NYCowboy","https://www.amazon.com/gp/customer-reviews/R1PFQ8VXS0UOBX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","5.0 out of 5 stars","Our pup loves them!","Reviewed in the United States on December 1, 2023","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Great afternoon chew for our pup. Helps with teething and his need to chew.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhADioBd6izc4LmCiqnVNyWZwqIDkX12qAJFF4aA4y0tWAAAAAGXT4rIAAAAB%26reviewId%3DR1PFQ8VXS0UOBX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hADioBd6izc4LmCiqnVNyWZwqIDkX12qAJFF4aA4y0tWAAAAAGXT4rIAAAAB&reviewId=R1PFQ8VXS0UOBX","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AG3D3TAZJGAPFQ76SENBWXQBNCOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","christie blank","https://www.amazon.com/gp/customer-reviews/RZF7KLMF8EED3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","5.0 out of 5 stars","Amazing","Reviewed in the United States on June 28, 2023","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","These are amazing. They smell minty and my puppy loves them! They definitely keep her breath fresh and her teeth clean !","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFL18SfV8PB2JO0wZpnhRStzivX10QEAyXOVIJwLNLLKAAAAAGXT4rIAAAAB%26reviewId%3DRZF7KLMF8EED3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFL18SfV8PB2JO0wZpnhRStzivX10QEAyXOVIJwLNLLKAAAAAGXT4rIAAAAB&reviewId=RZF7KLMF8EED3","Report","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AFQLQHEVDY4DRKBUNIH4MLIXO76A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R2WQQMBA4EVTCO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","5.0 out of 5 stars","Christmas gift","Reviewed in the United States on January 1, 2024","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Axel enjoyed these","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhK8F8LOe3BbD4bQ3rFN1MpllDKnVDE9kwLotAY%252FH2MU0AAAAAGXT4rIAAAAB%26reviewId%3DR2WQQMBA4EVTCO&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hK8F8LOe3BbD4bQ3rFN1MpllDKnVDE9kwLotAY%2FH2MU0AAAAAGXT4rIAAAAB&reviewId=R2WQQMBA4EVTCO","Showing  comments","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFAR7OFDBO6JJEGAU6VVMCJEOBHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Donald J. Young","https://www.amazon.com/gp/customer-reviews/R3T2UHKMRFWAV2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","4.0 out of 5 stars","My dog chews through these in less than a minute.","Reviewed in the United States on February 26, 2023","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My dog loves them, but they don’t last long at all. I will not buy again.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAIxCe%252BZWgEi3StZEhzoRbFOEoEEwPYlDZ5KyAzjAHYaAAAAAGXT4rIAAAAB%26reviewId%3DR3T2UHKMRFWAV2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","4 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAIxCe%2BZWgEi3StZEhzoRbFOEoEEwPYlDZ5KyAzjAHYaAAAAAGXT4rIAAAAB&reviewId=R3T2UHKMRFWAV2","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGLTR6VY7LE5NLOBY7UJU2YZB4OQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/9962a6a3-f982-4c73-bfeb-aed96bb28786._CR0,0,500,500_SX48_.jpg""/>","j&a","https://www.amazon.com/gp/customer-reviews/R2GWCKEMEPI1LB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","5.0 out of 5 stars","HAPPY ALTERNATIVE to DENTAL STICKS","Reviewed in the United States on August 29, 2021","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I got these for my puppy a few months ago (when she was about 4 months) as I started my older, 7 year old dog, on Bark Bright.  I desperately needed an effective way to improve my older dog's teeth (and Bark Bright REALLY works!) but I didn't want to spend that much on my puppy yet ($25/month) nor did I want her to have 75+ extra calories (although I did a few times break the Bark Bright sticks in smaller halves for her when I didn't have alternative yet).These puppy chews seem to be tasty to BOTH my dogs, and they are always happy to have them.  They do not last more than A MINUTE or TWO (maybe 2 with my puppy, but definitely less than 1 minute for my 7 year old husky shepherd mix).These are ""small"" and there are about 16-18 sticks per bag, so they are a good alternative (only about 27 calories per stick) for my puppy as my older dog gets his Bark Bright stick every morning.  I get the Joint Health ones in this brand as a back up/snack for both dogs and they both also love to get them (follow me, sit alert and wait for them!) every single time.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBtZEq5uOYDowCC3IyLQMXHFuCkrJVcAWgEbEvHK7u9QAAAAAGXT4rIAAAAB%26reviewId%3DR2GWCKEMEPI1LB&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","5 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBtZEq5uOYDowCC3IyLQMXHFuCkrJVcAWgEbEvHK7u9QAAAAAGXT4rIAAAAB&reviewId=R2GWCKEMEPI1LB","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEN73VB2AA26Y5D7NCJSYBXSKTUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Erin","https://www.amazon.com/gp/customer-reviews/RTQ0O8HC9JWH8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","5.0 out of 5 stars","Worth it","Reviewed in the United States on June 17, 2022","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","These are tough enough to keep my puppy who loves to chew busy, I usually throw them in her slider treat thing all broken up to make it fun for her to have to find them. They’re hard to cut and tbh I just break them up with my own teeth; they’re tough and have a little apple taste. You get a lot of treats for pretty cheap and the feeding instructions are super clear.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGOLgyxCVMZseskVg9%252BoAEld%252B5g4B2ofpWfMafeY9EG7AAAAAGXT4rIAAAAB%26reviewId%3DRTQ0O8HC9JWH8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGOLgyxCVMZseskVg9%2BoAEld%2B5g4B2ofpWfMafeY9EG7AAAAAGXT4rIAAAAB&reviewId=RTQ0O8HC9JWH8","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHZUOOKNCIYR4H7GZJGK3E53IMWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R1R37PLGBBGQGL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","5.0 out of 5 stars","Kind of expensive but good","Reviewed in the United States on August 2, 2023","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My dog likes it but like rips through one in like 2 minutes, but he likes it! Probably won't buy again though since it's not long lasting.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPrcSFnyOu36wFGbfJHcFBoDDXO6XgKxflTZpFA9KMWUAAAAAGXT4rIAAAAB%26reviewId%3DR1R37PLGBBGQGL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPrcSFnyOu36wFGbfJHcFBoDDXO6XgKxflTZpFA9KMWUAAAAAGXT4rIAAAAB&reviewId=R1R37PLGBBGQGL","Showing  comments","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHKIRPVAQ35H44SX6ZKRPCHVAWZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Erica lynn","https://www.amazon.com/gp/customer-reviews/R2REPYUNBHNKGM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","3.0 out of 5 stars","Very strong smell","Reviewed in the United States on January 21, 2024","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","These are pretty rough smelling. My dog will chew on them but I made the mistake of throwing them in the bin I keep all little outfits,blankets and toys and now I have to wash them all just from the smell coming through the bag.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhG%252BE7qLwDqCIMpOhSFJaCdU7SUfg%252FOftTlFwS2UxTmEUAAAAAGXT4rIAAAAB%26reviewId%3DR2REPYUNBHNKGM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hG%2BE7qLwDqCIMpOhSFJaCdU7SUfg%2FOftTlFwS2UxTmEUAAAAAGXT4rIAAAAB&reviewId=R2REPYUNBHNKGM","Showing  comments","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGK4R53YHECZHEJMIP56L7HT4K2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sal","https://www.amazon.com/gp/customer-reviews/R3VOI2U19WJQTH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","3.0 out of 5 stars","Very strong smell and unhealthy ingredients","Reviewed in the United States on August 25, 2023","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","We have become very mindful of what we have been giving our dog lately and we realized that ingredients on this products are not healthy. It also has strong smell, which is not unpleasant as such but it strong such that the whole room fills with smell.It does become sticky after use of puppy/ dog doesn’t drops it around places.We used a few times and moved to another product. The packet is sitting almost full now waiting to be discarded.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDl3V5O4ndafvK%252FiN32FRY%252FbHZS1h3VbPfxD1prL6ZhhAAAAAGXT4rIAAAAB%26reviewId%3DR3VOI2U19WJQTH&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDl3V5O4ndafvK%2FiN32FRY%2FbHZS1h3VbPfxD1prL6ZhhAAAAAGXT4rIAAAAB&reviewId=R3VOI2U19WJQTH","Showing  comments","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEH7KS43AUL2G432BYTBGLWKCE5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","xiaodanliu","https://www.amazon.com/gp/customer-reviews/R2QP5TAL0L61VU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8Q4","5.0 out of 5 stars","My puppy love it","Reviewed in the United States on September 19, 2023","Size: 6.2 Ounce (Pack of 1)","https://www.amazon.com/Get-Naked-Health-Dental-Sticks/product-reviews/B01JONK8Q4/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Good treat","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8Q4%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJtijoCy2rdMOjObVtUChm62x%252BRpMyOPS%252BcDga%252Fb66kFAAAAAGXT4rIAAAAB%26reviewId%3DR2QP5TAL0L61VU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJtijoCy2rdMOjObVtUChm62x%2BRpMyOPS%2BcDga%2Fb66kFAAAAAGXT4rIAAAAB&reviewId=R2QP5TAL0L61VU","Showing  comments","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
