"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-size-base 4","a-button-text href","a-size-base 5","a-size-base href 2","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AEYA7LBWJK7J42PUMDC3X67O4SOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/de253510-aea6-46be-82c6-008d5e190ec8._CR2,0,495,495_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/de253510-aea6-46be-82c6-008d5e190ec8._CR2,0,495,495_SX48_.jpg""/>","SE Beutel","https://www.amazon.com/gp/customer-reviews/R1P2LM2CFLNPM9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","5.0 out of 5 stars","Slightly different than the old formula....","Reviewed in the United States on November 29, 2016","My three dogs have been big fans of the old formula of these treats for quite a few years now. They are special favorites of my oldest dog (12) and pickiest eater. Because he is still extremely active, I try to give him as much glucosamine and chondroitin as I can. So the Get Naked Joint Health treats were a wonderful discovery. My dogs also enjoyed the other flavors in the line.When the formula was discontinued with the launch of the new grain free version, I was incredibly disappointed. Especially because the new treats had not reached the super-affordable price I was used to with the old formula (< $4) and the price on the discontinued formula was skyrocketing, which is typical of a market for a discontinued product. I was afraid that my dogs wouldn't like the new formula or that it would make them sick. I still don't understand why they needed to go grain free, considering that the grains in the old formula consisted only of rice and oats (which I didn't think were a big concern in doggie diets), but I am very glad the treats came back down to the extremely affordable price that my dogs and I love. Happily, the treats pass the doggie taste test and have yet to come back up the way they came.So without further ado, here is my comparison to the old formula for the treats:OUTSIDE: To start of, the packaging of the treats is very similar in wording and warnings, although the ingredient list does differ a bit. The package is orange instead of chartreuse, and since I don't particularly like either color it doesn't matter much that the bag got uglier. However, the development of the new packaging was clearly misguided. Perhaps in an attempt to make the packaging look like more ""natural"" products do in most marketing, the appearance of the bag has been ~softened~ to the point where things are very hard to read. Ditching the outline on the letters on the front was a big mistake with the gradient to light orange in the center, since it makes the letters look so fuzzy I thought my glasses were dirty or falling off my face. On the back, the crisp black lettering for the nutritional information was traded in for an even smaller font in white letters again. I can see that the smaller font was likely necessary because the packaging is now bilingual in English and French, but the choice of white is once again irritating to the eye. Even the NPIC logo and company information is so blurry that it is completely illegible.INSIDE: The grain ingredients, as well as tapioca starch, in the old formula have been replaced with potatoes. The rest of the ingredients listed are the same. The nutritional analysis is almost identical, with the exception that the Crude Protein minimum is 20% instead of 18%. The glucosamine per serving (32mg) and chondroitin sulfate (19mg) are the same, and now DHA is listed as well (4mg). The calorie content per treat remains at 26 kcal.The treats themselves are the same length and shape as the old formula, and have an almost identical amount of give as far as the hardness of the treat goes (which is good because the 10 year old rescue dog only has 5 teeth). They are not scary hard, but chewy enough to keep the dogs entertained for a few minutes and delicious enough to get the dogs excited when they see their favorite treat bag (which they know by shape and sound). Watching my dog chomp away, I would say that these new treats may be a bit tougher to bit through, although not too much.I was a little disappointed when I compared the new and old treats and found that the new ones are a bit slimmer than they used to be. It's not much, but considering that there were 2 less in the bag than you got in the old formula that was a bit sad. However, I noticed that the new treats are slightly heavier per piece, and the higher density makes sense with the extra chewing my toothless wonderdog was doing. The smell of the new formula is comparable to the old, slightly different but similar and nothing my dogs minded too much.If the treats continue to stay at this low price, I'll be very happy and hopefully my concerns over the formula switch will have been for nothing. I don't think I would pay more than $5 or so per bag, but that's partly because I can't afford much more right now as a pet indulgence and partly because I'm also just cheap (as much as I can be while still taking great care of my dogs). Also, I prefer to give the two older dogs at least one of these per day, since it makes them happy and gives them some extra vitamins that their little arthritic knees crave. At this price, I can do that.[...] I rely on reviews for my online purchases and want to do my part by making my reviews as helpful as I can. Thanks for reading!","18 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhM73WT33sYvjugrr7aukrJnXAzxjth1%252BPHeyVFL%252FR%252FrgAAAAAGXT8pQAAAAB%26reviewId%3DR1P2LM2CFLNPM9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hM73WT33sYvjugrr7aukrJnXAzxjth1%2BPHeyVFL%2FR%2FrgAAAAAGXT8pQAAAAB&reviewId=R1P2LM2CFLNPM9","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AH467AZR47O7UL4FIFYS3S3AYVJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Bo","https://www.amazon.com/gp/customer-reviews/R2VZSMQWNUGROC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","5.0 out of 5 stars","dog loves them","Reviewed in the United States on February 15, 2024","resealable bag great feature.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhB4xxZblBLVNLRVf7iZrYer9HIBJKKCu%252F0eK3vfSvt%252FVAAAAAGXT8pQAAAAB%26reviewId%3DR2VZSMQWNUGROC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hB4xxZblBLVNLRVf7iZrYer9HIBJKKCu%2F0eK3vfSvt%2FVAAAAAGXT8pQAAAAB&reviewId=R2VZSMQWNUGROC","",""
"https://www.amazon.com/gp/profile/amzn1.account.AHCFCGJB2NC3KVX3TKKIZ65GLNLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","A. Lowrey","https://www.amazon.com/gp/customer-reviews/RPOBB0EIXK9PS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","5.0 out of 5 stars","My dogs love them","Reviewed in the United States on August 13, 2023","They smell awful but my dogs love them. They must have changed the recipe of the other joint supplement treats - my dogs won’t eat them anymore. I can tolerate the smell and be happy knowing my old gal, who used to be very sedate, will keep all of her high-energy play, super-cuddly affection and all the other progress she’s made since introducing joint supplement treats. We didn’t even know she was in pain until she wasn’t anymore. I’ll gladly go without a few Starbucks runs to pay for these.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPXzmh9fFT0VNy7e18idoc6fM1ynVYWwXutfCihnEqTDAAAAAGXT8pQAAAAB%26reviewId%3DRPOBB0EIXK9PS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPXzmh9fFT0VNy7e18idoc6fM1ynVYWwXutfCihnEqTDAAAAAGXT8pQAAAAB&reviewId=RPOBB0EIXK9PS","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF6UKJLVNLG7BC6EM3TKFHWHLQXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lolita","https://www.amazon.com/gp/customer-reviews/R304JYWC94Q50R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","5.0 out of 5 stars","AMAZING treats!!!!","Reviewed in the United States on July 29, 2018","My dogs LOVEEEE THESE! One is much pickier than the other and he can’t get enough of these. They have a subtle minty/vanilla smell and they’re not super hard so older pups or ones with missing teeth would be fine with these. You can actually break them in half- they’re kinda bendy so it takes a little effort, but nothing major. I have one 15lb dog and one 20lb and I’ve gotten both chew sizes. The large ones keep them busy for a bit longer so that’s good. I love the ingredients and the price is amazing since they eat more than they probably should of these. 😬","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOOH6bNdMtCOwuRy1Mcrk4XYStXfxMmRD2KENLmbDOH5AAAAAGXT8pQAAAAB%26reviewId%3DR304JYWC94Q50R&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOOH6bNdMtCOwuRy1Mcrk4XYStXfxMmRD2KENLmbDOH5AAAAAGXT8pQAAAAB&reviewId=R304JYWC94Q50R","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEUHO4OVTG74XGB5QE2D2O2TE4DA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/3673c318-a97e-44be-aa34-003c403397bd._CR21,0,1066,1066_SX48_.jpg""/>","SouthernAmazoner","https://www.amazon.com/gp/customer-reviews/R29NBZAY5U3O0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","4.0 out of 5 stars","Good dental treats with added benefits","Reviewed in the United States on February 14, 2017","Most dental chews for some reason contain wheat or soy.  So these are nice to have if you want to avoid those ingredients.  Glad these have supplemental ingredients to promote healthy joints as well as healthy teeth.  My dog loves these.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOgC%252FYI5iAtjpkuDvO0dca2AhUAETBwk9OfeMmXIGslvAAAAAGXT8pQAAAAB%26reviewId%3DR29NBZAY5U3O0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOgC%2FYI5iAtjpkuDvO0dca2AhUAETBwk9OfeMmXIGslvAAAAAGXT8pQAAAAB&reviewId=R29NBZAY5U3O0","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEEE2XTG62QA3FCTBEM2BXK64SAQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/3bf77b5e-4947-4063-987c-5866c5fca032._CR62,0,375,375_SX48_.jpg""/>","Jks","https://www.amazon.com/gp/customer-reviews/R3FJ593TS97X4B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","5.0 out of 5 stars","My pup goes crazy for these chew sticks !!","Reviewed in the United States on September 28, 2016","I have been buying these from a local pet store till I discovered I can purchase them from Amazon which is way more convenient and they shipped right to my house.  I love that they are low in calorie and do not contain rawhide which could cause a potential issue with my dog.  I am very cautious on the chews he is permitted to have since his health is my primary concern.  I actually have my little guy on a diet so I have been snapping these in half every night which he gets after his teeth brushing.  Every night he waits in the bathroom for me to wash my face and he patiently waits his turn to get his teeth brushed.  Yes that is correct I brush his teeth every single night before we go to bed and his reward is half of one of these chew sticks.  I never before have seen this brand in the local pet stores, I love the variety I am able to find on Amazons site I wanted these in particular since my pup has 2 grade 3 patellas anything that is good for his joints I will buy for him to help him stay healthy.  I love that these are manufactured in the USA.  It is wonderful that I have a low cal healthy option for my little guy and he absolutely loves them.","My pup goes crazy for these chew sticks !!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLdwixBPRbppjsVLpjCVY3sggX5ByhEeyXkc%252BD3ZFZOCAAAAAGXT8pQAAAAB%26reviewId%3DR3FJ593TS97X4B&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","I have been buying these from a local pet store till I discovered I can purchase them from Amazon which is way more convenient and they shipped right to my house.  I love that they are low in calorie and do not contain rawhide which could cause a potential issue with my dog.  I am very cautious on the chews he is permitted to have since his health is my primary concern.  I actually have my little guy on a diet so I have been snapping these in half every night which he gets after his teeth brushing.  Every night he waits in the bathroom for me to wash my face and he patiently waits his turn to get his teeth brushed.  Yes that is correct I brush his teeth every single night before we go to bed and his reward is half of one of these chew sticks.  I never before have seen this brand in the local pet stores, I love the variety I am able to find on Amazons site I wanted these in particular since my pup has 2 grade 3 patellas anything that is good for his joints I will buy for him to help him stay healthy.  I love that these are manufactured in the USA.  It is wonderful that I have a low cal healthy option for my little guy and he absolutely loves them.","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLdwixBPRbppjsVLpjCVY3sggX5ByhEeyXkc%2BD3ZFZOCAAAAAGXT8pQAAAAB&reviewId=R3FJ593TS97X4B","2 people found this helpful","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHZOTHTMQ7TDTXPKHYNBXYDRHJDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kimberly","https://www.amazon.com/gp/customer-reviews/R1DUNF1LFMUEZ1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","5.0 out of 5 stars","Great dog chews","Reviewed in the United States on January 28, 2023","I love this brand of chews for my tiny poodle mix. I like that they are easy to snap in half if i dont want to give her a whole one and the added benefit of glucosamine is a plus for me. My dog is only 8lbs but very active, and i hope to keep her that way as long as i can","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCmrVnzSsHshCHmNhkyyshX2Q%252BrHmag5krsL%252FafeFxIPAAAAAGXT8pQAAAAB%26reviewId%3DR1DUNF1LFMUEZ1&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCmrVnzSsHshCHmNhkyyshX2Q%2BrHmag5krsL%2FafeFxIPAAAAAGXT8pQAAAAB&reviewId=R1DUNF1LFMUEZ1","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGLYUZRJBMRKL23HI4WHTTYURWGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Hauservi","https://www.amazon.com/gp/customer-reviews/R3BO8UU6MSFK7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","5.0 out of 5 stars","Dogs love these chews","Reviewed in the United States on January 4, 2022","I wouldn't buy this if you are looking for longevity... I'm able to break these sticks into pieces and split between 2 corgi's.  They love the flavor and I'm excited to give them extra joint health.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLfIDcRmXsmKPv2rf4U%252B6S6Iur9jFmDSUR9CXiH29xNZAAAAAGXT8pQAAAAB%26reviewId%3DR3BO8UU6MSFK7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLfIDcRmXsmKPv2rf4U%2B6S6Iur9jFmDSUR9CXiH29xNZAAAAAGXT8pQAAAAB&reviewId=R3BO8UU6MSFK7","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFQ4TN5ZQ4JEKL7ISN4AT4OOYMPA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5f25b7f7-f24b-46d8-ba3c-f79bb76c663a._CR0,26.0,281,281_SX48_.jpg""/>","Emilie","https://www.amazon.com/gp/customer-reviews/RXNQ7V8IWY683/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","5.0 out of 5 stars","Pups love these low cal treats","Reviewed in the United States on June 3, 2020","Chubby pups needed a change in their treats, and I was lucky to find these little sticks. My dogs make short work of them, but that's enough time for me to get out of the house and make my escape with them distracted, chomping away. I purchased these in different flavors, which I cannot attest to, but they like all the flavors.It's amazing how many calories are in dog treats, and if you give your pup several treats a day, the pounds can really pack on quickly. I'm glad these are relatively low calorie so i can reward the pupsters several times a day.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJdArlQurFkQW%252BnrtWaJpWapXLLwmIf2dqjVvl6AWraXAAAAAGXT8pQAAAAB%26reviewId%3DRXNQ7V8IWY683&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJdArlQurFkQW%2BnrtWaJpWapXLLwmIf2dqjVvl6AWraXAAAAAGXT8pQAAAAB&reviewId=RXNQ7V8IWY683","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHZD4EJL64VV2QGPNTZVDFL57YJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sandy McKeehan","https://www.amazon.com/gp/customer-reviews/R1AV9DGOI65M2W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK8VO","3.0 out of 5 stars","Treats","Reviewed in the United States on December 2, 2022","I usually buy these and they are really fresh, but the last 3 times they are hard as rocks. Looking for a new treat for my dog.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Health-Dental-Sticks%2Fproduct-reviews%2FB01JONK8VO%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBnflTyJuLbLqboIN%252FHiJTJwQzROvEHFxUbLkoWmzwkEAAAAAGXT8pQAAAAB%26reviewId%3DR1AV9DGOI65M2W&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBnflTyJuLbLqboIN%2FHiJTJwQzROvEHFxUbLkoWmzwkEAAAAAGXT8pQAAAAB&reviewId=R1AV9DGOI65M2W","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
