"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-lazy-loaded src","a-size-base 6"
"https://www.amazon.com/gp/profile/amzn1.account.AEDGTQ6VOYWFT53Z2MSD5ZXXSOGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Zoe","https://www.amazon.com/gp/customer-reviews/R26HHQ9GW040Z7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","My dog loves these","Reviewed in the United States on October 16, 2023","I have a 15 lb dog and I break them in half and she loves them.  I've been getting them for a while since they are low calorie.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDKOS3QhfONfMQOafVEgLXqSdKlo2GlHHs4q%252FHx8UvegAAAAAGXT8PYAAAAB%26reviewId%3DR26HHQ9GW040Z7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDKOS3QhfONfMQOafVEgLXqSdKlo2GlHHs4q%2FHx8UvegAAAAAGXT8PYAAAAB&reviewId=R26HHQ9GW040Z7","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AGTL4PS5GIXSMABGOXMY5VZ4VY6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Marybeth","https://www.amazon.com/gp/customer-reviews/RF4JY5TGQIF36/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","Dog loves it","Reviewed in the United States on October 30, 2023","My dog loves these! Thanks so much. Great product!!!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHoqevci7KAmT0z%252FyZaJ8MhDJMeGDrac9cVSBUrN9fVNAAAAAGXT8PYAAAAB%26reviewId%3DRF4JY5TGQIF36&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHoqevci7KAmT0z%2FyZaJ8MhDJMeGDrac9cVSBUrN9fVNAAAAAGXT8PYAAAAB&reviewId=RF4JY5TGQIF36","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AF37BNTBS4LRTSXXBFM7SFRBIJ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sallie","https://www.amazon.com/gp/customer-reviews/R87GKFIYZHRDU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","Dog loves them!","Reviewed in the United States on December 9, 2023","These smell so good that *I* want to taste them! (I haven't...but I still might, haha!) Seriously, they smell like cloves and cinnamon and my dog absolutely loves them! I bought them because he's a persistent beggar and I'm a big pushover and since he's already overweight, I needed to find a low calorie treat for him. He eats them pretty fast, so I wish they lasted a little longer. And like all quality dog chews, they're not cheap. But if he likes them and they won't add to his weight problem, I'm all in!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBrvSk582Z4e%252FK7yAuPGVEHKxiTY3NLFQg4oL5S6uawSAAAAAGXT8PYAAAAB%26reviewId%3DR87GKFIYZHRDU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBrvSk582Z4e%2FK7yAuPGVEHKxiTY3NLFQg4oL5S6uawSAAAAAGXT8PYAAAAB&reviewId=R87GKFIYZHRDU","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AG363QR2SRNY5UOGM6RBQO76I7YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R3ABI9703521L8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","My dog loves these","Reviewed in the United States on January 14, 2024","I have ordered these for years my little dog loves them really good ingredients and it cleans his teeth.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIcZ5iZCfPTRsVTLuyVtOnR2GlrfhslIiJc1JYxpguzvAAAAAGXT8PYAAAAB%26reviewId%3DR3ABI9703521L8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIcZ5iZCfPTRsVTLuyVtOnR2GlrfhslIiJc1JYxpguzvAAAAAGXT8PYAAAAB&reviewId=R3ABI9703521L8","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHK4HHWZV6ZE7VYWQKPLRW2PQYXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/2661b01e-e573-4eb7-bd3d-8e3178e97236._CR0,0,375,375_SX48_.jpg""/>","allicinwonderland","https://www.amazon.com/gp/customer-reviews/R1899KAOTFKRUS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","Dog approved","Reviewed in the United States on January 18, 2024","These are our current ‘go into your kennel like a good girl you look so sleepy it’s bedtime’ treats, they’re a little more special than giving her a milkbone for that behavior because it’s a little of a struggle to get her to go in there sometimes. She chews them in about 30 seconds though, they aren’t like, dental chews","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDzxKCqlmThk4e8RaN27aRu14mUuzpc0eYq32w2zhY3kAAAAAGXT8PYAAAAB%26reviewId%3DR1899KAOTFKRUS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDzxKCqlmThk4e8RaN27aRu14mUuzpc0eYq32w2zhY3kAAAAAGXT8PYAAAAB&reviewId=R1899KAOTFKRUS","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AGOZH7AM5JXPZA725VEW7M4XK7UA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Samantha","https://www.amazon.com/gp/customer-reviews/R3ATBCME0TT8S6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","4.0 out of 5 stars","My dogs love these","Reviewed in the United States on August 30, 2019","I can’t say anything about the weight management part of this. I haven’t noticed any change with that with my dog. He loves all flavors of this brand though so I do love that. They smell absolutely wonderful and herbal rather than how normal dog treats smell and the scent they leave on your hands. My dog uses the adult flavors of this brand and my puppy uses the puppy version. They enjoy them as their daily dental stick.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDDEULY6JyeDhLDKBPM99zuNOyQPzWvHeiYt%252BVasQW%252BAAAAAAGXT8PYAAAAB%26reviewId%3DR3ATBCME0TT8S6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDDEULY6JyeDhLDKBPM99zuNOyQPzWvHeiYt%2BVasQW%2BAAAAAAGXT8PYAAAAB&reviewId=R3ATBCME0TT8S6","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AFAAJ4DJAYV6FV6QOFREGTFJPIRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Maria Miller","https://www.amazon.com/gp/customer-reviews/R9BZVYKT8TZVJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","Smells wonderful","Reviewed in the United States on January 1, 2024","Love the smell, and my dog loves it, doeant hurt his sensitive stomach ... well woth the money","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHgh31sMp0jM%252FY8ofnsGNoN3t%252Bl3I7xwPMrhPbnwPYRAAAAAAGXT8PYAAAAB%26reviewId%3DR9BZVYKT8TZVJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHgh31sMp0jM%2FY8ofnsGNoN3t%2Bl3I7xwPMrhPbnwPYRAAAAAAGXT8PYAAAAB&reviewId=R9BZVYKT8TZVJ","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AGPABKCVCZVCQPQP5XPYDBAEJ4EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Victoria","https://www.amazon.com/gp/customer-reviews/R3P1UTXI14U7LM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","My dog loves them","Reviewed in the United States on October 4, 2023","I have a chunky chihuahua terrier that the vet told me needs to lose some weight. I decided to try these and swap them out for her beloved greenies treats. She loves them!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIb5Mkh5wvwJFvGXOsXivr4%252FMLztu9bIiRLRRom29utJAAAAAGXT8PcAAAAB%26reviewId%3DR3P1UTXI14U7LM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIb5Mkh5wvwJFvGXOsXivr4%2FMLztu9bIiRLRRom29utJAAAAAGXT8PcAAAAB&reviewId=R3P1UTXI14U7LM","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AGHS3T46NWTWPBYX6LVQGU7WGMAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/ecc562ce-d630-4bf3-a7f1-ccff1433b52f._CR0,0,375,375_SX48_.jpg""/>","Lynn p","https://www.amazon.com/gp/customer-reviews/RF564ON3HPH6W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","Dogs love","Reviewed in the United States on July 26, 2023","I've tried other dental treats and they get left behind. These my dogs love and they are healthy weight.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIpZkLUkE1G%252BaJyC4T4f8BP8VHgXxbTlQ9tR9FhC8PjiAAAAAGXT8PYAAAAB%26reviewId%3DRF564ON3HPH6W&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIpZkLUkE1G%2BaJyC4T4f8BP8VHgXxbTlQ9tR9FhC8PjiAAAAAGXT8PYAAAAB&reviewId=RF564ON3HPH6W","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AFV3IS5R7ZJPAPXWOUM2FCFP5XEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/RROWWX0HRI399/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONK96I","5.0 out of 5 stars","Lo-cal treat","Reviewed in the United States on June 30, 2023","My dog loves these lo-cal treats. He loves starting each day with one of these.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Weight-Management-Dental%2Fproduct-reviews%2FB01JONK96I%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBsa0Q1M6X6jQPPn%252FwqmwfHn45BugaU5F6yWzGljigczAAAAAGXT8PYAAAAB%26reviewId%3DRROWWX0HRI399&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBsa0Q1M6X6jQPPn%2FwqmwfHn45BugaU5F6yWzGljigczAAAAAGXT8PYAAAAB&reviewId=RROWWX0HRI399","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
