"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-base 3","a-size-base 4","a-button-text href","a-size-base 5","a-size-base href 2","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AFKALFPDTSE4Y6DQZNWTJB5LCEZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/645f320d-57db-4c24-9de3-9c337d2bedef._CR15,0,90,90_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/645f320d-57db-4c24-9de3-9c337d2bedef._CR15,0,90,90_SX48_.jpg""/>","Golf Hotel","https://www.amazon.com/gp/customer-reviews/R40UJP39JHX6X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","5.0 out of 5 stars","GREAT for dogs","Reviewed in the United States on November 27, 2023","My dogs just LOVES 'em. Whenever he eats them he eats them quickly! Healthy for dogs. I've only seen improvements. Very fresh. highly reccomended","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNs%252BKnEZYXDmAloOMgICdEqYvdiRecn4wj0jl7KeFEH6AAAAAGXT5FQAAAAB%26reviewId%3DR40UJP39JHX6X&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNs%2BKnEZYXDmAloOMgICdEqYvdiRecn4wj0jl7KeFEH6AAAAAGXT5FQAAAAB&reviewId=R40UJP39JHX6X","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AHXXEKFGWQNVPN3QZFNSFXWQQTBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lindsay R.","https://www.amazon.com/gp/customer-reviews/R3OP58KA1H4O0Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","5.0 out of 5 stars","My Yorkies go BONKERS for these.  Sensitive tummy approved.","Reviewed in the United States on March 30, 2023","My two little Yorkies each get half a small dental stick after their morning breakfast, and they literally CRY and spin circles to remind me.  We've tried probably a dozen different dental chews in the past (in all price ranges), but we found a favorite in Get Naked.  We love all the recognizable ingredients, plus the vitamins and antioxidants added to these dental chews.  And they've never upset my one dog's highly sensitive tummy (which is rare).  And for two 5lb dogs chewing on these 5 minutes a day, the price is right.  Overall, my dogs love these more than their actual treats, and ""cleaning"" their teeth tartar is definitely the favorite part of their day.","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDbbGb2inepvhr3BgQmALm98KNeFGxtQyLqNHzSf%252BSafAAAAAGXT5FQAAAAB%26reviewId%3DR3OP58KA1H4O0Q&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDbbGb2inepvhr3BgQmALm98KNeFGxtQyLqNHzSf%2BSafAAAAAGXT5FQAAAAB&reviewId=R3OP58KA1H4O0Q","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AEEJUSOIE5YXMUZUMAI43OAMLW3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Scott mason","https://www.amazon.com/gp/customer-reviews/R98CF820UPQWL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","5.0 out of 5 stars","My dogs love them","Reviewed in the United States on October 17, 2023","They get one every morning after their walk. They run to the cabinet every time. So cute!","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhBuccqx%252Bez8LJ6z%252BcUhxujH3Wk00cwyvOsCUZaRs9ICmAAAAAGXT5FQAAAAB%26reviewId%3DR98CF820UPQWL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBuccqx%2Bez8LJ6z%2BcUhxujH3Wk00cwyvOsCUZaRs9ICmAAAAAGXT5FQAAAAB&reviewId=R98CF820UPQWL","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEFHW5PRLBIHDMJA274D6URKJNXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Renee M","https://www.amazon.com/gp/customer-reviews/R2XOA6DW8MDNIC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","4.0 out of 5 stars","Dried out and smell weird!","Reviewed in the United States on February 18, 2021","The quality has really gone downhill. My dog loves them, I buy a ton of these, but I might not if my next order is also poor quality.Update: quality is still terrible, they're just all dried out.Update 5/10/23:The quality has improved. Thank you!","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIgsOwfIeSnN%252BKPff2F2HNKv4iLDt0hpBgB%252B8aMCLPYFAAAAAGXT5FQAAAAB%26reviewId%3DR2XOA6DW8MDNIC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIgsOwfIeSnN%2BKPff2F2HNKv4iLDt0hpBgB%2B8aMCLPYFAAAAAGXT5FQAAAAB&reviewId=R2XOA6DW8MDNIC","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEZJZQANHFHSBYZUGYCN3I2UNE2Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Manatee","https://www.amazon.com/gp/customer-reviews/R34DFBTPX9AZN2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","5.0 out of 5 stars","LOVE","Reviewed in the United States on August 17, 2023","My dog loves these dental chews.  She weighs about 13 pounds so make sure when you order them you get the small size.  She's been enjoying them for years.  She gets it as a treat after dinner.  Even my vet commented on her teeth being in such good shape for a dog her age.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhC2y1OIYXESh3mQVHokdQlA3G%252B%252F00%252Bt7t4FiCz6f7OetAAAAAGXT5FQAAAAB%26reviewId%3DR34DFBTPX9AZN2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hC2y1OIYXESh3mQVHokdQlA3G%2B%2F00%2Bt7t4FiCz6f7OetAAAAAGXT5FQAAAAB&reviewId=R34DFBTPX9AZN2","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEYM2PFKKY6LY67I3Y3NUQLBQ4ZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Nora M","https://www.amazon.com/gp/customer-reviews/R1Z49CRTWF19OP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","5.0 out of 5 stars","A favorite","Reviewed in the United States on August 13, 2023","Our Boston terrier girl loves these sticks. We have purchased all the flavors, and she loves them all. We give her one stick a day.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEX8XggUrpB%252FANfWID0xuiT1F1qdi17ivEeT4DYv%252B8xnAAAAAGXT5FQAAAAB%26reviewId%3DR1Z49CRTWF19OP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEX8XggUrpB%2FANfWID0xuiT1F1qdi17ivEeT4DYv%2B8xnAAAAAGXT5FQAAAAB&reviewId=R1Z49CRTWF19OP","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGFAYYXEX23LXXWVJ5ATBQDW2WBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Enchanting Mama","https://www.amazon.com/gp/customer-reviews/R3V4N7YIT4LKU5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","5.0 out of 5 stars","They are her favorite and she'll do quite a bit to earn one","Reviewed in the United States on March 28, 2018","Our beagle puppy flips for these treats. They are her favorite and she'll do quite a bit to earn one. They seem to satisfy her insatiable chewing problem (at least for a few minutes), and her teeth are sparkly white with very little tartar build up. I like that they have GOOD things inside, not random yucky bits like so many dog treats. We've gone through ten packs of these in various flavors and will continue to buy them for her as long as she continues to love them (we rotate flavors so she doesn't get bored). She seems to like the pink ones the most, but never turns away the other flavors (and she does turn away other brands of dental chews!). They are the ONLY treat that will get her to come back inside the fence when she's escaped, as well.","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDSBMMxjf2%252BqfoqwzuHMx%252BE8LFeVS0NtyTdPCaeUhVq7AAAAAGXT5FQAAAAB%26reviewId%3DR3V4N7YIT4LKU5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDSBMMxjf2%2BqfoqwzuHMx%2BE8LFeVS0NtyTdPCaeUhVq7AAAAAGXT5FQAAAAB&reviewId=R3V4N7YIT4LKU5","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AE65TBK3VYZ3J6DYL4G2PWJVAWEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R1JX1D1MD717A3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","5.0 out of 5 stars","My dogs love them!","Reviewed in the United States on May 15, 2023","I've been buying these little sticks for my dogs for years. They love them! I don't know if they're doing much for their teeth, they gobble them up so fast. I just wish they were a little less expensive.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPRBaNeggzIR8bU%252FX11M53iX50KWU4f590OBV%252B0mpdJyAAAAAGXT5FQAAAAB%26reviewId%3DR1JX1D1MD717A3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPRBaNeggzIR8bU%2FX11M53iX50KWU4f590OBV%2B0mpdJyAAAAAGXT5FQAAAAB&reviewId=R1JX1D1MD717A3","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEOKF5YZF7SCJKJU56XSL4QXRSDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Katie Led","https://www.amazon.com/gp/customer-reviews/R38EOGL3KUTPIN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","1.0 out of 5 stars","So stale that that could not even by cut with a sharp knife!!","Reviewed in the United States on February 5, 2024","I have been using these for years, and my very small dog just loved them.  However, when I receivedmy latest bags, I could not even cut through them with a sharp knife.  I always cut them into severalpieces, and sometimes they were a little hard and I just splashed into the bag with a little water andsealed it up again, and then they had softened up enough to cut.  The sticks in this latest shipmentwere so hard that I was unable to soften them up, even after several infusions of water into the bag.This is absolutely unacceptable, particularly since they are freshness dated ""by Feb 25, 2025.  Mydentist told me that one of her dogs actually broke a tooth on these dental sticks!!These are supposed to be beneficial for dogs, and not so hard they are dangerous.I am sending the three bags that were in my last shipment to the company, since they are notreturnable to Amazon, but I am disappointed that Amazon is carrying something so obviouslynot up to their standards.I have been purchasing these dental sticks for years for my small Havanese dog.  He loves them and I","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIU6FUKFz7wLiAIi7A9%252FFe0oKGbBihZFvhCVHyvggv0DAAAAAGXT5FQAAAAB%26reviewId%3DR38EOGL3KUTPIN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIU6FUKFz7wLiAIi7A9%2FFe0oKGbBihZFvhCVHyvggv0DAAAAAGXT5FQAAAAB&reviewId=R38EOGL3KUTPIN","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGWA424EXFBU47GWXCJCTIVPEB5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Cindy —- wanted to add an update, one of the pockets is sewn to itself so I’ll have to fix that.","https://www.amazon.com/gp/customer-reviews/RPGUPL32WXFPV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B01JONKIAU","5.0 out of 5 stars","Good deal","Reviewed in the United States on May 6, 2023","I personally don’t like the smell but the pup loves the taste! The sticks are long so breaking them in half makes the deal even better.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Antioxidant-Dental-Sticks%2Fproduct-reviews%2FB01JONKIAU%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDVOKoOmIA2pOj%252FK8bGc%252FPtSwVJKUvo3sOJql6N9QOORAAAAAGXT5FQAAAAB%26reviewId%3DRPGUPL32WXFPV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDVOKoOmIA2pOj%2FK8bGc%2FPtSwVJKUvo3sOJql6N9QOORAAAAAGXT5FQAAAAB&reviewId=RPGUPL32WXFPV","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
