"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-mini href","a-link-normal href","a-size-mini 2","a-size-base 3","a-size-base 4","a-button-text href","cr-helpful-text","a-size-base 5","a-size-base href 2","a-size-base 6","review-comment-count","a-alert-heading","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AHAV6F5OLQPHGBIUX27FEJMCXDNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","L. Ramsey","https://www.amazon.com/gp/customer-reviews/R37R3DEMJVAHGT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","5.0 out of 5 stars","Perfect for my teething puppy","Reviewed in the United States on January 28, 2024","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Perfect for our 9 week old puppy she loves them and keeps her entertained.  Will purchase again","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOzf%252BbcvsTSwZel%252Fp5oAbUeTkMBhteERxjx%252BYtx0WUhJAAAAAGXT4DkAAAAB%26reviewId%3DR37R3DEMJVAHGT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOzf%2BbcvsTSwZel%2Fp5oAbUeTkMBhteERxjx%2BYtx0WUhJAAAAAGXT4DkAAAAB&reviewId=R37R3DEMJVAHGT","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AGXHUP5LXUEGSFVEPTPRJSFUIJCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Shopper","https://www.amazon.com/gp/customer-reviews/R34Y7DDR60R9S2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","5.0 out of 5 stars","Dog loves rings","Reviewed in the United States on December 5, 2023","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Great teething rings","2 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKoXzwiBKU5OFPDhIwrdiNBOuXLRcPrxgJX1b%252B5wKgqaAAAAAGXT4DkAAAAB%26reviewId%3DR34Y7DDR60R9S2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKoXzwiBKU5OFPDhIwrdiNBOuXLRcPrxgJX1b%2B5wKgqaAAAAAGXT4DkAAAAB&reviewId=R34Y7DDR60R9S2","Showing  comments","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AGLBURQ7UBS2MNJ7TXKLV4M3UO6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/19b1e7c8-d778-48f1-a9f6-1930f0ebe344._CR0,0,495,495_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/19b1e7c8-d778-48f1-a9f6-1930f0ebe344._CR0,0,495,495_SX48_.jpg""/>","Carla Lucart","https://www.amazon.com/gp/customer-reviews/R3P7R694GSQXKF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","5.0 out of 5 stars","Puppy teething rings","Reviewed in the United States on February 6, 2024","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Puppy loves them!Small, perfect for small dogs and puppies.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhM5mwAzVba33gxEXaYtPQ0%252FWuSI5rkeAEr%252Fa3DT1HGwfAAAAAGXT4DkAAAAB%26reviewId%3DR3P7R694GSQXKF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hM5mwAzVba33gxEXaYtPQ0%2FWuSI5rkeAEr%2Fa3DT1HGwfAAAAAGXT4DkAAAAB&reviewId=R3P7R694GSQXKF","","0","There was a problem loading comments right now. Please try again later.",""
"https://www.amazon.com/gp/profile/amzn1.account.AHZYMGJZZBBAYQL4HFZAWA46X2BQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/4a810803-fdfb-45f4-8340-39fc0a939aa4._CR0,0,469,469_SX48_.jpg""/>","Deb Mericle","https://www.amazon.com/gp/customer-reviews/R71AUGQN7BY4O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","4.0 out of 5 stars","Tough to break apart","Reviewed in the United States on August 4, 2023","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","We have a multiple dog household.A 12-year-old, and a three month old Australian shepherd/border collie mix.Well, when we give one a treat, we have to give both of them a treat. And I’ve learned they want the exact same treat.I am not strong enough to break this ring in pieces. So I give one to my older dog. She breaks it up. The little dog grabs a piece and runs.Of course all the other pieces get eaten by my 12 year old dog.Since I don’t have the flexibility to give them smaller pieces, it gives the older dog much more of this treat at one time than I would prefer.Both of my dogs devour this in record time.  No slow chewing. No lasting for days. It’s gone before I get the dishes put in the dishwasher.It may work perfectly fine in a single dog household. Or maybe if you had an older dog who did not want every single thing the puppy gets… and vice versa.But, for me and my family, it isn’t quite working out the way I hoped.It is a good product. I wish it would’ve worked out better for us. :-)","3 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGC6ff65uaFxwyiY%252B9Bkaot0809ryi9v1MRP7yVL%252B1rBAAAAAGXT4DkAAAAB%26reviewId%3DR71AUGQN7BY4O&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGC6ff65uaFxwyiY%2B9Bkaot0809ryi9v1MRP7yVL%2B1rBAAAAAGXT4DkAAAAB&reviewId=R71AUGQN7BY4O","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFN7CJR6ECUNJ6AUJEVMYQNOB25Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Aaron Divin","https://www.amazon.com/gp/customer-reviews/R30TZIYYIOJBNK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","5.0 out of 5 stars","Last my puppy a day","Reviewed in the United States on January 28, 2024","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppy loves these rings","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhP0FczSMaGuFiKlbYygkQWxCPB7n%252Bu3HnqwkVUppkDsVAAAAAGXT4DkAAAAB%26reviewId%3DR30TZIYYIOJBNK&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hP0FczSMaGuFiKlbYygkQWxCPB7n%2Bu3HnqwkVUppkDsVAAAAAGXT4DkAAAAB&reviewId=R30TZIYYIOJBNK","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGGBWBB3RHUMM6AZZITNEPCZ5GDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Teena L.","https://www.amazon.com/gp/customer-reviews/R2HT9Q7FD1KARF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","5.0 out of 5 stars","Imbhvp is pretty  T","Reviewed in the United States on December 23, 2023","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","At first m look up it f pc ub we m vu. Hoouttt","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPVqb88J3fAt5406OD6VsHN846BWA7%252B14%252FZ1rCHfXncsAAAAAGXT4DkAAAAB%26reviewId%3DR2HT9Q7FD1KARF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPVqb88J3fAt5406OD6VsHN846BWA7%2B14%2FZ1rCHfXncsAAAAAGXT4DkAAAAB&reviewId=R2HT9Q7FD1KARF","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AH3K3O4MFBALGHBT5OXWOOSJQPIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Rosa","https://www.amazon.com/gp/customer-reviews/R1Q3ZJ7W5YCWWU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","3.0 out of 5 stars","Addictive recipe, messy execution","Reviewed in the United States on July 11, 2023","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","The pup loves it, but it’s a logistical mess for humans.Pros:-picky dog likes the chicken recipe-great size and easy to hold for 17 week 6lb pup-the unchewed part is hard and doesn’t stain rugs-good 30min distraction for dogCons:-after the second ring, dog figured out how to break off a piece to eat super quickly. Now within the first five minutes he has broken the ring and goes from chewing to eating.-when the ring comes in contact with saliva it gets really really sticky. A mess for humans to pick up by hand-as a dog chews/eats it, little clumps get dislodged everywhere, radioactive yellow colored. Had to pick up.-it gets stuck in pups teeth once in smaller chunks, leading to dog running around the house trying to paw/dislodge by themselves. Needs human to actually dislodge.","Addictive recipe, messy execution","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhORx70brdyszQhBnxpXEVFsS6QRNEeYDORF%252F26uoUMrcAAAAAGXT4DkAAAAB%26reviewId%3DR1Q3ZJ7W5YCWWU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","The pup loves it, but it’s a logistical mess for humans.Pros:-picky dog likes the chicken recipe-great size and easy to hold for 17 week 6lb pup-the unchewed part is hard and doesn’t stain rugs-good 30min distraction for dogCons:-after the second ring, dog figured out how to break off a piece to eat super quickly. Now within the first five minutes he has broken the ring and goes from chewing to eating.-when the ring comes in contact with saliva it gets really really sticky. A mess for humans to pick up by hand-as a dog chews/eats it, little clumps get dislodged everywhere, radioactive yellow colored. Had to pick up.-it gets stuck in pups teeth once in smaller chunks, leading to dog running around the house trying to paw/dislodge by themselves. Needs human to actually dislodge.","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hORx70brdyszQhBnxpXEVFsS6QRNEeYDORF%2F26uoUMrcAAAAAGXT4DkAAAAB&reviewId=R1Q3ZJ7W5YCWWU","6 people found this helpful","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHRVK7E25OWYAMAPLM643KMWINUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jamie Wright","https://www.amazon.com/gp/customer-reviews/R2S99MI7EUYETS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","5.0 out of 5 stars","Yorkie Approved","Reviewed in the United States on November 25, 2023","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My lil guy loves these before bedtime! Beware - these will cause your pup to do zoomies from excitement!","3 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIOiWBTp1Oe1gwBiJhmNlAadIP448ofBwpbQXG67Jv6xAAAAAGXT4DkAAAAB%26reviewId%3DR2S99MI7EUYETS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIOiWBTp1Oe1gwBiJhmNlAadIP448ofBwpbQXG67Jv6xAAAAAGXT4DkAAAAB&reviewId=R2S99MI7EUYETS","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AE3EQHXZM32Y66D5HFQDHF3MUJSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","C. Vickers","https://www.amazon.com/gp/customer-reviews/R10AE5QAQMB9OE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","4.0 out of 5 stars","Puppy chews","Reviewed in the United States on September 26, 2023","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our 14 year old Morkie enjoyed them, but our 5 month Boston Terrier ate them like regula6treat.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOC%252BoseeUh%252Bjmqc1fgpDteL9Dsbw4idH2wlKDitb%252B%252B60AAAAAGXT4DkAAAAB%26reviewId%3DR10AE5QAQMB9OE&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOC%2BoseeUh%2Bjmqc1fgpDteL9Dsbw4idH2wlKDitb%2B%2B60AAAAAGXT4DkAAAAB&reviewId=R10AE5QAQMB9OE","","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGJ2XAAQFZBQJDRDGSRK4AXJE77Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Susan Lush","https://www.amazon.com/gp/customer-reviews/RRG80VAKWGLJT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08KL4M5RK","4.0 out of 5 stars","Puppy loves them—however I am watchful","Reviewed in the United States on April 29, 2023","Flavor Name: ChickenSize: Small (Pack of 7)","https://www.amazon.com/N-Bone-Teething-Blueberry-Multicolor-Regular/product-reviews/B09FQBPCF1/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My little guy is just shy of 5lbs and a teething maniac— these calm him down and he works at them longer than any chew toy— however I lay with him and watch. Mostly at first because they say his size should only have half a one a day but as I watched him I noticed when was able to break thru an area he could get larger chunks off and I feelat his age those could be a chocking hazard.So I save them for when I have time to veg out with him for a bit—","6 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Blueberry-Multicolor-Regular%2Fproduct-reviews%2FB08KL4M5RK%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhH1MN%252F1mVTGCWvd4Eqz26kYRWU5i1ovl5YDELp8v0RJWAAAAAGXT4DkAAAAB%26reviewId%3DRRG80VAKWGLJT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hH1MN%2F1mVTGCWvd4Eqz26kYRWU5i1ovl5YDELp8v0RJWAAAAAGXT4DkAAAAB&reviewId=RRG80VAKWGLJT","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
