"a-profile href","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-size-base 4","a-size-base 5","a-size-base 6","a-button-text href","a-size-base href 2","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AEXBCAL5IDLVE5HGA7R6GEZOOWOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Ashley Harris","https://www.amazon.com/gp/customer-reviews/R2R4G8VCJGKZ6H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","5.0 out of 5 stars","These are great!","Reviewed in the United States on October 23, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I was looking for an affordable but healthy soft treat to give my little senior. He will not and cannot even try to eat a hard treat. These are just right! They arrived early, he loves the flavor, I love that they support his joints. They were all intact so no crumbs. Very soft texture so he was able to enjoy them with ease. I can't even move the bag without him getting excited. We will be purchasing these more often! Happy dog mom here!","These are great!","I was looking for an affordable but healthy soft treat to give my little senior. He will not and cannot even try to eat a hard treat. These are just right! They arrived early, he loves the flavor, I love that they support his joints. They were all intact so no crumbs. Very soft texture so he was able to enjoy them with ease. I can't even move the bag without him getting excited. We will be purchasing these more often! Happy dog mom here!","4 people found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNWsRLo78%252BAvHL4j2FxeWkpdK5jj4XR9dMCqASjbprjPAAAAAGXT4mgAAAAB%26reviewId%3DR2R4G8VCJGKZ6H&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNWsRLo78%2BAvHL4j2FxeWkpdK5jj4XR9dMCqASjbprjPAAAAAGXT4mgAAAAB&reviewId=R2R4G8VCJGKZ6H",""
"https://www.amazon.com/gp/profile/amzn1.account.AGTAV6NXKKFFKEH7N7XAEF5OD2NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amy J. Russell","https://www.amazon.com/gp/customer-reviews/R3FQ1J2TI9252V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","5.0 out of 5 stars","she loves them","Reviewed in the United States on August 29, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My senior girl Trixie loves these, she eats all her food when I crumble a few on top. Keeping calories on an aged dog is important and these are small, soft and tasty.","2 people found this helpful","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJet3MbWIOm8ApuMVqiqiI427uRWHUXy1B5e4ynuuFi5AAAAAGXT4mgAAAAB%26reviewId%3DR3FQ1J2TI9252V&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJet3MbWIOm8ApuMVqiqiI427uRWHUXy1B5e4ynuuFi5AAAAAGXT4mgAAAAB&reviewId=R3FQ1J2TI9252V","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEUUVKMMIU5N4AUVKOM5LJTGFGTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lynda Meacham","https://www.amazon.com/gp/customer-reviews/R1RPTXMJ6LW2FX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","5.0 out of 5 stars","Soft","Reviewed in the United States on February 2, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My 15 year old dachshund has lost some teeth, Biteables are soft and easy to chew for him.","2 people found this helpful","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFeN%252Bv8WZX6erYf2enMp9JMolylOyeQ2fB%252B4cPx7q0HOAAAAAGXT4mgAAAAB%26reviewId%3DR1RPTXMJ6LW2FX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFeN%2Bv8WZX6erYf2enMp9JMolylOyeQ2fB%2B4cPx7q0HOAAAAAGXT4mgAAAAB&reviewId=R1RPTXMJ6LW2FX","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHO4UW2FAK6R75E5M45KS4UKNSZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lizzie","https://www.amazon.com/gp/customer-reviews/RBYVQ1DKZR0WX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","3.0 out of 5 stars","Not that soft","Reviewed in the United States on November 15, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My senior dog has missing teeth. I need to cut these into smaller chunks to use them so she can swallow them (whole!) She’s fine chewing on softer things but not these.","Report","Showing  comments","","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOHDrmGTDSqZQ0q1IDYWISudooBfwOYoyeErZ9NB227VAAAAAGXT4mgAAAAB%26reviewId%3DRBYVQ1DKZR0WX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOHDrmGTDSqZQ0q1IDYWISudooBfwOYoyeErZ9NB227VAAAAAGXT4mgAAAAB&reviewId=RBYVQ1DKZR0WX","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGNXOP4XOBHEOMVU2K77CS33FBHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Augz","https://www.amazon.com/gp/customer-reviews/R35NWHIZ14S7VF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","5.0 out of 5 stars","My dog loves them","Reviewed in the United States on March 23, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I bought these as treats for my senior dog. She has had all of her teeth removed, but she can eat these with ease. She loves them and the small size make them easy to hide in her snuffle mat.","3 people found this helpful","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhE9sT%252ByRovJGb1WUqHbl1eT9sfTtncad1d4ctxORFQlmAAAAAGXT4mgAAAAB%26reviewId%3DR35NWHIZ14S7VF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hE9sT%2ByRovJGb1WUqHbl1eT9sfTtncad1d4ctxORFQlmAAAAAGXT4mgAAAAB&reviewId=R35NWHIZ14S7VF","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEB2VCAQGS7EKOC7GRNEUQVWKXVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","oakley2540","https://www.amazon.com/gp/customer-reviews/R18MNWXB5LHNTR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","5.0 out of 5 stars","My pups love them!","Reviewed in the United States on July 23, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Both pups love these treats! I love that they are soft so that my 16 year old yorkie has no trouble eating them. I also love the fact that they are made in the USA!","2 people found this helpful","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPbTIyvoiYqyfhxef8XDPRJnzIYmb1JCYQRBL7abpL5fAAAAAGXT4mgAAAAB%26reviewId%3DR18MNWXB5LHNTR&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPbTIyvoiYqyfhxef8XDPRJnzIYmb1JCYQRBL7abpL5fAAAAAGXT4mgAAAAB&reviewId=R18MNWXB5LHNTR","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEGCM7QUF7ZPJG6YC2WPBE3E5IHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Yellow Earrings","https://www.amazon.com/gp/customer-reviews/RRLVEKZHR1K3O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","4.0 out of 5 stars","She said they're yummy.","Reviewed in the United States on April 29, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our Morkie is spoiled when it comes to tteats. Since she had some teeth removed, she's not able to eat her favorites now, but she loves these. They're tiny and semi soft. Thanks for caring about our senior babies.","3 people found this helpful","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOhJGEBizLBZWmHfRC5TbCfbHLn79wTsvSXcBtv6kNLkAAAAAGXT4mgAAAAB%26reviewId%3DRRLVEKZHR1K3O&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOhJGEBizLBZWmHfRC5TbCfbHLn79wTsvSXcBtv6kNLkAAAAAGXT4mgAAAAB&reviewId=RRLVEKZHR1K3O","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFYXZ3ZI5YAPBI7LI2IM6DK5PBRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5d9e6caf-cfcd-4897-a704-dd96589bdcda._CR0,79.0,843,843_SX48_.jpg""/>","Melissa","https://www.amazon.com/gp/customer-reviews/R1G4NTN5REWBF4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","5.0 out of 5 stars","Senior Dog Loves These","Reviewed in the United States on June 21, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","These treats are the only treats my dog really loves. She often turns her nose up at other brands/types I try to buy. She’s had all but 3 teeth removed and she eats these easily. I get these monthly for her and have only had 1 bag where I felt the treats were dry and lacked moisture, but she gobbled them down anyway. Feeding instructions do specifically state to only give between 8-10 a day.","2 people found this helpful","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhMbgUMpsBS0ruQTK1ZkmUcv%252BFOHzIQkXqSWpvV9kVIB8AAAAAGXT4mgAAAAB%26reviewId%3DR1G4NTN5REWBF4&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMbgUMpsBS0ruQTK1ZkmUcv%2BFOHzIQkXqSWpvV9kVIB8AAAAAGXT4mgAAAAB&reviewId=R1G4NTN5REWBF4","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AG56FZBO27XZSDM7OOBJA2G7WMJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","MariaFaires,RD_PersonalTrainer","https://www.amazon.com/gp/customer-reviews/R2CWHTPJFLLKS2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","5.0 out of 5 stars","Good for senior dogs no teeth","Reviewed in the United States on October 7, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have a 6 pound senior dog who has very few teeth. She is at risk for choking since she sometimes swallows instead of chewing. These treats are perfect since they easily crumble. To lessen the risk of her choking even more, I give the treats a little squeeze to start the crumble process. I'm so glad I found this treat as a delicious option for her.","5 people found this helpful","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPf%252BBPNpH8YCJnoY7n7d7mVQxOlUQC5v0IIk4H7vP0xCAAAAAGXT4mgAAAAB%26reviewId%3DR2CWHTPJFLLKS2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPf%2BBPNpH8YCJnoY7n7d7mVQxOlUQC5v0IIk4H7vP0xCAAAAAGXT4mgAAAAB&reviewId=R2CWHTPJFLLKS2","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEJA73IK47EE5BXW56FEDYWNGHVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","PetesMom","https://www.amazon.com/gp/customer-reviews/R3IV20TS4C81ET/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08S6MQZVV","5.0 out of 5 stars","For my sweet senior dog","Reviewed in the United States on December 24, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My senior shitzhu mix has problems pooping so everything has to be soft.He is starting to lose some teeth but my boy is still happy, active and loves his treats. After trying many types that had to be made in the USA, organic or  as close as possible without chemicals,hormones,etc. Finally…jackpot! He loves them! Perfect for his teeth issues, keeps him regular as long as I don’t overdo it. I hope this can help others with these issues.","5 people found this helpful","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Senior-Health%2Fproduct-reviews%2FB08S6MQZVV%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhMGumqDweqwy6G%252FNrwynpxxlpLex%252FSx5dlnZe3rYxtweAAAAAGXT4mgAAAAB%26reviewId%3DR3IV20TS4C81ET&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMGumqDweqwy6G%2FNrwynpxxlpLex%2FSx5dlnZe3rYxtweAAAAAGXT4mgAAAAB&reviewId=R3IV20TS4C81ET","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
