"a-profile href","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-size-base 4","a-size-base 5","a-button-text href","a-size-base 6","a-size-base href 2","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AE7LJNVX2IT2SEQZ3ENWWAL37SLA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/ce33cd83-6503-4630-a204-04930279d783._CR9,0,482,482_SX48_.jpg""/>","Roccityroller","https://www.amazon.com/gp/customer-reviews/R2OJFDPQ5RGC3S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","5.0 out of 5 stars","Great at getting our big baby to focus","Reviewed in the United States on November 12, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","We have a 8 month old retriever who were training to be a hunting dog. Most of our program has trained with hot dogs, however carrying a pocket of hotdogs around isn't always feasible. So we've been looking for some treats that will get him to focus when we're out so we can reinforce the basics.For a food driven puppy he's very particular about treats (probably because he gets hot dogs all the time!) But as soon as I opened the bag, he was engaged. These are a soft chew and don't give off a lot of mess on your hands or your pocket and they're small enough that they are a good reward without taking too long for them to chomp down before the next repetition.I think for the price and the quality these are a great treat to keep your little ones focused on the task at hand an learning.","Great at getting our big baby to focus","We have a 8 month old retriever who were training to be a hunting dog. Most of our program has trained with hot dogs, however carrying a pocket of hotdogs around isn't always feasible. So we've been looking for some treats that will get him to focus when we're out so we can reinforce the basics.For a food driven puppy he's very particular about treats (probably because he gets hot dogs all the time!) But as soon as I opened the bag, he was engaged. These are a soft chew and don't give off a lot of mess on your hands or your pocket and they're small enough that they are a good reward without taking too long for them to chomp down before the next repetition.I think for the price and the quality these are a great treat to keep your little ones focused on the task at hand an learning.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIvay6%252FHc9tj8cjuV87xEJ3%252Fe6GASQ%252B0CzMDEWyifudjAAAAAGXT34YAAAAB%26reviewId%3DR2OJFDPQ5RGC3S&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIvay6%2FHc9tj8cjuV87xEJ3%2Fe6GASQ%2B0CzMDEWyifudjAAAAAGXT34YAAAAB&reviewId=R2OJFDPQ5RGC3S",""
"https://www.amazon.com/gp/profile/amzn1.account.AF3EUBEJLZQU66C7XAGK5YL7OYZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","kristina smith","https://www.amazon.com/gp/customer-reviews/R2HP0WC12GN8SZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","5.0 out of 5 stars","dogs LOVE","Reviewed in the United States on November 19, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","love this brand and the quality.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIb41OHWCZ7qK4JVFtHsrfVPafNSd%252FGY9aQyGCqHcpnEAAAAAGXT34YAAAAB%26reviewId%3DR2HP0WC12GN8SZ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIb41OHWCZ7qK4JVFtHsrfVPafNSd%2FGY9aQyGCqHcpnEAAAAAGXT34YAAAAB&reviewId=R2HP0WC12GN8SZ","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGDZZ6CPT7SVVN3DKJ6TT5V73R6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R1BOO16IGG61FE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","5.0 out of 5 stars","Puppy treats","Reviewed in the United States on October 19, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our Lab loves them and has had no side effects","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNXbpxjWB6TRHkF82rtGV7V21jkOo0E%252FNEdPKKuZfSLjAAAAAGXT34YAAAAB%26reviewId%3DR1BOO16IGG61FE&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNXbpxjWB6TRHkF82rtGV7V21jkOo0E%2FNEdPKKuZfSLjAAAAAGXT34YAAAAB&reviewId=R1BOO16IGG61FE","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEFVRU23UEUW6N2AHSFWC4W6DBKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/f76a9220-6ad7-447a-b9b3-9ef8dbf28cf3._CR62,0,375,375_SX48_.jpg""/>","Bird Reviews","https://www.amazon.com/gp/customer-reviews/R1IXN4KBDO4CA7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","4.0 out of 5 stars","Little treats often ideal for our small dog, who is gaining weight","Reviewed in the United States on October 12, 2021","","(","We don’t have a puppy, but these little chicken treats are ideal for our small, spoiled dog, who has put on weight over the years and doesn’t always need to have a larger, more extravagent type of treat. I think she likes the chicken flavor of these treats, and I like how they contain probiotics and colostrum for gut health and improved immunity.The list of ingredients in these treats is mercifully short, indicating there isn’t a lot of processed junk. Though I wouldn’t say these treats are Sally’s favorite of all time, she does like getting them, and again, I like their small size and minimal calories. I can definitely see how these treats would be good for training puppies. They seem moist and are not too soft, not too hard.These treats do not contain corn, soy, or wheat.","One person found this helpful","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPYxY1UQ%252FoZBKPl2eTy3Q5GQ7dDUAy%252BEIGetT0YqpHRhAAAAAGXT34YAAAAB%26reviewId%3DR1IXN4KBDO4CA7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPYxY1UQ%2FoZBKPl2eTy3Q5GQ7dDUAy%2BEIGetT0YqpHRhAAAAAGXT34YAAAAB&reviewId=R1IXN4KBDO4CA7","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFUQ3BY24IFGSR5UZ3RCYXSZZ7YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","christineLV","https://www.amazon.com/gp/customer-reviews/R1668PRAU8H8I3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","5.0 out of 5 stars","Perfect size for puppies 2-4 months","Reviewed in the United States on November 20, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our puppy loves the flavor. We also like that they are small but if you're doing a lot of training consecutively, you can actually break them in half so you're not filling your dog up with treats.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHCdNzQP4fwihknfy8aCGfgi3yxvvGqhidg87XsOPmHvAAAAAGXT34YAAAAB%26reviewId%3DR1668PRAU8H8I3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHCdNzQP4fwihknfy8aCGfgi3yxvvGqhidg87XsOPmHvAAAAAGXT34YAAAAB&reviewId=R1668PRAU8H8I3","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGA67WZM75MERSML32QXAZPUH2YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Ruby Stephens","https://www.amazon.com/gp/customer-reviews/R1J2J34ZG5FJ88/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","5.0 out of 5 stars","Good","Reviewed in the United States on June 5, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppy loves this treat.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhG6cYkfbm3pDy8RY%252BBVO3GMdgn3Y%252FpQps8049cIRNHxpAAAAAGXT34YAAAAB%26reviewId%3DR1J2J34ZG5FJ88&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hG6cYkfbm3pDy8RY%2BBVO3GMdgn3Y%2FpQps8049cIRNHxpAAAAAGXT34YAAAAB&reviewId=R1J2J34ZG5FJ88","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFIENFQCK5JEW2ASDEZ5CZSUC7YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","AnewBuy","https://www.amazon.com/gp/customer-reviews/R2QH9SYUIR2BY6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","3.0 out of 5 stars","Very disappointed in freshness!","Reviewed in the United States on September 10, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My original package came from the breeder when we picked up our new puppy and was very most, easy to break into smaller pieces. So, I purchased three packages from here. I have now opened my second package only to find that, unlike my first package, these packages are very dry and crumbly. The expiration date shows 10/29/23, so I would not expect such a contrast in quality. Unfortunately, I do not know what the date was on the original package, So I guess in the future I will purchase from the local pet store so that I can check the date before purchase.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDAdDstIffHX%252FcprZJjNrcPRwxX4VJaJvuiIUe5u8IYkAAAAAGXT34YAAAAB%26reviewId%3DR2QH9SYUIR2BY6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDAdDstIffHX%2FcprZJjNrcPRwxX4VJaJvuiIUe5u8IYkAAAAAGXT34YAAAAB&reviewId=R2QH9SYUIR2BY6","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGE7SO4NM6DW3D7AY7G7TLY66FXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kathy","https://www.amazon.com/gp/customer-reviews/R1GK0QA479PH5H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","5.0 out of 5 stars","Puppy loves these!","Reviewed in the United States on June 7, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our new puppy loves these treats. As he is getting older he is chewing them up faster.","One person found this helpful","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhP%252Bhj5MvPN7ukV2TrXmn%252FNJujNvpwYfDRkVRRYfPe%252BovAAAAAGXT34YAAAAB%26reviewId%3DR1GK0QA479PH5H&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hP%2Bhj5MvPN7ukV2TrXmn%2FNJujNvpwYfDRkVRRYfPe%2BovAAAAAGXT34YAAAAB&reviewId=R1GK0QA479PH5H","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFYTYA33YKSE5LVKOOCJSWXHNEUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sarah","https://www.amazon.com/gp/customer-reviews/REYLPFTJQJYCX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","3.0 out of 5 stars","Dog doesn't really love them","Reviewed in the United States on November 17, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have a very picky small princess dog, so yours might like these. I recommend the puppy teething sticks by this company instead. She loves them and they really are a ""treat"" to her. I would have no luck training with these little bites","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhB17NP1G8vZdMy%252BPwpPt%252BGUzuVhlQQo4V7qACio4ZHTaAAAAAGXT34YAAAAB%26reviewId%3DREYLPFTJQJYCX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hB17NP1G8vZdMy%2BPwpPt%2BGUzuVhlQQo4V7qACio4ZHTaAAAAAGXT34YAAAAB&reviewId=REYLPFTJQJYCX","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AE3NJBNVZYN3DJNJ5VSF2XDQSZYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","THEODORE HOULIS","https://www.amazon.com/gp/customer-reviews/R3J2K2HGKEYQZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0924YY8HC","1.0 out of 5 stars","This bag was a bad batch of treats. They were stale","Reviewed in the United States on August 13, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","This particular bag of treat was spoiled and does rate a one star.  Fortunately, my dog would not take the treat. I have bought this same product several times before.  And my dog loved it.  I will return the bad bag of N-BONE puppy training treats. I do not want a refund.","Report","Showing  comments","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Training-Treats-Chicken-Recipe%2Fproduct-reviews%2FB0924YY8HC%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIxRpRjtKWIAGMJIQyWu4pLFVtlm38NIKG8jCkeOHGh8AAAAAGXT34YAAAAB%26reviewId%3DR3J2K2HGKEYQZ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIxRpRjtKWIAGMJIQyWu4pLFVtlm38NIKG8jCkeOHGh8AAAAAGXT34YAAAAB&reviewId=R3J2K2HGKEYQZ","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
