"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-color-success","a-size-mini 2","a-size-mini href","a-size-mini 3","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AEOQ7HZBUQJ6HJZRFOMMXBA4UZ3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Briana","https://www.amazon.com/gp/customer-reviews/R4GIJKLRHB24J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","5.0 out of 5 stars","One of my cats favorite treats","Reviewed in the United States on February 14, 2024","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I wanted to find a soft treat for my cats that was healthy and had cranberry in it that my cats would both eat. That is tricky nowadays having two cats with different tastebuds. However ever since I’ve found this on a pet store shelf I will search until I can get my hands on it! I only can find it online now but it makes me feel better that my cats are getting a healthy treat in them that hopefully will help prevent issues down the line.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhON%252Bx6d5D3%252BXlDKd7zjQmH3nS2UECwBTLyCanFvruCNGAAAAAGXT1L4AAAAB%26reviewId%3DR4GIJKLRHB24J&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hON%2Bx6d5D3%2BXlDKd7zjQmH3nS2UECwBTLyCanFvruCNGAAAAAGXT1L4AAAAB&reviewId=R4GIJKLRHB24J","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AE2LCGXL7ZM55F3VTC7LTWUYHTFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/9840580e-3c4b-426c-bae4-81b7f9f1be30._CR62,0,375,375_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/9840580e-3c4b-426c-bae4-81b7f9f1be30._CR62,0,375,375_SX48_.jpg""/>","LESLIE OBRIEN","https://www.amazon.com/gp/customer-reviews/R2RBX7XAT13YER/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","5.0 out of 5 stars","4 paws up","Reviewed in the United States on November 19, 2021","","(","So, the super finicky felines that rule the house can, coincidentally, be super finicky about their treats. One will throw up if he gets more than 2-3 at one time, another looks at them and gives me a blank look as if asking “What did you just try to pawn off on me?”, and then there’s the third one that is all-the-treats-all-the-time. So I have a hard time finding treats that they will all like or at least two out of three. So what did they think of these?Smell (that’s mostly me): On the mild side. Didn’t really smell like chicken to me.Hard/soft: Very soft. Two of the cats seemed to eat them okay, but the one that’s missing most of her teeth had trouble with them.Taste (that’s them): they seemed a bit dubious and I think that might be down to the mild smell. While they did eat them, the toothless one was the slower of the three to jump on them.Overall: I like that this product is made in the USA and it’s for all life stages since ours range from 4-11yo. I’ve also found that they do seem to enjoy cranberry when it’s in their foods, which is always a bonus for me (and them). And at the listed price, it’s about on par with other similar products out there. In looking at the brand, I also see that there’s other flavor options, which I intend to investigate.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGxHCaCO81n6kEgXpQLkRY%252BrCl700ONqFZAliVvu%252Fx3BAAAAAGXT1L4AAAAB%26reviewId%3DR2RBX7XAT13YER&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGxHCaCO81n6kEgXpQLkRY%2BrCl700ONqFZAliVvu%2Fx3BAAAAAGXT1L4AAAAB&reviewId=R2RBX7XAT13YER","Report","0","There was a problem loading comments right now. Please try again later.","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AHTKWGXRYOT4YWOUZRMH43RMB2QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/cec4f71c-f81a-4e95-9862-3bcc7ecfc165._CR83,0,333,333_SX48_.jpg""/>","girasole","https://www.amazon.com/gp/customer-reviews/R3OXB5XXC3A7LB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","3.0 out of 5 stars","Chicken Feast treats","Reviewed in the United States on November 20, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My cat loved these...once.  He then didn't want anything to do with them.  They really do smell awful, which may be a turn-on for some cats but for mine - not so much, I guess.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFSavFoKD7Y7LuaSJkowDFtwP0rA1PLIXdHQ%252BoB4PbScAAAAAGXT1L4AAAAB%26reviewId%3DR3OXB5XXC3A7LB&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFSavFoKD7Y7LuaSJkowDFtwP0rA1PLIXdHQ%2BoB4PbScAAAAAGXT1L4AAAAB&reviewId=R3OXB5XXC3A7LB","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","","","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHFWV2IP54TGQGKSY67KDLGHTPMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","lynn a morris","https://www.amazon.com/gp/customer-reviews/R1LB8UIHB3DP46/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","4.0 out of 5 stars","Cats liked them but they smell horrible","Reviewed in the United States on December 14, 2021","","(","My cats like these treats, but they smelled horrible.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhK5vgF8Urw5z62rfxO6z%252BlvjxYok4D0Vl4pU0U6fRMoDAAAAAGXT1L4AAAAB%26reviewId%3DR1LB8UIHB3DP46&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hK5vgF8Urw5z62rfxO6z%2BlvjxYok4D0Vl4pU0U6fRMoDAAAAAGXT1L4AAAAB&reviewId=R1LB8UIHB3DP46","Showing  comments","0","There was a problem loading comments right now. Please try again later.","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEIW7GMVHQ4HBUXTTYEMHEMADUMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/2d892371-24ba-4302-be95-173242a65062._CR0,0,439,439_SX48_.jpg""/>","Tamara Thorne","https://www.amazon.com/gp/customer-reviews/R13GIYGZN6IDQY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","5.0 out of 5 stars","Healthy Treats for the UTI-Prone","Reviewed in the United States on December 27, 2021","","(","We have six cats and Temptations are their kitty crack of choice, but these far-healthier Naked Biteables are beloved by Woodrow and Wolfie, brothers who are prone to minor but regular UTIs. These treats contain cranberry and that's exactly what they need in their diet to make sure they don't develop problems.While I do add a powder UTI supplement to their food at meals, I love that they come running for these treats several times a day as well. It helps keep them safe and happy.Not all of the other four like them but that's fine. The two that benefit most absolutely love them and I love giving them to them.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhP8q0MnmOGI7gmR75o6yISdpeRS7TVGpKo70dOgkg5z8AAAAAGXT1L4AAAAB%26reviewId%3DR13GIYGZN6IDQY&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hP8q0MnmOGI7gmR75o6yISdpeRS7TVGpKo70dOgkg5z8AAAAAGXT1L4AAAAB&reviewId=R13GIYGZN6IDQY","Showing  comments","0","There was a problem loading comments right now. Please try again later.","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGSYLZVR5XAFVX24YQ6OF4WGXP5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/24f33b5f-3b3e-4ebc-8e6e-fdfa323c86e1._CR82,0,335,335_SX48_.jpg""/>","HeatherInTx","https://www.amazon.com/gp/customer-reviews/R15PJUQ8HRZHF2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","1.0 out of 5 stars","Horrible!","Reviewed in the United States on November 22, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have 3 cats who will eat ANY treat but these. They smell horrid and are very pricy!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhETRVTjLFMgPc32bal1uRX9wPzQZvSftB3%252FhA2lg2hqpAAAAAGXT1L4AAAAB%26reviewId%3DR15PJUQ8HRZHF2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hETRVTjLFMgPc32bal1uRX9wPzQZvSftB3%2FhA2lg2hqpAAAAAGXT1L4AAAAB&reviewId=R15PJUQ8HRZHF2","Report","0","There was a problem loading comments right now. Please try again later.","","","","","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AELUBDR7ILZOV5H7QMSXXKJZO6QQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/179bdce9-c62a-4896-ace9-2888f2980655._CR25,0,450,450_SX48_.jpg""/>","A reader, a crafter, a gardener and cook","https://www.amazon.com/gp/customer-reviews/R1NUU6RIQQLKRX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","5.0 out of 5 stars","8 of nine cats loved them","Reviewed in the United States on November 23, 2021","","(","Eight of my nine cats loved these. The ninth will eat one but if I put down more than one at a time she'll leave the others.They're a good size for cats. I have a tiny 6 lb one and a massive 16 lb one and they both can get these down.They're semi-moist, you can compress them and put a fingernail through them, not crunchy at all. But they aren't moist enough to form them around a pill like a Pill Pocket either.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEbXnQ1K8W6hrURcbGN7p0CVrYZgUgxSVbxYjleBTjFCAAAAAGXT1L4AAAAB%26reviewId%3DR1NUU6RIQQLKRX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","8 of nine cats loved them","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEbXnQ1K8W6hrURcbGN7p0CVrYZgUgxSVbxYjleBTjFCAAAAAGXT1L4AAAAB&reviewId=R1NUU6RIQQLKRX","Eight of my nine cats loved these. The ninth will eat one but if I put down more than one at a time she'll leave the others.They're a good size for cats. I have a tiny 6 lb one and a massive 16 lb one and they both can get these down.They're semi-moist, you can compress them and put a fingernail through them, not crunchy at all. But they aren't moist enough to form them around a pill like a Pill Pocket either.","0","There was a problem loading comments right now. Please try again later.","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFGBVWTQ7QBZZZNUSXS3LJJN3WWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","S.M.","https://www.amazon.com/gp/customer-reviews/R2RHZAPLDT9YHD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","2.0 out of 5 stars","They were great for a few days, but not anymore.","Reviewed in the United States on November 26, 2021","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Based on both cats loving the purple furball soft-treats made by the same company, I thought I'd give the health soft-treats a try. At first, both cats would devour them just like the other kind. However, after a few days, the pickier of the two would begin to vomit after eating a few of the health treats, and even the other one would no longer inhale them like he used to.2 days later, the fussy eater will not touch the health treats at all, and will also no longer touch the furball treats - shame, thought I'd finally found something she'd like, but I guess it was not meant to be. Might give it a few days and see if she wants to try at least the furball treats again, but it does look like the health treats are a lost cause for both cats.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPpmf4i106%252BHbIezOia2dVn7bC1b6W09JeyvU0SNw1u2AAAAAGXT1L4AAAAB%26reviewId%3DR2RHZAPLDT9YHD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPpmf4i106%2BHbIezOia2dVn7bC1b6W09JeyvU0SNw1u2AAAAAGXT1L4AAAAB&reviewId=R2RHZAPLDT9YHD","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","","","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGOGEPH5SA4Z655TEIRIQGOXLRJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","H. Martin","https://www.amazon.com/gp/customer-reviews/RMHP5YUWDVG02/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","3.0 out of 5 stars","Get Naked Biteables Natural Soft Treats","Reviewed in the United States on November 26, 2021","","(","Every night at bedtime my cat gets a treat. She demands treats because it’s our routine. She has a variety of different ones but I’ve been trying to introduce treats that also have some health benefits and am not having much luck. I gave her one of these treats with her regular nightly treat. That one piece has been sitting uneaten for three nights now. She eats her regular ones but is ignoring this one. If you’re cat will eat it, it’s a good option. But Darcy is not interested.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFDYpYpnRsslEbcvt%252FXASPq1NQuBoWVJ9iOjM4ulBzUnAAAAAGXT1L4AAAAB%26reviewId%3DRMHP5YUWDVG02&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Get Naked Biteables Natural Soft Treats","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFDYpYpnRsslEbcvt%2FXASPq1NQuBoWVJ9iOjM4ulBzUnAAAAAGXT1L4AAAAB&reviewId=RMHP5YUWDVG02","Every night at bedtime my cat gets a treat. She demands treats because it’s our routine. She has a variety of different ones but I’ve been trying to introduce treats that also have some health benefits and am not having much luck. I gave her one of these treats with her regular nightly treat. That one piece has been sitting uneaten for three nights now. She eats her regular ones but is ignoring this one. If you’re cat will eat it, it’s a good option. But Darcy is not interested.","0","There was a problem loading comments right now. Please try again later.","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFTQN4MTJHHVFM4FEXY5KT76OY4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/8d18cd1e-2740-4485-a2a6-caad80689782._CR0,0,500,500_SX48_.jpg""/>","A.Mom","https://www.amazon.com/gp/customer-reviews/R1Y6Q9QQDSLOGJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQDFF3Q","2.0 out of 5 stars","Two cats said no.","Reviewed in the United States on December 6, 2021","","(","I ordered these for our 5 year old cat. I wouldn't consider him extra picky, but he defiantly was when it comes to these treats. I tried to offer them to him several times and every time he said nope. I then gave the bag to a friend to try and his cat also said no. I wouldn't buy these again, so I couldn't recommend them (even though we've had fantastic luck with all the other Get Naked products in the past).","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Chicken%2Fproduct-reviews%2FB09FQDFF3Q%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOzsNGfTbnSRG%252FKQ19mYs3dQrZ1FmQl7rJwBV5zxrLwNAAAAAGXT1L4AAAAB%26reviewId%3DR1Y6Q9QQDSLOGJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOzsNGfTbnSRG%2FKQ19mYs3dQrZ1FmQl7rJwBV5zxrLwNAAAAAGXT1L4AAAAB&reviewId=R1Y6Q9QQDSLOGJ","Showing  comments","0","There was a problem loading comments right now. Please try again later.","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
