"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","cr-lightbox-main-image src","a-profile href 2","a-profile-avatar src 2","a-profile-avatar 2","a-profile-name 2","a-icon-alt 2","a-size-small","a-size-medium","cr-lightbox-image-thumbnail src","a-popover-preload","a-popover-trigger href","a-section","a-size-base 6","a-size-base 7","a-size-base 8","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AG7VDIGS4ODX3RRKHK33QJUNV7YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/RV4K4R89SILGF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","Great for Senior dogs","Reviewed in the United States on February 3, 2024","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog is 13 years old and has difficulty chewing. These are soft enough for her and yet take a while to eat.  She loves them. My other dogs that are younger also like them.  I highly recommend this product which is allowing my old lady to chew on bones again!!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDQzz%252FA2d5DqEBzcBxG72DqJMCu5m%252Fxm8jGpj2z4TeQrAAAAAGXT5WYAAAAB%26reviewId%3DRV4K4R89SILGF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDQzz%2FA2d5DqEBzcBxG72DqJMCu5m%2Fxm8jGpj2z4TeQrAAAAAGXT5WYAAAAB&reviewId=RV4K4R89SILGF","Showing  comments","","","","","","","","","","","","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AFBBASMDNGAFJKMG5PJ5OXUQS4VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sean","https://www.amazon.com/gp/customer-reviews/R2K4DEI07O2UHI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","Happy that I tried out this new product","Reviewed in the United States on March 17, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I was glancing through the new releases and happy to find this treat specifically designed for my senior dog. He loves the flavor of the treat, and seems like the texture is at the right level for him to chew on it but not hurting as he definitely was enjoying it. the ingredients all looked nice and I'm glad that I found this new treat for him. Would buy more once I use up this bag!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHvug7DmvKZkP5Sz9Y195cKuorq%252Brjk5%252B172EvYUqhFKAAAAAGXT5WYAAAAB%26reviewId%3DR2K4DEI07O2UHI&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Happy that I tried out this new product","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHvug7DmvKZkP5Sz9Y195cKuorq%2Brjk5%2B172EvYUqhFKAAAAAGXT5WYAAAAB&reviewId=R2K4DEI07O2UHI","I was glancing through the new releases and happy to find this treat specifically designed for my senior dog. He loves the flavor of the treat, and seems like the texture is at the right level for him to chew on it but not hurting as he definitely was enjoying it. the ingredients all looked nice and I'm glad that I found this new treat for him. Would buy more once I use up this bag!","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","https://www.amazon.com/gp/profile/amzn1.account.AFBBASMDNGAFJKMG5PJ5OXUQS4VA/ref=cm_cr_arp_d_gw_pop?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sean","5.0 out of 5 stars","Reviewed in the United States on March 17, 2022","Images in this review","https://m.media-amazon.com/images/I/716F0Ki+SiL._SY88.jpg","function toggleSeeAllView() {
       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          imagePopoverController.toggleSeeAllView(true);
       });
   }","javascript:void(0)","P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          A.on(""a:popover:beforeShow:R2K4DEI07O2UHI_gallerySection_main"", function(data) {
            imagePopoverController.initImagePopover(""R2K4DEI07O2UHI"", ""[https://m.media-amazon.com/images/I/716F0Ki+SiL._SL1600_.jpg]"", data);
          });
        });","5 people found this helpful","Report","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AFBI2TLOBCQLLOGMJPD2EFJ37HBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","ElaineC","https://www.amazon.com/gp/customer-reviews/R2Q5XA62ISOZ1R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","Amazing","Reviewed in the United States on November 21, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog loves it!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKGder6QjfTQwLsbxsBfce%252Bozo80vZ8upEj3ONsRkl9KAAAAAGXT5WYAAAAB%26reviewId%3DR2Q5XA62ISOZ1R&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKGder6QjfTQwLsbxsBfce%2Bozo80vZ8upEj3ONsRkl9KAAAAAGXT5WYAAAAB&reviewId=R2Q5XA62ISOZ1R","Showing  comments","","","","","","","","","","","","","","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHRXPVZFHLWLUP3QT3SQVIKCOVXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Yang Zhang","https://www.amazon.com/gp/customer-reviews/RWM6YZNBEHWZQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","Occupied Puppy","Reviewed in the United States on March 19, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our Dog, Teddy, likes to chew staff to kill his time. we bough this dental ring for him and he likes it so much. He moved it around and tried to hid it from his sister dog. finally he can not help but start to chew it with a good quality time to enjoy it/Great Chewing Product, both Teddy and Tesla love to chew them!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGUotGe2PbSfUQzgdwbuklK1cjkTr3PtgwDF6u6tgDObAAAAAGXT5WYAAAAB%26reviewId%3DRWM6YZNBEHWZQ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGUotGe2PbSfUQzgdwbuklK1cjkTr3PtgwDF6u6tgDObAAAAAGXT5WYAAAAB&reviewId=RWM6YZNBEHWZQ","Report","","","","","","","","","","","","","Showing  comments","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFK3ZU4OGXNQT7V6LPU6BCEOADYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jordan","https://www.amazon.com/gp/customer-reviews/R1CO0M7B0U5B7G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","LOVE THIS! Spoiling our Senior puppies!","Reviewed in the United States on March 18, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Awesome product! Wyatt (7 yrs) & his mom, Lucy (retired field champion, 11 yrs) are getting extra love and TLC with this dental treat made specifically for dogs in and/or entering their “Golden-years”. ❤️🐶 Lucy has arthritis and hasn’t been able to eat the daily Wish-Bone treat we’ve always given them- seems to hurt her jaw. She had NO issues chewing / eating the entire Dental ring w/ a big smile on her face! It’s great to find something that she can still enjoy daily! Not to mention the added benefits she will get :) specifically the Glucosamine for her joints.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDD2BWbxkoskuyJXZnA8hoCEinJfFx1nmTNK5FaNN2tkAAAAAGXT5WYAAAAB%26reviewId%3DR1CO0M7B0U5B7G&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","LOVE THIS! Spoiling our Senior puppies!","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDD2BWbxkoskuyJXZnA8hoCEinJfFx1nmTNK5FaNN2tkAAAAAGXT5WYAAAAB&reviewId=R1CO0M7B0U5B7G","Awesome product! Wyatt (7 yrs) & his mom, Lucy (retired field champion, 11 yrs) are getting extra love and TLC with this dental treat made specifically for dogs in and/or entering their “Golden-years”. ❤️🐶 Lucy has arthritis and hasn’t been able to eat the daily Wish-Bone treat we’ve always given them- seems to hurt her jaw. She had NO issues chewing / eating the entire Dental ring w/ a big smile on her face! It’s great to find something that she can still enjoy daily! Not to mention the added benefits she will get :) specifically the Glucosamine for her joints.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","https://www.amazon.com/gp/profile/amzn1.account.AFK3ZU4OGXNQT7V6LPU6BCEOADYQ/ref=cm_cr_arp_d_gw_pop?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jordan","5.0 out of 5 stars","Reviewed in the United States on March 18, 2022","Images in this review","https://m.media-amazon.com/images/I/71CHbZuEaQL._SY88.jpg","function toggleSeeAllView() {
       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          imagePopoverController.toggleSeeAllView(true);
       });
   }","javascript:void(0)","P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          A.on(""a:popover:beforeShow:R1CO0M7B0U5B7G_gallerySection_main"", function(data) {
            imagePopoverController.initImagePopover(""R1CO0M7B0U5B7G"", ""[https://m.media-amazon.com/images/I/71CHbZuEaQL._SL1600_.jpg, https://m.media-amazon.com/images/I/71mv3k8QyXL._SL1600_.jpg, https://m.media-amazon.com/images/I/819XUZIfoZL._SL1600_.jpg, https://m.media-amazon.com/images/I/91GhtCQnIVL._SL1600_.jpg]"", data);
          });
        });","4 people found this helpful","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGMK6OAHXZKPLETDZNK6HGBUREZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lina","https://www.amazon.com/gp/customer-reviews/R21BVHSLYJ156L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","Ran off after 1 sniff!","Reviewed in the United States on March 28, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Found these while browsing Amazon's pet section, looking for a treat for Sukie, our family dog who is 8.5 year old now. Sukie was super energetic when she was in her puppy stage, and loved treats that she could spend some time chewing on. However, with the age, she grew out of it and it felt like she was uninterested no matter the efforts we made to find something appealing to her.As soon as I opened the bag and gave her a Senior Dental Ring, she sniffed, bit, and ran away with the treat! We think she was hiding it for later, to enjoy peacefully when nobody was around. I've never seen her getting so excited about a treat in these past few years, this was such a surprise! I'm happy we finally found something that she loves, and allows us to get a glimpse of the little playful puppy she used to be!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHiuFFfbrIGPd4u0komYZMBeoftiOtGYaXDpwdjP19J7AAAAAGXT5WYAAAAB%26reviewId%3DR21BVHSLYJ156L&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Ran off after 1 sniff!","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHiuFFfbrIGPd4u0komYZMBeoftiOtGYaXDpwdjP19J7AAAAAGXT5WYAAAAB&reviewId=R21BVHSLYJ156L","Found these while browsing Amazon's pet section, looking for a treat for Sukie, our family dog who is 8.5 year old now. Sukie was super energetic when she was in her puppy stage, and loved treats that she could spend some time chewing on. However, with the age, she grew out of it and it felt like she was uninterested no matter the efforts we made to find something appealing to her.As soon as I opened the bag and gave her a Senior Dental Ring, she sniffed, bit, and ran away with the treat! We think she was hiding it for later, to enjoy peacefully when nobody was around. I've never seen her getting so excited about a treat in these past few years, this was such a surprise! I'm happy we finally found something that she loves, and allows us to get a glimpse of the little playful puppy she used to be!","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","https://www.amazon.com/gp/profile/amzn1.account.AGMK6OAHXZKPLETDZNK6HGBUREZQ/ref=cm_cr_arp_d_gw_pop?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lina","5.0 out of 5 stars","Reviewed in the United States on March 28, 2022","Images in this review","https://m.media-amazon.com/images/I/7102a+KBHSL._SY88.jpg","function toggleSeeAllView() {
       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          imagePopoverController.toggleSeeAllView(true);
       });
   }","javascript:void(0)","P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          A.on(""a:popover:beforeShow:R21BVHSLYJ156L_gallerySection_main"", function(data) {
            imagePopoverController.initImagePopover(""R21BVHSLYJ156L"", ""[https://m.media-amazon.com/images/I/7102a+KBHSL._SL1600_.jpg]"", data);
          });
        });","3 people found this helpful","Report","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFKUAE2HVAR7IBGOWS2HM4BZ54JQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Trish","https://www.amazon.com/gp/customer-reviews/R2BAZSQ4SXUWAB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","Ultra picky eater approved!","Reviewed in the United States on April 21, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have a Siberian Husky who is the pickiest eater I have ever seen.  He will turn his nose up at pizza delivery if it doesn't have the toppings he likes.  These are the only dog treats he will actually eat.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJ5pGLpX7MsbM8DOCh52jEL6TKnJHOtFbCKj8uUGN0l3AAAAAGXT5WYAAAAB%26reviewId%3DR2BAZSQ4SXUWAB&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJ5pGLpX7MsbM8DOCh52jEL6TKnJHOtFbCKj8uUGN0l3AAAAAGXT5WYAAAAB&reviewId=R2BAZSQ4SXUWAB","Report","","","","","","","","","","","","","Showing  comments","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFOTTHOESJLRP7ZXUJHTYIZRHQ5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jenifer","https://www.amazon.com/gp/customer-reviews/RPC4C7OSI5CB2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","A LIFE SAVER","Reviewed in the United States on April 19, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Was a little hesitant purchasing this since my little guy can NEVER chew anything with his weak teeth, but thought I would give it a try since this was for senior dogs. Long story short, I LOVE THIS! One of the only treats that the little guy could chew through without having me breaking it up for him. I finally don't have to worry about him breaking a tooth when I leave him alone with it. Having it support his joints is just an added bonus.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEtSKQPawecyEC%252Br3AQtTmpHDtCpu%252FJiAwVQBNSVRvchAAAAAGXT5WYAAAAB%26reviewId%3DRPC4C7OSI5CB2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","3 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEtSKQPawecyEC%2Br3AQtTmpHDtCpu%2FJiAwVQBNSVRvchAAAAAGXT5WYAAAAB&reviewId=RPC4C7OSI5CB2","Report","","","","","","","","","","","","","Showing  comments","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AE4JX4U6IMFQ2GDZO7J533HWJIAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Diane Scott","https://www.amazon.com/gp/customer-reviews/RV15S0DZK6SQ4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","First! :)  Puppy Teething Ring for the Senior Dog","Reviewed in the United States on March 16, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Very excited! I've been giving their puppy teething ring to my now adult dog for several years.  I like that it's a little bit softer than the other one since her teeth are a little older. But she still loves to chew on the ring and hide it to ""dig up"" later.  It still has that twirly design for getting to the plaque which also helps with some of her doggie breath.  Now add a little mint to it - level up!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJ1bfHaC%252B6HZyfaR%252BQBVKmod2A%252FlPiJcKKS4QBD2P5ceAAAAAGXT5WYAAAAB%26reviewId%3DRV15S0DZK6SQ4&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJ1bfHaC%2B6HZyfaR%2BQBVKmod2A%2FlPiJcKKS4QBD2P5ceAAAAAGXT5WYAAAAB&reviewId=RV15S0DZK6SQ4","Report","","","","","","","","","","","","","Showing  comments","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHF7BMLX67YKQE5RFPEQL3UJWOYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","LJ","https://www.amazon.com/gp/customer-reviews/R18HGVRUBOXWX7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09QP9DXJS","5.0 out of 5 stars","Chew rings made for older dogs","Reviewed in the United States on January 3, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I purchased this brand as our puppy was gifted the puppy rings in the same brand and our older dog wanted them so bad!  So I got him his own and he just loves these!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Senior-Dental-Chicken-Flavor%2Fproduct-reviews%2FB09QP9DXJS%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhO45uBUt5G4scgY1SGqa%252F5%252FP27KF%252Bx5XalXSPvApA88DAAAAAGXT5WYAAAAB%26reviewId%3DR18HGVRUBOXWX7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hO45uBUt5G4scgY1SGqa%2F5%2FP27KF%2Bx5XalXSPvApA88DAAAAAGXT5WYAAAAB&reviewId=R18HGVRUBOXWX7","Report","","","","","","","","","","","","","Showing  comments","","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
