"a-profile href","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","cr-lightbox-main-image src","a-profile href 2","a-profile-avatar src 2","a-profile-avatar 2","a-profile-name 2","a-icon-alt 2","a-size-base 4","a-size-small","a-size-base 5","a-size-medium","cr-lightbox-image-thumbnail src","a-popover-preload","a-popover-trigger href","a-section","a-button-text href","a-size-base 6","a-size-base href 2","a-size-base 7","a-lazy-loaded src","a-size-base 8"
"https://www.amazon.com/gp/profile/amzn1.account.AEHCWX7OQYNXEWP277KRJDNC4SHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amorris","https://www.amazon.com/gp/customer-reviews/R1IBHTXL4W3Y3T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","5.0 out of 5 stars","Puppy’s favorite","Reviewed in the United States on September 16, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our puppy loves these.  Perfect for teething. They keep him busy and happy for long period of time.  They must taste good because he is quite eager to get one.  Only drawback— they make fur on his paws and face a little messy. (Nothing a small bath doesn’t fix)","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","https://www.amazon.com/gp/profile/amzn1.account.AEHCWX7OQYNXEWP277KRJDNC4SHA/ref=cm_cr_arp_d_gw_pop?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amorris","5.0 out of 5 stars","Puppy’s favorite","Reviewed in the United States on September 16, 2023","Our puppy loves these.  Perfect for teething. They keep him busy and happy for long period of time.  They must taste good because he is quite eager to get one.  Only drawback— they make fur on his paws and face a little messy. (Nothing a small bath doesn’t fix)","Images in this review","https://m.media-amazon.com/images/I/71LLJxUNlUL._SY88.jpg","function toggleSeeAllView() {
       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          imagePopoverController.toggleSeeAllView(true);
       });
   }","javascript:void(0)","P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          A.on(""a:popover:beforeShow:R1IBHTXL4W3Y3T_gallerySection_main"", function(data) {
            imagePopoverController.initImagePopover(""R1IBHTXL4W3Y3T"", ""[https://m.media-amazon.com/images/I/71LLJxUNlUL._SL1600_.jpg]"", data);
          });
        });","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhH9j9pGsAvCkyFTXn9mbf5zlrwi0lwnRN0bhltIlg88cAAAAAGXT3%252BcAAAAB%26reviewId%3DR1IBHTXL4W3Y3T&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hH9j9pGsAvCkyFTXn9mbf5zlrwi0lwnRN0bhltIlg88cAAAAAGXT3%2BcAAAAB&reviewId=R1IBHTXL4W3Y3T","Showing  comments","",""
"https://www.amazon.com/gp/profile/amzn1.account.AGMIWB3K2QDNNR5W75DBVPGN4FWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Darth","https://www.amazon.com/gp/customer-reviews/R1290DRHHMQ9OW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","5.0 out of 5 stars","Great for teething pups.","Reviewed in the United States on May 31, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog loved these! They broke down easily so not worrying about choking and kept him occupied and his teeth pain soothed","","","","","","","Report","","Showing  comments","","","","","","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhHr1RCIXn3c%252Fernkb4fwscfiBjJc6S7AJfeOkLhPRM0LAAAAAGXT3%252BcAAAAB%26reviewId%3DR1290DRHHMQ9OW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHr1RCIXn3c%2Fernkb4fwscfiBjJc6S7AJfeOkLhPRM0LAAAAAGXT3%2BcAAAAB&reviewId=R1290DRHHMQ9OW","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AFAVFCTG72PDX35Q6XBNJVXGZLMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Julia Shanks","https://www.amazon.com/gp/customer-reviews/R1VKPGFBQCL2CD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","5.0 out of 5 stars","It keeps my GSD puppy busy!","Reviewed in the United States on January 27, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","my 5 month old teething German Shepherd Puppy can be a handful! He chews on everything. But this chewing treat really helps!!! It keeps him occupied for about 30 min. It’s amazing! And he does not chew on anything after it. It’s a win win for our pup and us! And it doesn’t smell awful. We have been buying it over and over again! Highly recommend","","","","","","","Report","","Showing  comments","","","","","","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAqRu5MPiNSFm1bUEPRkUVlOfFnbBV1cYBQi6LbkDtdOAAAAAGXT3%252BcAAAAB%26reviewId%3DR1VKPGFBQCL2CD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAqRu5MPiNSFm1bUEPRkUVlOfFnbBV1cYBQi6LbkDtdOAAAAAGXT3%2BcAAAAB&reviewId=R1VKPGFBQCL2CD","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AF5UN247RJQ6MJQBBSGJLFACREMA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","antoinette","https://www.amazon.com/gp/customer-reviews/R3PNEBP1OZSSU8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","4.0 out of 5 stars","WOULD NOT BUY AGAIN, WOULD NOT RECOMMEND","Reviewed in the United States on April 1, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I give it 4* for entertainment purposes only... if you are holding the dog while they chew this, your clothes will get gross... it will leave a gross mess everywhere your dog decides it wants to chew it... if in the crate, all their bedding will need washed... I highly recommend this be an OUTSIDE chew or it will be way more hassle than it's worth...","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","https://www.amazon.com/gp/profile/amzn1.account.AF5UN247RJQ6MJQBBSGJLFACREMA/ref=cm_cr_arp_d_gw_pop?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","antoinette","4.0 out of 5 stars","WOULD NOT BUY AGAIN, WOULD NOT RECOMMEND","Reviewed in the United States on April 1, 2023","I give it 4* for entertainment purposes only... if you are holding the dog while they chew this, your clothes will get gross... it will leave a gross mess everywhere your dog decides it wants to chew it... if in the crate, all their bedding will need washed... I highly recommend this be an OUTSIDE chew or it will be way more hassle than it's worth...","Images in this review","https://m.media-amazon.com/images/I/61lg-SO6+aL._SY88.jpg","function toggleSeeAllView() {
       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          imagePopoverController.toggleSeeAllView(true);
       });
   }","javascript:void(0)","P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          A.on(""a:popover:beforeShow:R3PNEBP1OZSSU8_gallerySection_main"", function(data) {
            imagePopoverController.initImagePopover(""R3PNEBP1OZSSU8"", ""[https://m.media-amazon.com/images/I/61lg-SO6+aL._SL1600_.jpg]"", data);
          });
        });","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEsZZ%252Fsv4KHMpg8HmZ6UcnYSee1PnPwEuZQ3L9HshMXdAAAAAGXT3%252BcAAAAB%26reviewId%3DR3PNEBP1OZSSU8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","4 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEsZZ%2Fsv4KHMpg8HmZ6UcnYSee1PnPwEuZQ3L9HshMXdAAAAAGXT3%2BcAAAAB&reviewId=R3PNEBP1OZSSU8","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AELWOFY6ALKZLO6AI6XN6UM4Y67A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Dottie Hansen","https://www.amazon.com/gp/customer-reviews/R101TI3T56J89Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","5.0 out of 5 stars","Awesome","Reviewed in the United States on January 21, 2024","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Was perfect for my now 1 year old puppy","","","","","","","Report","","Showing  comments","","","","","","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFgYoI4Yjbh6Cs03Zbn56rq9SBuD8SZ%252FvCDQQuexbim7AAAAAGXT3%252BcAAAAB%26reviewId%3DR101TI3T56J89Y&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFgYoI4Yjbh6Cs03Zbn56rq9SBuD8SZ%2FvCDQQuexbim7AAAAAGXT3%2BcAAAAB&reviewId=R101TI3T56J89Y","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AGPPIAI63BT6IFKPABPL7J4HD72Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","FFL","https://www.amazon.com/gp/customer-reviews/R27SEP1USV03U9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","5.0 out of 5 stars","Great for teething","Reviewed in the United States on September 8, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","It’s excellent for teething","","","","","","","Report","","Showing  comments","","","","","","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPytTTHZJkBi%252FbJ2cJKRweo21X2ZyynyGGRQ31woL57wAAAAAGXT3%252BcAAAAB%26reviewId%3DR27SEP1USV03U9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPytTTHZJkBi%2FbJ2cJKRweo21X2ZyynyGGRQ31woL57wAAAAAGXT3%2BcAAAAB&reviewId=R27SEP1USV03U9","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AHTEO6S3KIR3EBQW25RNGJVPS5BA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Christa Dahlinghaus","https://www.amazon.com/gp/customer-reviews/R2AFEFZBHQN77E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","3.0 out of 5 stars","My dog will eat goose poop, but not these chew sticks","Reviewed in the United States on February 14, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I bought these for my granddog, an American English Coonhound.  I hold it out for her, she takes it and drops it.  She doesn't find it appealing at all.  The first four ingredients are:  Rice Flour, Vegetable Glycerin, Gelatin, and Water.  Meat should be the first ingredient in my opinion.I bought my pup some Pur Luv Chicken Jerky, and she goes nuts for those.  The ingredients are:  Chicken Breast, Vegetable Glycerin, Salt...that's all of the ingredients!If you're dog likes Puppy Teething Sticks, I'm glad.  They are affordable and look like they will last long.  But if they don't, try Pur Lov Chicken Jerky.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","https://www.amazon.com/gp/profile/amzn1.account.AHTEO6S3KIR3EBQW25RNGJVPS5BA/ref=cm_cr_arp_d_gw_pop?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Christa Dahlinghaus","3.0 out of 5 stars","My dog will eat goose poop, but not these chew sticks","Reviewed in the United States on February 14, 2023","I bought these for my granddog, an American English Coonhound.  I hold it out for her, she takes it and drops it.  She doesn't find it appealing at all.  The first four ingredients are:  Rice Flour, Vegetable Glycerin, Gelatin, and Water.  Meat should be the first ingredient in my opinion.I bought my pup some Pur Luv Chicken Jerky, and she goes nuts for those.  The ingredients are:  Chicken Breast, Vegetable Glycerin, Salt...that's all of the ingredients!If you're dog likes Puppy Teething Sticks, I'm glad.  They are affordable and look like they will last long.  But if they don't, try Pur Lov Chicken Jerky.","Images in this review","https://m.media-amazon.com/images/I/71fq83-DJ0L._SY88.jpg","function toggleSeeAllView() {
       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          imagePopoverController.toggleSeeAllView(true);
       });
   }","javascript:void(0)","P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          A.on(""a:popover:beforeShow:R2AFEFZBHQN77E_gallerySection_main"", function(data) {
            imagePopoverController.initImagePopover(""R2AFEFZBHQN77E"", ""[https://m.media-amazon.com/images/I/71fq83-DJ0L._SL1600_.jpg, https://m.media-amazon.com/images/I/71r2C8WX+0L._SL1600_.jpg]"", data);
          });
        });","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCnI0osupDoUvw5cSB33GrVTkPyPAPUmzsv5zu%252FTcleVAAAAAGXT3%252BcAAAAB%26reviewId%3DR2AFEFZBHQN77E&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCnI0osupDoUvw5cSB33GrVTkPyPAPUmzsv5zu%2FTcleVAAAAAGXT3%2BcAAAAB&reviewId=R2AFEFZBHQN77E","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AFDSWCI6JUHZK2BLI5DECTRKBUDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","bee","https://www.amazon.com/gp/customer-reviews/R2WLQO6QX43R51/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","5.0 out of 5 stars","Longest lasting chewy","Reviewed in the United States on August 7, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have older dogs and though they like a chewy stick it needs to be soft enough to not break their teeth. I used one Nylabone that broke my one dogs teeth = a 1k vet bill. I now get chews labeled for puppies. This last about 45 minutes of focused chewing. I think the ingredients are good as neither dogs have any digestive reactions from them. They are expensive so it’s their Sunday treat.","","","","","","","2 people found this helpful","","Report","","","","","","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEd%252BN2YI6XpdV%252BI2%252FIcnd67bH9UJHUJ1K%252F9rSMlu9M69AAAAAGXT3%252BcAAAAB%26reviewId%3DR2WLQO6QX43R51&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEd%2BN2YI6XpdV%2BI2%2FIcnd67bH9UJHUJ1K%2F9rSMlu9M69AAAAAGXT3%2BcAAAAB&reviewId=R2WLQO6QX43R51","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AFNQCAGTYLUL4FVZMFU2Q72DJ55Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Ace17","https://www.amazon.com/gp/customer-reviews/R2W0DMMOO92HA6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","5.0 out of 5 stars","BEST product of this kind.","Reviewed in the United States on October 26, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Our Great Dane absolutely loves these. She would definitely eat more than one a day if she could. I simply point to the bag and she comes running. We have tried other products and she simply won’t eat them!","","","","","","","Report","","Showing  comments","","","","","","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIrH1F2OIqFlkYXCG0wBTX6MvZj%252Bp%252BuvMzMmm7aqNVgSAAAAAGXT3%252BcAAAAB%26reviewId%3DR2W0DMMOO92HA6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIrH1F2OIqFlkYXCG0wBTX6MvZj%2Bp%2BuvMzMmm7aqNVgSAAAAAGXT3%2BcAAAAB&reviewId=R2W0DMMOO92HA6","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AE4TQPHLME7YFDODRVCJT64DVZRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","candyce","https://www.amazon.com/gp/customer-reviews/R234MHB3B0U5E3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6FX8LH","5.0 out of 5 stars","Immediately loved them!","Reviewed in the United States on September 10, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have a 10 wk puppy and 6 year old dog and it is difficult to find bones they both like that will last and not upset my 10 wk old puppy's tummy. I opened the bag and they both immediately took it and love them! I'm hoping they will last awhile since they both will devour a bone in a day but I will update after awhile. So far I love that they love them! And I love that my puppy isn't chewing on things he's not supposed to...","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif","https://www.amazon.com/gp/profile/amzn1.account.AE4TQPHLME7YFDODRVCJT64DVZRA/ref=cm_cr_arp_d_gw_pop?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","candyce","5.0 out of 5 stars","Immediately loved them!","Reviewed in the United States on September 10, 2023","I have a 10 wk puppy and 6 year old dog and it is difficult to find bones they both like that will last and not upset my 10 wk old puppy's tummy. I opened the bag and they both immediately took it and love them! I'm hoping they will last awhile since they both will devour a bone in a day but I will update after awhile. So far I love that they love them! And I love that my puppy isn't chewing on things he's not supposed to...","Images in this review","https://m.media-amazon.com/images/I/71Qwwc123EL._SY88.jpg","function toggleSeeAllView() {
       P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          imagePopoverController.toggleSeeAllView(true);
       });
   }","javascript:void(0)","P.when('A', 'cr-image-popover-controller').execute(function(A, imagePopoverController) {
          A.on(""a:popover:beforeShow:R234MHB3B0U5E3_gallerySection_main"", function(data) {
            imagePopoverController.initImagePopover(""R234MHB3B0U5E3"", ""[https://m.media-amazon.com/images/I/71Qwwc123EL._SL1600_.jpg]"", data);
          });
        });","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Chicken-7-28-oz%2Fproduct-reviews%2FB09R6FX8LH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFgGinx0G8dLYd7Jb1NCCPs5QgS41BRLvOZjTQpqsBQWAAAAAGXT3%252BcAAAAB%26reviewId%3DR234MHB3B0U5E3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFgGinx0G8dLYd7Jb1NCCPs5QgS41BRLvOZjTQpqsBQWAAAAAGXT3%2BcAAAAB&reviewId=R234MHB3B0U5E3","Report","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
