"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-mini href","a-size-base 3","a-button-text href","a-size-base 4","a-size-base href 2","a-size-base 5","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AH7GD3ZVWFR6JEW6GEYNM6YS32KA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Tiffany","https://www.amazon.com/gp/customer-reviews/RT3HHZQPVBBF7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","5.0 out of 5 stars","Puppy approved","Reviewed in the United States on February 13, 2024","Flavor Name: Peanut ButterSize: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B09R6PPRMH/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Kept my puppy entertained for quite a while . She loves these sticks . Perfect for a teething puppy .","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLE55iGhI06QMXZgXMig40LtmCGTcRvZiXKtQjpXIdJkAAAAAGXT8woAAAAB%26reviewId%3DRT3HHZQPVBBF7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLE55iGhI06QMXZgXMig40LtmCGTcRvZiXKtQjpXIdJkAAAAAGXT8woAAAAB&reviewId=RT3HHZQPVBBF7","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AG6FJGDNJVURLQTKGP7AZLHFJJHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Luciano","https://www.amazon.com/gp/customer-reviews/R1H1B3UMANGHUA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","5.0 out of 5 stars","Good time filler!","Reviewed in the United States on January 30, 2024","Flavor Name: PumpkinSize: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B09R6CH93J/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","If we’re doing something that requires us to leave the puppy to himself for a bit, I feel pretty good about giving him one of these. It’ll last for maybe 10-30 mins depending on his mood. Also just a nice treat for a good boy!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhF8Kv90a4UGKzZxRjGUDK4Mzl0dtVN9PyTb%252BDC%252FRiCqCAAAAAGXT8woAAAAB%26reviewId%3DR1H1B3UMANGHUA&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hF8Kv90a4UGKzZxRjGUDK4Mzl0dtVN9PyTb%2BDC%2FRiCqCAAAAAGXT8woAAAAB&reviewId=R1H1B3UMANGHUA","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AF4K2XPMUIFA6JAB2EGXC4RSDXRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Stacie Thurston","https://www.amazon.com/gp/customer-reviews/R1ZNHQ4W5FQ6PJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","5.0 out of 5 stars","Hey","Reviewed in the United States on February 12, 2024","Flavor Name: PumpkinSize: 11.22 Ounce (Pack of 3)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B0BMW5PR9X/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","I got these for my mom’s puppy they are really good for when they are teething","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFsfT7fJNSxOuQ793a7yL0Bd%252FMp2SB1wfJvWPqzvyy7MAAAAAGXT8woAAAAB%26reviewId%3DR1ZNHQ4W5FQ6PJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFsfT7fJNSxOuQ793a7yL0Bd%2FMp2SB1wfJvWPqzvyy7MAAAAAGXT8woAAAAB&reviewId=R1ZNHQ4W5FQ6PJ","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGMQNSW2VZO4V2HSPHPNPOONWYCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/45bbbb1b-96a1-40b7-b642-7e73c1c1b199._CR62,0,375,375_SX48_.jpg""/>","Taylor Marie","https://www.amazon.com/gp/customer-reviews/R2B6YBYHSMAQVY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","4.0 out of 5 stars","Great for non-intense chewers, be careful with extreme teethers.","Reviewed in the United States on December 14, 2023","Flavor Name: Peanut ButterSize: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B09R6PPRMH/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","These teething sticks would be great for small dog puppies or puppies who are not intense or extreme chewers. My 10 week old lab chewed through and ate this stick within 3 minutes of giving it to him. So if you do get these teething sticks for your pups, just be sure to watch them closely. It says 3 sticks daily for 16 to 25lb puppies, but I would not recommend that, as they are super thin and could potentially be a choking hazard. They do not have a strong smell as well.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhN0%252B1f2TEGwgeY0US%252Bg6cVyaJtCnYX99MjNMUpeS5UZsAAAAAGXT8woAAAAB%26reviewId%3DR2B6YBYHSMAQVY&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Great for non-intense chewers, be careful with extreme teethers.","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hN0%2B1f2TEGwgeY0US%2Bg6cVyaJtCnYX99MjNMUpeS5UZsAAAAAGXT8woAAAAB&reviewId=R2B6YBYHSMAQVY","These teething sticks would be great for small dog puppies or puppies who are not intense or extreme chewers. My 10 week old lab chewed through and ate this stick within 3 minutes of giving it to him. So if you do get these teething sticks for your pups, just be sure to watch them closely. It says 3 sticks daily for 16 to 25lb puppies, but I would not recommend that, as they are super thin and could potentially be a choking hazard. They do not have a strong smell as well.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHJH2GX6KA5IMIDAQ7PEQC5CQRRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Rich Wheatley","https://www.amazon.com/gp/customer-reviews/R17T41NL3V67F0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","5.0 out of 5 stars","Great","Reviewed in the United States on February 17, 2024","Flavor Name: PumpkinSize: 11.22 Ounce (Pack of 3)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B0BMW5PR9X/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Wonderful teething dogd","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhKsNHLC4C7%252ByhQN35YaRMedbnPbTeL2woO1kypCuWQDPAAAAAGXT8woAAAAB%26reviewId%3DR17T41NL3V67F0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKsNHLC4C7%2ByhQN35YaRMedbnPbTeL2woO1kypCuWQDPAAAAAGXT8woAAAAB&reviewId=R17T41NL3V67F0","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHV4R6VUB36QZJ5IKSIRVUBH4IVA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Ella B","https://www.amazon.com/gp/customer-reviews/R14H2NQSFFVQ68/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","3.0 out of 5 stars","Puppy doesn't care about them","Reviewed in the United States on February 16, 2024","Flavor Name: Peanut ButterSize: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B09R6PPRMH/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My puppy has shown basically no interest in these. It seems like they're too small for him, but he still didn't care about them even when he was only 5 lbs. My bigger dog will snatch them up and eat them when my puppy leaves them behind though.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCppLtT%252FvRJ6qfPkqeAYXxu2WAVOoFnqsFFUuC94qJMfAAAAAGXT8woAAAAB%26reviewId%3DR14H2NQSFFVQ68&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCppLtT%2FvRJ6qfPkqeAYXxu2WAVOoFnqsFFUuC94qJMfAAAAAGXT8woAAAAB&reviewId=R14H2NQSFFVQ68","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHYCDDSBXK3CJK6ROA6VP4VCWUQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Marlyn","https://www.amazon.com/gp/customer-reviews/R1QWXSA48KWZD6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","5.0 out of 5 stars","Great deal","Reviewed in the United States on February 3, 2024","Flavor Name: PumpkinSize: 11.22 Ounce (Pack of 3)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B0BMW5PR9X/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Great deal","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGggaVhisfaZETbnKT9QFPuKVvGTUNs%252FCiHyxgH%252Bh8zfAAAAAGXT8woAAAAB%26reviewId%3DR1QWXSA48KWZD6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGggaVhisfaZETbnKT9QFPuKVvGTUNs%2FCiHyxgH%2Bh8zfAAAAAGXT8woAAAAB&reviewId=R1QWXSA48KWZD6","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF6IKIJZCFAJRBQOWRVLKPUI5KDQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kindle Customer","https://www.amazon.com/gp/customer-reviews/R2Y96QDJYR2GTG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","5.0 out of 5 stars","Puppy sticks","Reviewed in the United States on January 27, 2024","Flavor Name: PumpkinSize: 11.22 Ounce (Pack of 3)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B0BMW5PR9X/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Our little bischon loves these.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhC8OYsJHHvf9fTRq2wRBwO2n9PWmtsJh%252FQIXNcahlV4JAAAAAGXT8woAAAAB%26reviewId%3DR2Y96QDJYR2GTG&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hC8OYsJHHvf9fTRq2wRBwO2n9PWmtsJh%2FQIXNcahlV4JAAAAAGXT8woAAAAB&reviewId=R2Y96QDJYR2GTG","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AE4HKFRSIQTGJBCNF6F6OZ2Z36JA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Chelsea DeMille","https://www.amazon.com/gp/customer-reviews/R1NT3XP91VS18P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","4.0 out of 5 stars","Good for puppy","Reviewed in the United States on February 17, 2024","Flavor Name: Peanut ButterSize: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B09R6PPRMH/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","My new puppy liked these a lot but my older dog didn’t care for them. They last about a day.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhM3S89HqP0lXD7BoLEWtl5GQc9%252Ft6BpIWrCMRs1ALMFvAAAAAGXT8woAAAAB%26reviewId%3DR1NT3XP91VS18P&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hM3S89HqP0lXD7BoLEWtl5GQc9%2Ft6BpIWrCMRs1ALMFvAAAAAGXT8woAAAAB&reviewId=R1NT3XP91VS18P","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEVHCQQQGAZNSI7QLV4SAFWYDHFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","beamsago","https://www.amazon.com/gp/customer-reviews/R2LKOI7EPU7H3H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09R6PPRMH","4.0 out of 5 stars","Good idea, but out cheese it too fast","Reviewed in the United States on February 11, 2024","Flavor Name: Peanut ButterSize: 3.74 Ounce (Pack of 1)","https://www.amazon.com/N-Bone-Teething-Sticks-Peanut-Butter/product-reviews/B09R6PPRMH/ref=cm_cr_arp_d_rvw_fmt?ie=UTF8&formatType=current_format","Not teething bones for my puppy. He chews it instantly. But he does love it.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Teething-Sticks-Peanut-Butter%2Fproduct-reviews%2FB09R6PPRMH%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLGrODP3VQa%252FIR7ddf6Fkk%252B6PTiFgZZUHpx9Wr8ffYUOAAAAAGXT8woAAAAB%26reviewId%3DR2LKOI7EPU7H3H&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLGrODP3VQa%2FIR7ddf6Fkk%2B6PTiFgZZUHpx9Wr8ffYUOAAAAAGXT8woAAAAB&reviewId=R2LKOI7EPU7H3H","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
