"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AG5YFIL3RNC5FNICSVMNW3J26MVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Angela Panzella","https://www.amazon.com/gp/customer-reviews/R2N7N2KVD797LK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","5.0 out of 5 stars","My dog loves these","Reviewed in the United States on November 9, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","As long as my dog is happy so am I","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEk5N3Kpe9UJLHA7eXxnOtVRR%252B1C94op%252FpsVGRgmsIH0AAAAAGXT8cAAAAAB%26reviewId%3DR2N7N2KVD797LK&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEk5N3Kpe9UJLHA7eXxnOtVRR%2B1C94op%2FpsVGRgmsIH0AAAAAGXT8cAAAAAB&reviewId=R2N7N2KVD797LK","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AG7NH65T6LQQQ7WFGAW6CZS7DOIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/4467eb33-0443-448e-a37c-a2f978575301._CR0,0.0,333,333_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/4467eb33-0443-448e-a37c-a2f978575301._CR0,0.0,333,333_SX48_.jpg""/>","Raf95TS","https://www.amazon.com/gp/customer-reviews/R3AC9VCI5WFO2H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","5.0 out of 5 stars","No bad tummy after eating","Reviewed in the United States on July 2, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","We have Aussie that is an aggressive chewer. I can hide part of this in a Kong toy, by hiding part of it, and it gives her about 20 minutes of chewing. She does eat it fast.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhCCif49oYwplLskEIhJ1KmBEc7Cj4c6j7clhJKQiFkIKAAAAAGXT8cAAAAAB%26reviewId%3DR3AC9VCI5WFO2H&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCCif49oYwplLskEIhJ1KmBEc7Cj4c6j7clhJKQiFkIKAAAAAGXT8cAAAAAB&reviewId=R3AC9VCI5WFO2H","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AELCDCXYQ2JRB4V3ET526PEJGN6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Michelle","https://www.amazon.com/gp/customer-reviews/R1TP3BX0XRH8P9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","5.0 out of 5 stars","My Adult Husky Pup Loves Them","Reviewed in the United States on July 18, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Wish you had Salmon in this Particular chew but all in all my pup loves them.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAAyC4Jos5LakswcpalppF8hIa5nzKJDd0Osz3LVV7a7AAAAAGXT8cAAAAAB%26reviewId%3DR1TP3BX0XRH8P9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAAyC4Jos5LakswcpalppF8hIa5nzKJDd0Osz3LVV7a7AAAAAGXT8cAAAAAB&reviewId=R1TP3BX0XRH8P9","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFKUAE2HVAR7IBGOWS2HM4BZ54JQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Trish","https://www.amazon.com/gp/customer-reviews/R1WO1UCAZH96K9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","5.0 out of 5 stars","Ultra picky eater approved!","Reviewed in the United States on April 21, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I have a Siberian Husky who is the pickiest eater I have ever seen.  He will turn his nose up at pizza delivery if it doesn't have the toppings he likes.  These are the only dog treats he will actually eat.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAFOPPFA72twBVEP7LXsfBzKNsLCCI9bdOQn4cCLgP1FAAAAAGXT8cAAAAAB%26reviewId%3DR1WO1UCAZH96K9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","2 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAFOPPFA72twBVEP7LXsfBzKNsLCCI9bdOQn4cCLgP1FAAAAAGXT8cAAAAAB&reviewId=R1WO1UCAZH96K9","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHNHMVFQP43JQIWEYQIJZEMNEFXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Doglover","https://www.amazon.com/gp/customer-reviews/R2BM1N5J3GA3ME/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","5.0 out of 5 stars","Gift","Reviewed in the United States on May 20, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My sister’s dog loved them!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOAYzh0xvrkxwjwCcw9NSs1neLK10Gyi0Rra3BINxQbKAAAAAGXT8cAAAAAB%26reviewId%3DR2BM1N5J3GA3ME&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOAYzh0xvrkxwjwCcw9NSs1neLK10Gyi0Rra3BINxQbKAAAAAGXT8cAAAAAB&reviewId=R2BM1N5J3GA3ME","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AGSI52Y6GEY7X5TLS7QOWFYVYD5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sarah","https://www.amazon.com/gp/customer-reviews/RDJDSTLL9GANP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","4.0 out of 5 stars","Dogs enjoyed these","Reviewed in the United States on January 14, 2023","","(","I give my dogs a dental stick most every day, so we were happy to try out a bag of these dental rings.  The dogs really liked these and were able to devour them pretty quickly.  They did take slightly longer to chew than a normal dental stick, however.  The ingredients are not super alarming, though I don't think they are quite as good as our usual brand.  If you have a dog over 50 pounds, these are pretty easy to serve.  However, you are supposed to give dogs under 50 pounds less than a full ring a day, and these are rather hard to break.  You may be able to cut them, but I didn't think to try that because I have large dogs, so I am not sure how well that would work.  Each ring is 112 kcals, which is slightly more than the kind we usually use, so I like to give these only occasionally.  The bag does list all of the important information I look for; ingredients, guaranteed analysis, calorie content, feeding guidelines and expiration date. The dogs did not have any adverse reactions to these dental rings.  Though I don't feel this is the healthiest option out there, the dogs really loved them and the treats are not super unhealthy so I will probably keep these on as an occasional option to change up our daily routine.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhF8T7NdVrSVuPOsaR2ANWtJm9WMukqaM%252FFekngJOY3tlAAAAAGXT8cAAAAAB%26reviewId%3DRDJDSTLL9GANP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Dogs enjoyed these","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hF8T7NdVrSVuPOsaR2ANWtJm9WMukqaM%2FFekngJOY3tlAAAAAGXT8cAAAAAB&reviewId=RDJDSTLL9GANP","I give my dogs a dental stick most every day, so we were happy to try out a bag of these dental rings.  The dogs really liked these and were able to devour them pretty quickly.  They did take slightly longer to chew than a normal dental stick, however.  The ingredients are not super alarming, though I don't think they are quite as good as our usual brand.  If you have a dog over 50 pounds, these are pretty easy to serve.  However, you are supposed to give dogs under 50 pounds less than a full ring a day, and these are rather hard to break.  You may be able to cut them, but I didn't think to try that because I have large dogs, so I am not sure how well that would work.  Each ring is 112 kcals, which is slightly more than the kind we usually use, so I like to give these only occasionally.  The bag does list all of the important information I look for; ingredients, guaranteed analysis, calorie content, feeding guidelines and expiration date. The dogs did not have any adverse reactions to these dental rings.  Though I don't feel this is the healthiest option out there, the dogs really loved them and the treats are not super unhealthy so I will probably keep these on as an occasional option to change up our daily routine.","0","There was a problem loading comments right now. Please try again later.","One person found this helpful","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFBBASMDNGAFJKMG5PJ5OXUQS4VA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sean","https://www.amazon.com/gp/customer-reviews/R2ENW3PKDVI2AJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","5.0 out of 5 stars","Great ring treat for my dog!","Reviewed in the United States on August 20, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My pup has been eating the puppy teething rings and he loved them! As he's turning 1 years old, this turns out to be a great alternative for him to switch to for longer duration and different functional benefits! Ingredients look great and I feel good giving him the treat.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhDudxUK3n3Z4xU6%252BM7WGW6Xl0qBD5ITP3AJlVpcDGkhMAAAAAGXT8cAAAAAB%26reviewId%3DR2ENW3PKDVI2AJ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","3 people found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDudxUK3n3Z4xU6%2BM7WGW6Xl0qBD5ITP3AJlVpcDGkhMAAAAAGXT8cAAAAAB&reviewId=R2ENW3PKDVI2AJ","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFBI2TLOBCQLLOGMJPD2EFJ37HBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","ElaineC","https://www.amazon.com/gp/customer-reviews/R1HM8XB6SWDESM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","5.0 out of 5 stars","Health, delicious treat - highly recommend!","Reviewed in the United States on August 20, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My Jackson loves this treat! He devoured this treat as soon as he got it. I like that this treat is quite long-lasting, is natural, and seems to be of high quality. I will definitely buy another bag in a week.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhGJVilMYwl54iBvUXLz7M82Lp%252BXhI6a8aBCDEHLO1MR%252BAAAAAGXT8cAAAAAB%26reviewId%3DR1HM8XB6SWDESM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hGJVilMYwl54iBvUXLz7M82Lp%2BXhI6a8aBCDEHLO1MR%2BAAAAAGXT8cAAAAAB&reviewId=R1HM8XB6SWDESM","Report","0","There was a problem loading comments right now. Please try again later.","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHKVA36EKSTX7U4SPGKXUQEV24EA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Stacey","https://www.amazon.com/gp/customer-reviews/R3CBR8KWNSB539/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","1.0 out of 5 stars","Did not go well","Reviewed in the United States on December 7, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","The things that happened to my poor dog after she ate this are unfortunately forever engrained in my memory. It was awful. It was green. It was foaming and shot out of her like a super soaker pumped to the fullest level. I will never get these for her again and the remaining have been thrown away.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOGzZX39EbenVWYvW6USJ3eaQi3bcrvxukUlbWWg%252Fn8WAAAAAGXT8cAAAAAB%26reviewId%3DR3CBR8KWNSB539&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOGzZX39EbenVWYvW6USJ3eaQi3bcrvxukUlbWWg%2Fn8WAAAAAGXT8cAAAAAB&reviewId=R3CBR8KWNSB539","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFPWZ3J3HV6WEHQ5IQ2ZNGOREDNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lori","https://www.amazon.com/gp/customer-reviews/R3R9H25IK9F2E6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0B8L31J68","5.0 out of 5 stars","Yummy","Reviewed in the United States on November 6, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","12 year old black lab loves them!","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Dental-Chicken-Flavor-Treats%2Fproduct-reviews%2FB0B8L31J68%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNFWwJo6zA5w2tfKpqZkY8J5SSr785XpPAOHdPCF2lSQAAAAAGXT8cAAAAAB%26reviewId%3DR3R9H25IK9F2E6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNFWwJo6zA5w2tfKpqZkY8J5SSr785XpPAOHdPCF2lSQAAAAAGXT8cAAAAAB&reviewId=R3R9H25IK9F2E6","Showing  comments","0","There was a problem loading comments right now. Please try again later.","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
