"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","a-size-base 5","a-size-base href 2","a-size-base 6","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AGLCSI6YSC4B6AVUFVXUF7237DFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Handmade By Remember Me","https://www.amazon.com/gp/customer-reviews/R2W9XQKIK95B4E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","5.0 out of 5 stars","My dog (and my Mom's after recommending) just love!","Reviewed in the United States on November 2, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","This is my go to bone when I feel as though my dog needs a treat (or a need some peace and quiet lol).  My mom's poodle loved it as well.  It lasts for days (my dog 25 lbs) and she often hides it!  This is a great choice for your dog!","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhE0Tpdkc6k3kgcYxvPv5sSyemSoF1Pe0R0UQSEfp2IvMAAAAAGXT5OUAAAAB%26reviewId%3DR2W9XQKIK95B4E&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hE0Tpdkc6k3kgcYxvPv5sSyemSoF1Pe0R0UQSEfp2IvMAAAAAGXT5OUAAAAB&reviewId=R2W9XQKIK95B4E","Showing  comments",""
"https://www.amazon.com/gp/profile/amzn1.account.AEHAGPI5II2LYML7KADSMD454N7Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Leigh Walters","https://www.amazon.com/gp/customer-reviews/R1WQYO38ZUYLYM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","5.0 out of 5 stars","It does last longer than others.","Reviewed in the United States on October 2, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Love that it doesn’t get slimy. My pup loves it.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJ%252BT%252FEg800wsdMXpCMr2%252B5iSUJrJ1YBqfyta9kS4V9gkAAAAAGXT5OUAAAAB%26reviewId%3DR1WQYO38ZUYLYM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJ%2BT%2FEg800wsdMXpCMr2%2B5iSUJrJ1YBqfyta9kS4V9gkAAAAAGXT5OUAAAAB&reviewId=R1WQYO38ZUYLYM","",""
"https://www.amazon.com/gp/profile/amzn1.account.AGNO3CAMKLJQMCGCFOHPNH6DZG4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jailyn","https://www.amazon.com/gp/customer-reviews/R2GC9IHG3H6B4T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","5.0 out of 5 stars","My puppy loves them","Reviewed in the United States on November 18, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Unfortunately my pup already ate out the entire bone so I can’t put in any pictures but he absolutely loves these. I got one for him at a pet shop and have been bought another for him here on Amazon. It arrived on Monday and it is now Friday and he still has a small piece of it left. He loves to carry it around wherever he goes. It has lasted so long compared to other ones we have given him. WOULD DEFINITELY RECOMMEND","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFfE1YW4XKR66eeJ15iSfeG6X4TEJGM7o%252FifXYJpvyCCAAAAAGXT5OUAAAAB%26reviewId%3DR2GC9IHG3H6B4T&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFfE1YW4XKR66eeJ15iSfeG6X4TEJGM7o%2FifXYJpvyCCAAAAAGXT5OUAAAAB&reviewId=R2GC9IHG3H6B4T","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AG25VRTHY2TJERTXXBMYYWTSAYUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sevier90","https://www.amazon.com/gp/customer-reviews/R22MC338HB02QY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","4.0 out of 5 stars","Dog loves it but is going through it quick and he's just a little guy!","Reviewed in the United States on December 29, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog loves it!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhENEucaRQmE65c7cK6ij3AU2h%252BzKrKJTPaNZtlNcnJ9yAAAAAGXT5OUAAAAB%26reviewId%3DR22MC338HB02QY&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hENEucaRQmE65c7cK6ij3AU2h%2BzKrKJTPaNZtlNcnJ9yAAAAAGXT5OUAAAAB&reviewId=R22MC338HB02QY","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AF2YGPOL2CGKF62NQBRLZVFBXMEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","DLR.","https://www.amazon.com/gp/customer-reviews/R19TOSTNVEN1EH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","5.0 out of 5 stars","Says large dog but.","Reviewed in the United States on December 5, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My puppy is 8 pounds became an alligator while teething. She has a ton of toys and exercise but I was taking brunt of teething. I got her this evening though says large dog and she loves it. Uses it to satiate he need to bite thru teething discomfort. We at my home are all very happy buying another one Bc I estimate have about two more months to go!","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFj5Wqui7yujybG4%252BOil5twHK4iKd1k%252FHX6AwYqBtNnnAAAAAGXT5OUAAAAB%26reviewId%3DR19TOSTNVEN1EH&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFj5Wqui7yujybG4%2BOil5twHK4iKd1k%2FHX6AwYqBtNnnAAAAAGXT5OUAAAAB&reviewId=R19TOSTNVEN1EH","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AH5NBCYCEP2WVIL4W62FWVXJWMXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/dbfa0df6-1b97-4537-8895-a745ce18e503._CR0,26.0,281,281_SX48_.jpg""/>","Mindy","https://www.amazon.com/gp/customer-reviews/RBJAG0BA93P7H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","5.0 out of 5 stars","My dog devoured it","Reviewed in the United States on January 25, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog loves this bone and had devoured it in about a day and a half. He's a 14 lb Havanese who is an aggressive chewer and he had no problems chewing on it. I'd definitely recommend and I'll definitely be buying more.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhH5gvWFhQOHyPjOlFn8WAv%252BfDKQhwrxgiCJHzbLGbT5vAAAAAGXT5OUAAAAB%26reviewId%3DRBJAG0BA93P7H&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hH5gvWFhQOHyPjOlFn8WAv%2BfDKQhwrxgiCJHzbLGbT5vAAAAAGXT5OUAAAAB&reviewId=RBJAG0BA93P7H","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEOFH24COJYFFXGIGWELDPVLEQEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lori Friedman","https://www.amazon.com/gp/customer-reviews/R3HWERVQF0WZJ3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","1.0 out of 5 stars","Not a good choice for your dog!","Reviewed in the United States on October 23, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My 5yr old golden.doodle swallowed a piece of this bone and I notice she was having issues pooping! After spending over $700.00 on her vet bill, she was diagnosed w gastritis!Beware! Very unhappy with this product!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLVTNfjdJ98z5Rj%252FoAw7EcFYeFQBVNoVQZchg9NGt6YWAAAAAGXT5OUAAAAB%26reviewId%3DR3HWERVQF0WZJ3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLVTNfjdJ98z5Rj%2FoAw7EcFYeFQBVNoVQZchg9NGt6YWAAAAAGXT5OUAAAAB&reviewId=R3HWERVQF0WZJ3","","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHUVTN6FL3BKQ6E7YTJIEVP5ILKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Colleen Stephens","https://www.amazon.com/gp/customer-reviews/R146JZ6THEJ5ST/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","5.0 out of 5 stars","Yummy bone","Reviewed in the United States on October 20, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My dog really enjoyed this bone. I will be getting more and putting them under the Christmas tree! I’m sure she will be excited:)","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhN7gSW%252BqB21ntNHw7XTWbbsHPsjJ30dlHEDWdeqfYZ9pAAAAAGXT5OUAAAAB%26reviewId%3DR146JZ6THEJ5ST&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hN7gSW%2BqB21ntNHw7XTWbbsHPsjJ30dlHEDWdeqfYZ9pAAAAAGXT5OUAAAAB&reviewId=R146JZ6THEJ5ST","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFVHBQTFEJIDPTKND3WJMVJMJG4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lauren","https://www.amazon.com/gp/customer-reviews/RM383VDVCP5HF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","1.0 out of 5 stars","Waste of money, bone didn't last 5min.","Reviewed in the United States on April 3, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Poor quality, waste of money. Would not recommend, unless u just want to give it to your dog like it's a biscuit. Probably going to make my pitmix sick. She ate the whole thing in 2 minutes. I just spent $60 on dog bone purchases and this is my least favorite. Will not purchase this product again.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNtq00c9PCPezyBAvoTM9UKQQS8EShGzGMyienh6rgwJAAAAAGXT5OUAAAAB%26reviewId%3DRM383VDVCP5HF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNtq00c9PCPezyBAvoTM9UKQQS8EShGzGMyienh6rgwJAAAAAGXT5OUAAAAB&reviewId=RM383VDVCP5HF","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AE3JSAP34ADGZQA36EGCMK6QCXFA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Meghan Grieves","https://www.amazon.com/gp/customer-reviews/R11ZK5PH7QXNN9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","1.0 out of 5 stars","Bone caused intestinal blockage","Reviewed in the United States on June 27, 2023","","","I had to take my dog in for emergency surgery because this bone created an intestinal blockage. I would avoid. My dog has not had trouble with another chew in the past.","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFHgUhmwGe4rhQn%252Fl23VCUJUhzxPqPzhsC5T4XNya2geAAAAAGXT5OUAAAAB%26reviewId%3DR11ZK5PH7QXNN9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFHgUhmwGe4rhQn%2Fl23VCUJUhzxPqPzhsC5T4XNya2geAAAAAGXT5OUAAAAB&reviewId=R11ZK5PH7QXNN9","Showing  comments","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHJHX6RLSCLWRKDXGB5RAVUXWYTA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","hasmo11","https://www.amazon.com/gp/customer-reviews/R2OYCFEXV57A0M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","5.0 out of 5 stars","Bones","Reviewed in the United States on December 6, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","He just loves the bones.","Bones","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhDmLv8H2PDjdBFolnR3S1E6f%252FqYoXWPTmajQqUhZN5q5AAAAAGXT5O4AAAAB%26reviewId%3DR2OYCFEXV57A0M&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","He just loves the bones.","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hDmLv8H2PDjdBFolnR3S1E6f%2FqYoXWPTmajQqUhZN5q5AAAAAGXT5O4AAAAB&reviewId=R2OYCFEXV57A0M","One person found this helpful",""
"https://www.amazon.com/gp/profile/amzn1.account.AFBI2TLOBCQLLOGMJPD2EFJ37HBA/ref=cm_cr_getr_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","ElaineC","https://www.amazon.com/gp/customer-reviews/R3K5HEZKJIR2KD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0BFJR81WF","5.0 out of 5 stars","Cool Holiday packaging, same great flavor!!","Reviewed in the United States on October 31, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","my lab/dalmatian mix loves this as usual. It's cool that they give this product a seasonal look. Love it!","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FN-Bone-Original-Chicken-Holiday-800818%2Fproduct-reviews%2FB0BFJR81WF%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26pageSize%3D10%26csrfT%3DhANG9aTB9Rdmum9DB69e0A0VGWNY18I2dCLWeMoyqXpwAAAAAGXT5O4AAAAB%26reviewId%3DR3K5HEZKJIR2KD&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hANG9aTB9Rdmum9DB69e0A0VGWNY18I2dCLWeMoyqXpwAAAAAGXT5O4AAAAB&reviewId=R3K5HEZKJIR2KD","Showing  comments",""
