"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","a-size-base 5","a-size-base href 2","a-size-base 6","a-color-success","a-size-mini 2","a-size-mini href","a-size-mini 3","a-lazy-loaded src"
"https://www.amazon.com/gp/profile/amzn1.account.AEUKJNVDWXIH2WUY3BIBO3ATU7BA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Sarah","https://www.amazon.com/gp/customer-reviews/R1GPM6PJQ9P7L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","5.0 out of 5 stars","So worth it","Reviewed in the United States on January 12, 2024","Verified Purchase","My dog is a nervous wreck. She gets herself so worked up that she's just beside herself. These have been great for her as a distraction when she's getting to that point. It's not just the ingredients that make this calming. Gnawing on one of these lets her get some of her nervous energy out in a safe way, and I think it's been very effective. She struggles with separation anxiety and falls apart when I leave, but if I give her one of these first and then sneak out the door she does a lot better. I'd definitely recommend these for any anxious dogs out there!","One person found this helpful","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhJzxPByYsnnJx%252BjGaEYxwr8skOaRteY0Sdbem2qKGid%252BAAAAAGXT1RYAAAAB%26reviewId%3DR1GPM6PJQ9P7L&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJzxPByYsnnJx%2BjGaEYxwr8skOaRteY0Sdbem2qKGid%2BAAAAAGXT1RYAAAAB&reviewId=R1GPM6PJQ9P7L","Showing  comments","","","","",""
"https://www.amazon.com/gp/profile/amzn1.account.AFW5ZWIO3NTRU6LVFFW4EN6JATTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Tara Lang","https://www.amazon.com/gp/customer-reviews/RDIZVXFASVF6R/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","4.0 out of 5 stars","Good treats","Reviewed in the United States on December 1, 2023","(","My dogs loved these just as much as the popular brand of dog dental treats. They are much more firm by my feel, but they chewed them up fine. I have an Australian shepherd and a beagle. I was worried about the beagle swallowing it whole, but she chewed it well.I did not notice a difference in their energy levels- my Aussie is very energetic and my 13 year old Beagle has high anxiety. Maybe with more use I would notice a change.I'm not a fan of the smell, but it's not terrible. Just weird. Like perfumed beef jerky.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhNxNCH4Qw983VrLrXM5%252FPzLU2nAfWRh7cRTyTa%252FgzeJYAAAAAGXT1RYAAAAB%26reviewId%3DRDIZVXFASVF6R&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNxNCH4Qw983VrLrXM5%2FPzLU2nAfWRh7cRTyTa%2FgzeJYAAAAAGXT1RYAAAAB&reviewId=RDIZVXFASVF6R","","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")",""
"https://www.amazon.com/gp/profile/amzn1.account.AHUCVL66BQFTXFC7PZIRVXSO4UBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/01746e3b-ad4c-4f6d-8217-c5f2194efc0d._CR0,0,442,442_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/01746e3b-ad4c-4f6d-8217-c5f2194efc0d._CR0,0,442,442_SX48_.jpg""/>","Wesley","https://www.amazon.com/gp/customer-reviews/R1VRRTD3Y9VHFF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","5.0 out of 5 stars","Healthy and my dogs love them","Reviewed in the United States on December 29, 2023","(","These are great chews. The ingredients are natural and healthy, and my dogs really love them.Potatoes are the first ingredient, and there are a number of calming ingredients like chamomile, hops, passion flower, lemon balm, and lavender.They really do seem to calm my dogs down after around 20 minutes of chewing.  But I wish they told you the amount of active ingredients; you have no way of knowing the dosage of herbs in a product like this without that information.Still, the quality is very good and my dogs like them so I'm satisfied.Overall - good quality calming chews for dogs, but probably not the most effective calming treats out there.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLWe0%252B2mkUDgym70I1p6MANUOexOs5I4UrXHWPjXCV3OAAAAAGXT1RYAAAAB%26reviewId%3DR1VRRTD3Y9VHFF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLWe0%2B2mkUDgym70I1p6MANUOexOs5I4UrXHWPjXCV3OAAAAAGXT1RYAAAAB&reviewId=R1VRRTD3Y9VHFF","","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")",""
"https://www.amazon.com/gp/profile/amzn1.account.AE2ED6WSUDMW3NGBDG4NWQCYNOMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kimberly Trujillo","https://www.amazon.com/gp/customer-reviews/R1OQOLC0WO6XGX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","5.0 out of 5 stars","Travel aid","Reviewed in the United States on November 30, 2023","(","We take our animals on vacation with us and we do all we can to make sure that they are safe and comfortable when we rent a house we will turn a room into an animal calm safe space to put them when we need to go out we know they are in a new environment and weirded out to be left alone so we want to make them as comfortable as possible. We bring their blankets white noise machines, all of their toys and their special treats that they only get on special occasions or traveling when we laughed and gave one of these to the dogs we let her start eating it before we left the house completely and she still had her eyes on us she looked like she was just really into the flavor. We laughed and went outside to peek through the window, just to see how it was since we finally left, she just seemed to calmly enjoy her treat , when we got home, she and the cat were both napping together it didn’t look like the cat had jumped around and disturbed too much or that the dog had really done anything either. It was very nice to come in to that pleasant relaxing site of them instead of seeing signs of distress and them scratching and whining at the door as soon as they heard us coming in","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhESbFD9Ut58lv0g3Qz46meyC9AsN3YuH8W%252BUSQKUOeC9AAAAAGXT1RYAAAAB%26reviewId%3DR1OQOLC0WO6XGX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hESbFD9Ut58lv0g3Qz46meyC9AsN3YuH8W%2BUSQKUOeC9AAAAAGXT1RYAAAAB&reviewId=R1OQOLC0WO6XGX","","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")",""
"https://www.amazon.com/gp/profile/amzn1.account.AEOPNCCISUHAJ7AEXJ3KG3SDEE5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Amazon Customer","https://www.amazon.com/gp/customer-reviews/R3AOM6X0RI8HIV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","3.0 out of 5 stars","Not very calming","Reviewed in the United States on December 26, 2023","(","I didn't notice a difference in behavior. As a dental chew, it only lasted maybe 30 seconds, but I have a very aggressive chewer. Overall, these didn't work as expected, but my dog still enjoyed them.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhAihhoOmYGPqYtNpzJRG6Bo%252FWEq0kPg5xyCLs8v4mnx2AAAAAGXT1RYAAAAB%26reviewId%3DR3AOM6X0RI8HIV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hAihhoOmYGPqYtNpzJRG6Bo%2FWEq0kPg5xyCLs8v4mnx2AAAAAGXT1RYAAAAB&reviewId=R3AOM6X0RI8HIV","","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEI5BGH7VV6Y25633DXLQB73WRJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","D.p.B.","https://www.amazon.com/gp/customer-reviews/R2WKU931ECLK4I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","5.0 out of 5 stars","Chewies that my dogs enjoy","Reviewed in the United States on November 9, 2023","(","My dogs really like these dark colored chew sticks and will keep them busy for about 5 minutes.  These are supposedly chicken flavor and upon opening the bag, you get the scent of chicken bouillon and original Pringles potato chips.  I would surmise that they are definitely flavored like chicken and that my dogs seem to really like them.  The dark color of the sick does not seem to stain light carpet, but if you have a dog that likes to lick and moisten the treat before eating it then that may be a different story, however neither their teeth nor tongue were stained after eating these treats.  I can't say how well they clean teeth or freshen breath, but since the sticks are pleasantly scented, they don't seem to contribute to foul smelling breath.  These sticks are about the right size for small and medium sized dogs, however any size dog would probably like these treats.  If you are looking for a chew treat for your dog that actually has chicken scent, these are it.","Chewies that my dogs enjoy","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhPY1jRYvJeSEl3jprwtdj6vmrHNFtVE%252FIdEI89E8RW%252BIAAAAAGXT1RYAAAAB%26reviewId%3DR2WKU931ECLK4I&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","My dogs really like these dark colored chew sticks and will keep them busy for about 5 minutes.  These are supposedly chicken flavor and upon opening the bag, you get the scent of chicken bouillon and original Pringles potato chips.  I would surmise that they are definitely flavored like chicken and that my dogs seem to really like them.  The dark color of the sick does not seem to stain light carpet, but if you have a dog that likes to lick and moisten the treat before eating it then that may be a different story, however neither their teeth nor tongue were stained after eating these treats.  I can't say how well they clean teeth or freshen breath, but since the sticks are pleasantly scented, they don't seem to contribute to foul smelling breath.  These sticks are about the right size for small and medium sized dogs, however any size dog would probably like these treats.  If you are looking for a chew treat for your dog that actually has chicken scent, these are it.","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPY1jRYvJeSEl3jprwtdj6vmrHNFtVE%2FIdEI89E8RW%2BIAAAAAGXT1RYAAAAB&reviewId=R2WKU931ECLK4I","Report","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AEGF5VOMSSQRU6ZZL52GXAZYBVUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/863a6102-880d-4060-9fb8-ad9270b0b37f._CR62,0,375,375_SX48_.jpg""/>","Jamie Arehart","https://www.amazon.com/gp/customer-reviews/R1XZ1DNM1HP09O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","4.0 out of 5 stars","Good!","Reviewed in the United States on November 19, 2023","(","I would not recommend for senior dogs due to teeth and chewing. These dental sticks are pretty hard to bite into and not that easy to break up.Once I got one cut up for him and he ate it, he seemed to be calmer throughout the day and he did not seem to mind the taste.I do not recommend these for dogs with any kind of dental issues. These are a hard chew.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLeXsdE2E8uHQv79AOOrRr4njzfdOtcKgTmXNdAJLvOIAAAAAGXT1RYAAAAB%26reviewId%3DR1XZ1DNM1HP09O&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLeXsdE2E8uHQv79AOOrRr4njzfdOtcKgTmXNdAJLvOIAAAAAGXT1RYAAAAB&reviewId=R1XZ1DNM1HP09O","","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AFH7ZPAE3N7BJF3H2QIRUMX3EVGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Josue Martinez","https://www.amazon.com/gp/customer-reviews/R2YBG9R2UDJIJA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","5.0 out of 5 stars","My dogs love these","Reviewed in the United States on December 3, 2023","(","My dogs love these treats, they seem to really like the taste and it lasts a long time. It does seem to help calm them down too. The treats have great ingredients and are a very good value for the money.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhK4oDwBYRufXGfeHwv3zTyNX50uiNmEz7c6muxB9YJvgAAAAAGXT1RYAAAAB%26reviewId%3DR2YBG9R2UDJIJA&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hK4oDwBYRufXGfeHwv3zTyNX50uiNmEz7c6muxB9YJvgAAAAAGXT1RYAAAAB&reviewId=R2YBG9R2UDJIJA","","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AH4Q3J2FLSOL32PGA3NY5IB3XYZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jennifer Lombardo","https://www.amazon.com/gp/customer-reviews/R1GONL5JP8D28U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","4.0 out of 5 stars","Half a Stick for Three Pound Puppy","Reviewed in the United States on November 6, 2023","(","Our new toy poodle thought he had stolen a treat when we dropped it on the floor for him.  He quickly took it back to his bed and chewed all day.  We only gave him half a stick since he is three pounds.  I am thankful for a product like this as it is a nightmare to try and brush his teeth.  I took off one star since he wasn't totally in love with the flavor like some bones I had given him.","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEGp8AWLEa48accLzLWKO4fgBdX8BxPB5GvAVNGlIx2MAAAAAGXT1RYAAAAB%26reviewId%3DR1GONL5JP8D28U&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEGp8AWLEa48accLzLWKO4fgBdX8BxPB5GvAVNGlIx2MAAAAAGXT1RYAAAAB&reviewId=R1GONL5JP8D28U","","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
"https://www.amazon.com/gp/profile/amzn1.account.AHML7EG7MOR4YPAJMJ7U4PCLT22A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Jamie","https://www.amazon.com/gp/customer-reviews/R3NU068QGDU9OX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0CDRFBRNY","4.0 out of 5 stars","My dog loves them!","Reviewed in the United States on November 15, 2023","(","I have a heeler mix who has some anxiety issues. She loves these treats! They don't miraculously heal her of anxiety, but she does love to have them and will rest after chewing it up! I'm happy that she is happy!","Report","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Grain-Free-Chicken-Calming%2Fproduct-reviews%2FB0CDRFBRNY%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhFUKjMnR6LYQhMdLTMUqNWjfeEP8wzIO7mV%252BxhGS39MnAAAAAGXT1RYAAAAB%26reviewId%3DR3NU068QGDU9OX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Showing  comments","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFUKjMnR6LYQhMdLTMUqNWjfeEP8wzIO7mV%2BxhGS39MnAAAAAGXT1RYAAAAB&reviewId=R3NU068QGDU9OX","","Vine Customer Review of Free Product","What's this?","https://www.amazon.com/gp/vine/help?ie=UTF8",")","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif"
