,Unnamed: 0,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label1,label2
8,8,B00JN9EP6E,Tashanna Hammond,4.0,Wish it came with more,2023-01-09,Less content and I thought. Will pay the extra and get minties next time,negative,Negative,Value for Money
41,41,B00JN9EP6E,Michelle,3.0,Case by case basis...,2018-04-23,"I bought these because my brothers dog loves them! However, my small/medium dog would not eat them, he just tried to hide them. And the worst part is my large retriever mix got sick from them... he ate one and was in the backyard for hours after. Sad they didn’t like them but I’ll be giving them to my brothers dog now. Make sure you watch your dog when trying these treats",negative,Negative,Health Issues
62,62,B00JN9EP6E,Kpc,4.0,my dogs love these but they don't stay fresh once package is ...,2016-02-17,my dogs love these but they don't stay fresh once package is opened even with the zip lock closure.  I was able to purchase in the plastic jar which kept them fresh forever but unfortunately those are no longer available.,positive,Negative,Packaging
72,72,B00JN9EP6E,Stacey,4.0,"My dogs like these, but they are gone in less than ...",2017-07-26,"My dogs like these, but they are gone in less than a minute.  The don't last as long as Greenies.",negative,Negative,Value for Money
75,75,B00JN9EP6E,Diadem,3.0,They're ok,2017-06-03,"Only 2/6 dogs will eat these. The chihuahuas don't like em! So that's telling me that most small dogs probably won't care for them. This is the worst percentage I've experienced with a product. If 4/6 dogs would like them, I'd give 5*. So I'm reasonable.",positive,Negative,Palatability
88,88,B00JN9EP6E,RubySlippers,2.0,Hexaphosphate?,2017-07-21,"Though my dogs seemed to like these the fact they contain hexaphosphate, a substance the medical community cannot agree on regarding exact purpose and safety to consume, I will not purchase again. My thought is with all the time and energy producers extend to create a product they  would have the sense to exclude a controversial ingredient.  Dog treats cost and pet parents have a right to recognize every ingredient and not have to consider the safety of a product they purchase out of love.",positive,Negative,Health Issues
134,134,B0924YY8HC,THEODORE HOULIS,1.0,This bag was a bad batch of treats. They were stale,2022-08-13,"This particular bag of treat was spoiled and does rate a one star.  Fortunately, my dog would not take the treat. I have bought this same product several times before.  And my dog loved it.  I will return the bad bag of N-BONE puppy training treats. I do not want a refund.",positive,Negative,Purchase and Return Policy
153,153,B0924YY8HC,THEODORE HOULIS,1.0,This bag was a bad batch of treats. They were stale,2022-08-13,"This particular bag of treat was spoiled and does rate a one star.  Fortunately, my dog would not take the treat. I have bought this same product several times before.  And my dog loved it.  I will return the bad bag of N-BONE puppy training treats. I do not want a refund.",positive,Negative,Purchase and Return Policy
167,167,B00X1A2ESC,M,1.0,Received a broken opened item...,2021-10-08,"The Puppy Teething Ring was broken on arrival even though there was sufficient packing material. In addition, the package was opened and taped shut. This is not acceptable.",negative,Negative,Packaging
178,178,B00X1A2ESC,Marianne,5.0,Long lasting for my puppy,2020-04-17,My puppy(aussie shepherd) has been chewing on it for 2 weeks now. And its not about to be over...maybe its too hard for a 8 weeks old puppy or its just not tasty enough..??,negative,Negative,Health Issues
201,201,B00X1A2ESC,Don Moore,5.0,dog loves it,2019-03-14,just don't last long,negative,Negative,Product Quality Issue
204,204,B00X1A2ESC,Sheila K,1.0,Did not like this for my puppy,2018-11-18,My 8 week old puppy chewed through this in minutes. I had to take it from her because I was scared she would get a curved piece in her throat,positive,Negative,Safety Concerns
211,211,B00X1A2ESC,Amazon Customer,1.0,One Star,2018-03-06,Lasted like 10 minutes :(,negative,Negative,Value for Money
219,219,B09FQ9VZNP,Aesop,2.0,Be aware.....These have Changed,2022-10-18,I had subscribed to this product. My cats loved them. This last order came and the treats look different. They have a powdery cast to them and my cats won't touch them.  I tried to return them within the proper time and have received the message that they are not returnable.,positive,Negative,Product Quality Issue
221,221,B09FQ9VZNP,G0disloveJCdied4u,4.0,"Crumbly, but enjoyable - to my cats, at least.",2023-06-04,"2/3 of my cats liked these treats, but they arrived all crumbly -- about a quarter of the bag was in crumbs. :/",positive,Negative,Product Quality Issue
222,222,B09FQ9VZNP,Cheri Ann Tipler,4.0,I don’t know,2023-03-18,Seriously do they expect us to taste this stuff for the questions? My cats seem to be OK with it. I’m not sure about it. I may have to get a new product.,positive,Negative,Palatability
224,224,B09FQ9VZNP,Linda A.,5.0,Caution received on March 15th 2023 Best Buy date was May 8th 2023,2023-03-22,My cat really love the flavor but when I received it it best by date was less than 2 months,positive,Negative,Packaging
