id,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label_issue
6,B00JN9EP6E,Brandon Simmons,3,Meh,4/12/23,My dogs will eat these but aren’t excited when I give them these. They love Minties way better!,Negative,Palatability
8,B00JN9EP6E,Tashanna Hammond,4,Wish it came with more,1/9/23,Less content and I thought. Will pay the extra and get minties next time,Negative,Value for Money
36,B00JN9EP6E,Book Lover 222,3,Not for Little Dogs,8/19/20,"They were recommended by my vet. They smelled nice and minty. They seemed really nice, but my little dog choked on a piece that broke off and lodged in her throat and I had to go in and get it. Now I’m afraid to give them to her. Maybe bigger dogs wouldn’t have a problem.",Negative,Safety Concerns
41,B00JN9EP6E,Michelle,3,Case by case basis...,4/23/18,"I bought these because my brothers dog loves them! However, my small/medium dog would not eat them, he just tried to hide them. And the worst part is my large retriever mix got sick from them... he ate one and was in the backyard for hours after. Sad they didn’t like them but I’ll be giving them to my brothers dog now. Make sure you watch your dog when trying these treats",Negative,Health Issues
56,B00JN9EP6E,Michelle,3,Great but Expensive,5/18/18,"My dog loves these and I always add on a bag or two when I make a purchase, however, I’ve always paid $4 for a bag and now the price has more than doubled to over $8 for a bag. Why the sudden price increase? For $8 I can only offer 3 stars.",Negative,Value for Money
62,B00JN9EP6E,Kpc,4,my dogs love these but they don't stay fresh once package is ...,2/17/16,my dogs love these but they don't stay fresh once package is opened even with the zip lock closure.  I was able to purchase in the plastic jar which kept them fresh forever but unfortunately those are no longer available.,Negative,Packaging
72,B00JN9EP6E,Stacey,4,"My dogs like these, but they are gone in less than ...",7/26/17,"My dogs like these, but they are gone in less than a minute.  The don't last as long as Greenies.",Negative,Palatability
75,B00JN9EP6E,Diadem,3,They're ok,6/3/17,"Only 2/6 dogs will eat these. The chihuahuas don't like em! So that's telling me that most small dogs probably won't care for them. This is the worst percentage I've experienced with a product. If 4/6 dogs would like them, I'd give 5*. So I'm reasonable.",Negative,Palatability
76,B00JN9EP6E,Gayle P. Weatherford,1,Dog HATES these Chew sticks!!,1/2/21,"I gave these to my chihuahua for Xmas, she is a active, aggressive chewer. This means she enjoys chewing A LOT!!! She will get 3 chew sticks at least out of me a night...LoL I can barely keep up! She HATES these though, she licked it a little, but never decided to chew it up. They are hard as a rock, I don't see an ""expiration date"" on the package.??? The smell good and minty but, she has no interest. Do NOT waste your money on these! I see there is a chemical in them too, this angers me!! I think I should get a refund!! I WANT A REFUND!!!! This store is a rip off!!!!",Negative,Product Quality Issue
88,B00JN9EP6E,RubySlippers,2,Hexaphosphate?,7/21/17,"Though my dogs seemed to like these the fact they contain hexaphosphate, a substance the medical community cannot agree on regarding exact purpose and safety to consume, I will not purchase again. My thought is with all the time and energy producers extend to create a product they  would have the sense to exclude a controversial ingredient.  Dog treats cost and pet parents have a right to recognize every ingredient and not have to consider the safety of a product they purchase out of love.",Negative,Health Issues
99,B00JN9EP6E,Kristine,2,"Dog seemed to love it, but I figured the large was just ...",4/21/17,"Dog seemed to love it, but I figured the large was just to big to have all at once, and I cut it in half which was still a good size. She chewed it for maybe 2 minutes and it was gone I was watching the whole time and it wasn't by any means softened or bit off in small pieces, the whole half was swallowed whole.  I'm even afraid of giving her the whole one now, that too might be swallowed.",Negative,Health Issues
