,id,product_id,user_name,rate_stars,review_title,review_date,comment_content,sentiment,label_issue,label_quality_2
8,76,B00JN9EP6E,Gayle P. Weatherford,1,Dog HATES these Chew sticks!!,1/2/21,"I gave these to my chihuahua for Xmas, she is a active, aggressive chewer. This means she enjoys chewing A LOT!!! She will get 3 chew sticks at least out of me a night...LoL I can barely keep up! She HATES these though, she licked it a little, but never decided to chew it up. They are hard as a rock, I don't see an ""expiration date"" on the package.??? The smell good and minty but, she has no interest. Do NOT waste your money on these! I see there is a chemical in them too, this angers me!! I think I should get a refund!! I WANT A REFUND!!!! This store is a rip off!!!!",Negative,Product Quality Issue,Too Hard
11,131,B0924YY8HC,AnewBuy,3,Very disappointed in freshness!,9/10/22,"My original package came from the breeder when we picked up our new puppy and was very most, easy to break into smaller pieces. So, I purchased three packages from here. I have now opened my second package only to find that, unlike my first package, these packages are very dry and crumbly. The expiration date shows 10/29/23, so I would not expect such a contrast in quality. Unfortunately, I do not know what the date was on the original package, So I guess in the future I will purchase from the local pet store so that I can check the date before purchase.",Negative,Product Quality Issue,Other
13,150,B0924YY8HC,AnewBuy,3,Very disappointed in freshness!,9/10/22,"My original package came from the breeder when we picked up our new puppy and was very most, easy to break into smaller pieces. So, I purchased three packages from here. I have now opened my second package only to find that, unlike my first package, these packages are very dry and crumbly. The expiration date shows 10/29/23, so I would not expect such a contrast in quality. Unfortunately, I do not know what the date was on the original package, So I guess in the future I will purchase from the local pet store so that I can check the date before purchase.",Negative,Product Quality Issue,Crisp
20,201,B00X1A2ESC,Don Moore,5,dog loves it,3/14/19,just don't last long,Negative,Product Quality Issue,Durability Issues
24,216,B09FQ9VZNP,se,1,Dry and crumbly,7/20/23,Just received my order and the treats inside are dry and crumbly. Bottom of the bag just has treats that have become powdered. Not sure if this is how the product is supposed to be or not or if this is just old treats. The best by date is September 23 but it doesn’t say when it was manufactured. I feel like I’m being sent old almost expired products so they can clear inventory. I would think companies would want to send out the best product so that customers will keep coming to buy. This kind of product being sent creates a 1 time purchase and never again. I’m additionally both cats just looked at it and walked away. Mind you these cats when they see a treat they never say no. So disappointed. I wish I was sent new fresh product. Disappointed,Negative,Product Quality Issue,Durability Issues
25,219,B09FQ9VZNP,Aesop,2,Be aware.....These have Changed,10/18/22,I had subscribed to this product. My cats loved them. This last order came and the treats look different. They have a powdery cast to them and my cats won't touch them.  I tried to return them within the proper time and have received the message that they are not returnable.,Negative,Product Quality Issue,Bad smells
26,221,B09FQ9VZNP,G0disloveJCdied4u,4,"Crumbly, but enjoyable - to my cats, at least.",6/4/23,"2/3 of my cats liked these treats, but they arrived all crumbly -- about a quarter of the bag was in crumbs. :/",Negative,Product Quality Issue,Crisp
35,238,B09FQ9VZNP,Denny,1,Crushed,5/21/23,When I opened the bag 1/2 the treats were crushed.,Negative,Product Quality Issue,Other
48,276,B08PQ7VYSV,Aujalee Moore,2,Very small,1/12/24,Smaller than advertised when they arrived,Negative,Product Quality Issue,Smaller Size
51,281,B08PQ7VYSV,Amazon Customer,3,Good Teething Ring for Smaller Dogs,9/8/21,Way too easy and quick to chew for a german shepherd mix puppy at 3 months of age.  It only took him 10 minutes to finish.,Negative,Product Quality Issue,Durability Issues
53,285,B08PQ7VYSV,Trusting Consumer,1,Says for puppies but too big for my puppy,12/5/21,Wanted my puppy to have biting options but size was too difficult for her. She is a 5 poundMorkie,Negative,Product Quality Issue,Smaller Size
59,304,B007RW7CJQ,Jason Howell,3,Small,10/25/23,It’s way smaller than it looked. I hope it holds up to my 30 lb dog.,Negative,Product Quality Issue,Smaller Size
62,318,B007RW7CJQ,Alicia McGilloway,3,These are really small,5/22/23,Didn't realize how small these would be. I figured it would take my dog awhile to eat but she ate it really quickly. Next time I'll get the bigger ones.,Negative,Product Quality Issue,Smaller Size
63,320,B007RW7CJQ,Edward Lee Robinson Jr,3,Tiny,6/4/23,The bone was very small.,Negative,Product Quality Issue,Smaller Size
