product_id,user_name,rate_stars,review_title,review_date,comment_content
B00JN9EP6E,Alanamous,5.0 out of 5 stars,Perfect cover-up for the poop eating pup!,"Reviewed in the United States on June 1, 2019","My pup is one of those dogs who has the nasty habit of eating poop. If I don't monitor her then she will eat her own and  her sister's feces as well. Plus, both of my pups love to eat the cat and possum poop that gets burried under the mulch along the sidewalks late at night while the rest of the neighborhood sleeps soundly and unsuspectingly. My pups will yank me off course the second they smell the pungent poop de possum, burrying their noses in the dirt and slurping it up before I am able to react. DISGUSTING!!!!Lucky for me, awhile ago a friend accidentally had one of her orders from Chewy shipped to me. We got everything straightened out and sent her a new box, but I got to keep the box sent to me and I shared some of the goodies with a local rescue too. Anyways, among the goodies she had ordered were these Twistix Yogurt Chew Treats. She had ordered both the banana and mint flavors. I gave one to each of my sweet puppies, at a time when they were behaving, and I noticed how wonderful it made their breath smell. Surprisingly enough, my doggy doo doo eater normally has pretty good breath, however my other pup has pretty disgusting breath from licking her anal glands. Poop pup.Well, the next time Poopy Puppy managed to snag herself a disgusting snack I decided she needed to floss her teeth with a Twistix Yogurt and Banana Dental Chew treat. Boy am I glad I gave her one! It did the trick of cleaning out the nasty particles that I could see clinging to her back teeth when she had flashed me a big, toothy grin and I easily caught a waft of her sewage breath. But after the Twistix I wasn't as paranoid about her stealing one of my pillows off of the couch or doing something equally appalling.I know I chose to live with this disgusting monster, and I definitely love her. But I'm truly thankful to have discovered something that helps make the difficult parts much more bearable. Because it's no fun to think the best thing in your life is unbearable in the slightest."
B00JN9EP6E,Lynn Y.,5.0 out of 5 stars,Dog Loves These,"Reviewed in the United States on February 2, 2024",My dog thinks this is a treat and she is very fussy.
B00JN9EP6E,Lola's Mommy,4.0 out of 5 stars,Excellent product but WAY overpriced for some reason,"Reviewed in the United States on April 19, 2018","I took a star off because for some reason the price recently jumped from $4 to $12. Last time this happened was because of repackaging so fingers crossed it goes back down again soon. That said, my dog absolutely loves these and has been eating one of these a day since she was a puppy. She has a severe underbite and her bottom teeth stick out no matter what, but our vet is always shocked those teeth are in perfect condition. As a puppy they told us we might have to remove those teeth in a year or two because they’re constantly out and would rot, but we’re almost to 9 years & the vet said to keep doing what we’re doing because those teeth are in great condition!"
B00JN9EP6E,Karen Taylor,5.0 out of 5 stars,No more poop breath!!!,"Reviewed in the United States on March 10, 2023","My pup's breath smelled like poop, as if he ate some. I tried brushing and Dentastix but neither helped. After ne pack of these, his breath doesn't smell like poop anymore! I give him one after every meal, since certain foods will cause his breath to be extra stinky. Will definitely be buying more in the future."
B00JN9EP6E,Annessex Holland,5.0 out of 5 stars,Yogurt dog treats,"Reviewed in the United States on November 13, 2023",My dog loves them
B00JN9EP6E,RobSha,5.0 out of 5 stars,Good for teeth,"Reviewed in the United States on July 12, 2023",Our dogs love these and it takes a bit for them to finish...good product
B00JN9EP6E,Brandon Simmons,3.0 out of 5 stars,Meh,"Reviewed in the United States on April 12, 2023",My dogs will eat these but aren’t excited when I give them these. They love Minties way better!
B00JN9EP6E,EWA,5.0 out of 5 stars,SMALL DOGS? YES! Phenomenal!,"Reviewed in the United States on July 6, 2023","I've been buying these for yrs now; a 7pk ONLY available at location near me, ONLY carried. $8+for 7pk; PLUS, ONLY option. WHAT?! I buy 2packs, split in half (dachshund & pug); lasts a month, & split in half easy enough to use hands! Buy! Buy! Buy!"
B00JN9EP6E,Tashanna Hammond,4.0 out of 5 stars,Wish it came with more,"Reviewed in the United States on January 9, 2023",Less content and I thought. Will pay the extra and get minties next time
B00JN9EP6E,Kp,5.0 out of 5 stars,I was worried about these treats when I first took them out of the bag because they're hard like chalk and my dog is 13 years ol,"Reviewed in the United States on February 8, 2016","My Yorkie loves these treats. I was worried about these treats when I first took them out of the bag because they're hard like chalk and my dog is 13 years old. She didn't like them right away but after she started to spend some time on them, they started to dissolve and she could chew on them more easily. These treats are great for distracting dogs but you also have to be careful if they're a smaller dog because the treat is really hard and I could see it could cause choking in over ambitious dogs that don't take the time to break down the treat. The only flaw in these treats is that my dog has a beard and these treats get really milky and foamy and once she finishes her treat it looks like she has rabies and that she's foaming at the mouth. I always find chunks of unfinished twistix dental chews melted to her beard with foam. She loves them so much and they're good for her teeth so I can't complain. I just have to clean her up every time after she's had one of these treats."
