"a-profile href","a-profile-avatar src","a-profile-avatar","a-profile-name","a-size-base href","a-icon-alt","a-size-base","a-size-base 2","a-link-normal href","a-size-mini","a-size-base 3","a-button-text href","cr-helpful-text","a-size-base 4","a-size-base href 2","a-size-base 5","review-comment-count","a-alert-heading","a-lazy-loaded src","a-size-base 6"
"https://www.amazon.com/gp/profile/amzn1.account.AHUQJMZLHUMEOC3GPGQXRJFQNAHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Marie","https://www.amazon.com/gp/customer-reviews/R2BUR2A405A14F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","5.0 out of 5 stars","Treats have Lysing - Healthy for cats","Reviewed in the United States on November 2, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I love these treats and the fact that they crumble easy. I have to crumble them and mix them in wet food so the cats get all the goodness and healthy vetri-lysine which is very good for the cats.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhD3Q%252B9hPm%252BhXIXq7ygnZfapCCt94%252BeyfviOLXuATv5SKAAAAAGXT0%252FIAAAAB%26reviewId%3DR2BUR2A405A14F&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hD3Q%2B9hPm%2BhXIXq7ygnZfapCCt94%2BeyfviOLXuATv5SKAAAAAGXT0%2FIAAAAB&reviewId=R2BUR2A405A14F","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AE62KCIU7XFV6TUWMIOVKDTE3A3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/a8bdc3e6-b1a5-43ec-9a68-0d2d2b5a68ba._CR0,0,500,500_SX48_.jpg","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/a8bdc3e6-b1a5-43ec-9a68-0d2d2b5a68ba._CR0,0,500,500_SX48_.jpg""/>","Jennifer Green","https://www.amazon.com/gp/customer-reviews/R3U9Z5WEGSPJT7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","5.0 out of 5 stars","Cats love these!","Reviewed in the United States on July 24, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My cats loved these treats!  Will definitely be buying them again.  I even used them as a food topper to get my one picky cat to eat his regular food by putting some treats on top.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhE%252Bu64NnOlV7cz9m0y48K3rfs4PvP%252BwmlWKN1dLREyRBAAAAAGXT0%252FIAAAAB%26reviewId%3DR3U9Z5WEGSPJT7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hE%2Bu64NnOlV7cz9m0y48K3rfs4PvP%2BwmlWKN1dLREyRBAAAAAGXT0%2FIAAAAB&reviewId=R3U9Z5WEGSPJT7","Showing  comments","0","There was a problem loading comments right now. Please try again later.","",""
"https://www.amazon.com/gp/profile/amzn1.account.AF5QLAZNPIBZUZYG4CZ4JGQF5FHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/fa9f62b9-760b-4918-8bbd-f56e213d3c6b._CR15,0,469,469_SX48_.jpg""/>","Romany","https://www.amazon.com/gp/customer-reviews/R157UVVQGIWE4H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","4.0 out of 5 stars","Cat liked it, but came smashed","Reviewed in the United States on December 26, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","My cat likes the flavor but the soft chews got mostly smashed in the mail. I can still put the powder on his food tho, so not a total loss","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhEjZa6ckxmMiWugGTGVJGYt6WTI6gr3DSmlJuiJ1FUXNAAAAAGXT0%252FIAAAAB%26reviewId%3DR157UVVQGIWE4H&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEjZa6ckxmMiWugGTGVJGYt6WTI6gr3DSmlJuiJ1FUXNAAAAAGXT0%2FIAAAAB&reviewId=R157UVVQGIWE4H","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AG7ZYN77QZAF5WIPULMA73MUXBBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","se","https://www.amazon.com/gp/customer-reviews/R1EJY513Y9GPEX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","1.0 out of 5 stars","Dry and crumbly","Reviewed in the United States on July 20, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Just received my order and the treats inside are dry and crumbly. Bottom of the bag just has treats that have become powdered. Not sure if this is how the product is supposed to be or not or if this is just old treats. The best by date is September 23 but it doesn’t say when it was manufactured. I feel like I’m being sent old almost expired products so they can clear inventory. I would think companies would want to send out the best product so that customers will keep coming to buy. This kind of product being sent creates a 1 time purchase and never again. I’m additionally both cats just looked at it and walked away. Mind you these cats when they see a treat they never say no. So disappointed. I wish I was sent new fresh product. Disappointed","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOc6zcgC2n0wDrIBmqwGRAxkH2xuVMVZWpjIV5c8LSgSAAAAAGXT0%252FIAAAAB%26reviewId%3DR1EJY513Y9GPEX&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Dry and crumbly","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOc6zcgC2n0wDrIBmqwGRAxkH2xuVMVZWpjIV5c8LSgSAAAAAGXT0%2FIAAAAB&reviewId=R1EJY513Y9GPEX","Just received my order and the treats inside are dry and crumbly. Bottom of the bag just has treats that have become powdered. Not sure if this is how the product is supposed to be or not or if this is just old treats. The best by date is September 23 but it doesn’t say when it was manufactured. I feel like I’m being sent old almost expired products so they can clear inventory. I would think companies would want to send out the best product so that customers will keep coming to buy. This kind of product being sent creates a 1 time purchase and never again. I’m additionally both cats just looked at it and walked away. Mind you these cats when they see a treat they never say no. So disappointed. I wish I was sent new fresh product. Disappointed","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Report"
"https://www.amazon.com/gp/profile/amzn1.account.AFP4JMONCCBVN3VUQKZGGZYIW4ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Review Ranger","https://www.amazon.com/gp/customer-reviews/R16V8679G3H2DT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","3.0 out of 5 stars","Cat loved these Once","Reviewed in the United States on November 26, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Cat loved these just once, the next time not so much and then wouldn't touch themNot sure why, but that's cats.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIG9AniBfbioK01JVtnbSLwPbh%252BWtVxCH14c3Z5FtAVBAAAAAGXT0%252FIAAAAB%26reviewId%3DR16V8679G3H2DT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIG9AniBfbioK01JVtnbSLwPbh%2BWtVxCH14c3Z5FtAVBAAAAAGXT0%2FIAAAAB&reviewId=R16V8679G3H2DT","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AFNVTEBXMBWNZBV2YWMUK5ZLKCIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Lindajcr","https://www.amazon.com/gp/customer-reviews/R3GGU8KOD9ITWN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","5.0 out of 5 stars","My cat loves these","Reviewed in the United States on May 26, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Miss Belle loves these treats. She gets them when I leave the house which means she’s happy when I go.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhOO7kgPqFdrsLlt5qukvmNrYDUb31yymGSUiJiUob%252F9hAAAAAGXT0%252FIAAAAB%26reviewId%3DR3GGU8KOD9ITWN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOO7kgPqFdrsLlt5qukvmNrYDUb31yymGSUiJiUob%2F9hAAAAAGXT0%2FIAAAAB&reviewId=R3GGU8KOD9ITWN","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AEFMDU727BGUOTKCD67GVTVPRLDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Aesop","https://www.amazon.com/gp/customer-reviews/R2N7Q2JD38F0NP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","2.0 out of 5 stars","Be aware.....These have Changed","Reviewed in the United States on October 18, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I had subscribed to this product. My cats loved them. This last order came and the treats look different. They have a powdery cast to them and my cats won't touch them.  I tried to return them within the proper time and have received the message that they are not returnable.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhLf6w4gGHAW7E4%252FWwEGcj0z7Srx90TItjNzzQJhBpMOmAAAAAGXT0%252FIAAAAB%26reviewId%3DR2N7Q2JD38F0NP&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLf6w4gGHAW7E4%2FWwEGcj0z7Srx90TItjNzzQJhBpMOmAAAAAGXT0%2FIAAAAB&reviewId=R2N7Q2JD38F0NP","Report","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AEPAQY65OWTWYX7YJJL2BR6CLGUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/6c55eb56-3eaa-4833-88f6-b62548dc47c8._CR0,0,375,375_SX48_.jpg""/>","Annie A","https://www.amazon.com/gp/customer-reviews/R22VS5ASXSJ0ZL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","5.0 out of 5 stars","Biteables are a hit","Reviewed in the United States on June 5, 2022","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","I assume the flavor is pleasant as my old fussy diabetic cat is very choosy. Price is about comparable to other treats he accepts and this look to be beneficial to his being. I keep the bag in a sealed tight container just to be 100% sure they remain as fresh as the day I opened them.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhN%252BvRizi712nzwqs9PxzVc48w7m1iM1cF4Re7FhJ7XgOAAAAAGXT0%252FIAAAAB%26reviewId%3DR22VS5ASXSJ0ZL&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","One person found this helpful","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hN%2BvRizi712nzwqs9PxzVc48w7m1iM1cF4Re7FhJ7XgOAAAAAGXT0%2FIAAAAB&reviewId=R22VS5ASXSJ0ZL","Report","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Showing  comments"
"https://www.amazon.com/gp/profile/amzn1.account.AFDUXADG33IYUQEJYJMLUNRO6KXQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","G0disloveJCdied4u","https://www.amazon.com/gp/customer-reviews/RKI4M1BFDM7JW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","4.0 out of 5 stars","Crumbly, but enjoyable - to my cats, at least.","Reviewed in the United States on June 4, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","2/3 of my cats liked these treats, but they arrived all crumbly -- about a quarter of the bag was in crumbs. :/","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhK%252FyM%252Fu26gIJLtfs9GQTJGOS822Ze67zJ14QOIrwzDwMAAAAAGXT0%252FIAAAAB%26reviewId%3DRKI4M1BFDM7JW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hK%2FyM%2Fu26gIJLtfs9GQTJGOS822Ze67zJ14QOIrwzDwMAAAAAGXT0%2FIAAAAB&reviewId=RKI4M1BFDM7JW","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
"https://www.amazon.com/gp/profile/amzn1.account.AF6HZJZRVI4SD544UQHQT5F4HNRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","","<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/bf5f7dd7-7e64-45e3-b0a9-376203e43a7e._CR62,0,375,375_SX48_.jpg""/>","Cheri Ann Tipler","https://www.amazon.com/gp/customer-reviews/RM0P1ROHSH84V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09FQ9VZNP","4.0 out of 5 stars","I don’t know","Reviewed in the United States on March 18, 2023","https://www.amazon.com/gp/help/customer/display.html/ref=cm_cr_dp_d_rvw_avp?nodeId=G75XTB7MBMBTXP6W","Verified Purchase","Seriously do they expect us to taste this stuff for the questions? My cats seem to be OK with it. I’m not sure about it. I may have to get a new product.","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2FGet-Naked-Biteables-Natural-Essential%2Fproduct-reviews%2FB09FQ9VZNP%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26csrfT%3DhIBzxrGpP3zaOyOiff86HOOsCn%252FwzEJytx%252F5iupEk9xdAAAAAGXT0%252FIAAAAB%26reviewId%3DRM0P1ROHSH84V&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=en&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","Helpful","Report","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hIBzxrGpP3zaOyOiff86HOOsCn%2FwzEJytx%2F5iupEk9xdAAAAAGXT0%2FIAAAAB&reviewId=RM0P1ROHSH84V","Showing  comments","0","There was a problem loading comments right now. Please try again later.","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif",""
